"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","4530.26","5.67","0.13%","08/15"
"澳洲股市","5140.99","-0.60","-0.01%","18:22"
"日經225","13752.94","-297.22","-2.12%","08/15"
"東證一部","1151.82","-19.52","-1.67%","08/15"
"東證二部","3192.33","-0.20","-0.01%","08/15"
"JASDAQ","85.82","0.01","0.01%","08/15"
"韓國股市","1923.91","10.88","0.57%","08/14"
"台灣加權","7887.26","-64.07","-0.81%","08/15"
"台灣店頭","118.75","-0.40","-0.34%","08/15"
"上海綜合","2081.88","-18.26","-0.87%","08/15"
"上海A股","2178.89","-19.10","-0.87%","08/15"
"上海B股","249.52","0.07","0.03%","15:15"
"深圳A股","1057.10","-2.30","-0.22%","15:00"
"深圳B股","822.43","0.23","0.03%","15:00"
"滬深300","2321.58","-27.50","-1.17%","08/15"
"深證成指","8228.87","-107.94","-1.29%","08/15"
"香港恆生","22539.25","-1.88","-0.01%","08/15"
"香港國企","10206.74","21.19","0.21%","08/15"
"香港紅籌","4347.78","47.09","1.10%","08/13"
"新加坡","3220.92","-27.74","-0.85%","17:10"
"海峽中國","231.29","-0.38","-0.16%","17:10"
"越南股市","508.22","4.65","0.92%","08/15"
"泰國股市","1453.07","-7.56","-0.52%","17:07"
"菲律賓","6580.71","-75.90","-1.14%","08/15"
"馬來西亞","1792.21","-1.52","-0.08%","08/15"
"印尼股市","4685.13","-14.60","-0.31%","16:00"
"印度股市","19367.59","137.75","0.72%","08/14"
"巴基斯坦","16968.22","70.26","0.42%","16:00"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1327.49","-28.85","-2.13%","08/15"
"英國股市","6483.34","-104.09","-1.58%","08/15"
"法國股市","4093.20","-21.00","-0.51%","08/15"
"德國股市","8376.29","-61.83","-0.73%","08/15"
"土耳其","73978.19","-1607.70","-2.13%","08/15"
"匈牙利","18322.71","-309.60","-1.66%","08/15"
"奧地利","2507.14","14.21","0.57%","08/14"
"波蘭股市","50223.95","476.29","0.96%","08/14"
"捷克股市","971.14","-11.41","-1.16%","08/15"
"瑞典股市","1245.35","-17.13","-1.36%","08/15"
"芬蘭股市","6382.59","-44.88","-0.70%","08/15"
"挪威股市","464.38","3.44","0.75%","16:40"
"希臘股市","957.68","-3.33","-0.35%","08/14"
"義大利","18524.48","92.88","0.50%","08/14"
"比利時","2810.94","-18.84","-0.67%","08/15"
"盧森堡","1247.67","4.46","0.36%","08/14"
"荷蘭股市","375.58","-4.04","-1.06%","08/15"
