"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","14130.17","-322.65","-2.23","close"
"東證一部","1375.60","-34.04","-2.41","close"
"東證二部","2961.50","-21.16","-0.71","close"
"JASDAQ","63.48","-0.66","-1.03","close"
"上海綜合","2748.87","-192.24","-6.54","close"
"上海A股","2883.89","-201.55","-6.53","close"
"上海B股","202.20","-16.11","-7.38","close"
"深圳A股","817.07","-66.02","-7.48","close"
"深圳B股","466.98","-26.18","-5.31","close"
"滬深300","2773.08","-218.20","-7.29","close"
"香港恆生","22797.61","-528.19","-2.26","close"
"香港國企","12431.44","-397.89","-3.10","close"
"香港紅籌","4860.18","-111.19","-2.24","close"
"台灣加權","8047.74","-169.84","-2.07","close"
"台灣店頭","134.79","-1.61","-1.18","close"
"韓國指數","1740.72","-33.41","-1.88","18:03"
"越南股市","373.27","-8.80","-2.30","11:00"
"泰國股市","742.46","-23.28","-3.04","17:01"
"菲律賓","2592.59","-35.61","-1.35","12:11"
"馬來西亞","1196.39","-16.20","-1.34","17:00"
"印尼股市","2373.06","8.48","0.36","17:09"
"印度股市","15087.99","-334.32","-2.17","16:28"
"孟加拉","3067.53","20.60","0.68","06/18"
"巴基斯坦","8528.55","-272.57","-3.10","12:15"
"澳洲股市","5484.30","-66.00","-1.19","17:47"
"紐西蘭","3340.10","-51.52","-1.52","14:31"
"新加坡","2992.66","-47.43","-1.56","17:10"
"龍籌股","146.08","-2.77","-1.86","06/19"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2400.84","-1.90","-0.08","06/19"
"英國指數","5708.40","-48.50","-0.84","06/19"
"法國指數","4591.39","-27.36","-0.59","06/19"
"德國指數","6721.17","-7.74","-0.12","06/19"
"土耳其","38006.96","-129.82","-0.34","06/19"
"匈牙利","21157.10","-245.86","-1.15","06/19"
"奧地利","4152.70","-41.03","-0.98","06/19"
"波蘭股市","43310.33","385.03","0.90","06/19"
"捷克股市","1613.10","-10.60","-0.65","06/19"
"瑞典股市","932.82","-8.80","-0.93","06/19"
"芬蘭股市","8813.79","-167.64","-1.87","06/19"
"挪威股市","435.16","-0.79","-0.18","06/19"
"希臘指數","3649.82","-12.60","-0.34","06/19"
"義大利","23538.00","-63.00","-0.27","16:43"
"盧森堡","2142.92","-25.04","-1.16","06/19"
"荷蘭","446.68","-3.89","-0.86","06/19"
"冰島","4512.50","4.14","0.09","06/19"
"丹麥","444.78","-0.34","-0.08","06/19"
"瑞士股市","7158.94","-23.62","-0.33","06/19"
"西班牙","1354.93","-6.43","-0.47","06/19"
"葡萄牙","3266.14","-72.89","-2.18","06/19"
"愛爾蘭","5489.38","3.61","0.07","06/19"
"以色列","1128.73","-5.24","-0.46","06/18"
"埃及股市","90403.13","-1045.89","-1.14","06/19"
"南非股市","29546.68","365.03","1.25","06/19"
"摩洛哥","29257.01","-14.58","-0.05","06/19"
"卡達指數","12089.42","-198.97","-1.62","06/19"
"杜拜指數","5558.25","-38.73","-0.69","06/19"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12063.09","34.03","0.28","06/19"
"NASDAQ","2462.06","32.35","1.33","06/19"
"羅素2000","737.83","7.12","0.97","06/19"
"S&P 500","1342.83","5.02","0.38","06/19"
"費城金銀","178.61","-1.36","-0.76","06/19"
"DJ貴金屬","366.98","-2.86","-0.77","17:18"
"CBOE黃金","178.85","-1.62","-0.90","06/19"
"AMEX金蟲","409.26","-4.08","-0.99","06/19"
"AMEX能源","866.42","-19.56","-2.21","06/19"
"NYSE能源","16115.61","-343.26","-2.09","06/19"
"費城油業","345.60","-5.12","-1.46","06/19"
"AMEX石油","1508.47","-34.30","-2.22","06/19"
"費城半導","394.27","9.80","2.55","06/19"
"NSDQ金融","2435.26","26.33","1.09","06/19"
"NYSE金融","6800.15","6.48","0.10","06/19"
"NBI生技","804.41","13.95","1.76","06/19"
"AMEX生技","755.01","10.89","1.46","06/19"
"費城藥物","173.86","1.88","1.09","06/19"
"加拿大","14790.15","-282.98","-1.88","06/19"
"巴西指數","66590.41","-500.05","-0.75","06/19"
"墨西哥","29847.85","229.74","0.78","06/19"
"阿根廷","2063.19","15.08","0.74","06/19"
"智利","3072.18","21.26","0.70","06/19"
"秘魯","16728.09","-98.03","-0.58","06/19"
"哥倫比亞","9159.79","-315.61","-3.33","06/19"
"委內瑞拉","36739.86","19.08","0.05","06/19"
"百慕達","4757.44","-71.43","-1.48","06/19"
"牙買加","109425.41","3.08","0.00","06/19"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","9437.00","24.00","0.26","06/18"
"波海海峽航運","14154.00","264.00","1.90","06/18"
"波海巴拿馬航","8383.00","-35.00","-0.42","06/18"
"VIX波動率","21.58","-0.66","-2.97","16:14"
"道瓊歐洲","3486.71","-21.26","-0.61","19:00"
"DJ交通運輸","5292.74","172.38","3.37","16:30"
"道瓊公用事業","526.86","4.98","0.95","16:30"
"歐洲公用事業","336.73","1.20","0.36","17:45"
"全球公用事業","7715.46","14.21","0.18","16:20"
"ISE水指數","91.94","0.59","0.65","17:00"
"道瓊水指數","557.98","-2.64","-0.47","17:16"
"純淨科技","1562.32","11.29","0.73","17:09"
"WH創新能源","276.20","-1.91","-0.69","17:16"
"WH乾淨能源","231.45","4.13","1.82","17:09"
"全球乾淨能源","3413.35","37.10","1.10","17:00"
"ISE替代能源","54.01","0.85","1.60","17:00"
"全球替代能源","3862.87","44.59","1.17","17:19"
"ET50環境科技","260.55","1.04","0.40","21:20"
"生物能源","467.82","8.43","1.83","17:20"
"環境服務","1094.22","2.49","0.23","17:09"
"歐洲環境控制","168.32","0.06","0.04","17:45"
"美國環境控制","112.87","0.25","0.22","16:15"
"Clvrt社會責任","78.60","0.59","0.76","17:18"
"ISE邪惡指數","108.29","0.37","0.34","17:00"
"DJ美國礦產","325.47","-8.02","-2.40","17:16"
"DJ世界原料","407.88","-0.10","-0.03","17:16"
"msci世界能源","322.86","-1.56","-0.48","06/18"
"msci世界原料","322.21","-1.33","-0.41","06/18"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"Dax全球農金","668.78","-4.86","-0.72","20:53"
"Rogers商品","5573.58","-115.96","-2.04","14:30"
"Rogers能源","1945.55","34.87","1.83","06/18"
"Rogers金屬","2428.53","35.40","1.48","06/18"
"Rogers農產","1527.13","8.13","0.54","06/18"
"日本不動產","2692.15","-87.58","-3.15","15:44"
"東證REIT","1415.92","-23.71","-1.65","06/19"
"澳洲不動產","1207.76","-9.92","-0.81","19:14"
"新加坡不動產","1068.01","1.45","0.14","06/18"
"恆生地產","27767.56","-704.53","-2.47","06/19"
"亞洲REIT","141.20","-1.48","-1.04","16:30"
"英國不動產","1617.21","-24.03","-1.46","16:36"
"歐陸不動產","2093.01","-45.92","-2.15","16:45"
"歐洲不動產","2587.06","-47.03","-1.78","16:45"
"DJ權益REIT","260.28","6.31","2.48","15:49"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","449.13","-7.69","-1.68","06/19"
"MS商品指數","960.63","-5.55","-0.57","06/19"
"高盛商品指數","10156.70","-266.60","-2.56","06/19"
"高盛農產品","471.86","-9.80","-2.03","06/19"
"高盛家畜指數","252.85","-1.15","-0.45","06/19"
"高盛貴金屬","1243.10","14.05","1.14","06/19"
"高盛工業金屬","453.01","-1.71","-0.38","06/19"
"高盛能源指數","460.30","-14.08","-2.97","06/19"
"天然氣","734.44","-16.81","-2.24","06/19"
"AMEX航空","19.45","1.82","10.32","06/19"
"銀行","63.47","0.26","0.41","06/19"
"醫療服務","432.35","9.44","2.23","06/19"
"電腦硬體","244.01","2.31","0.96","06/19"
"保險","3699.56","33.11","0.90","06/19"
"美國紙業","101.40","0.34","0.34","06/19"
"零售業","392.82","7.91","2.06","06/19"
"掮客商指數","162.56","0.63","0.39","06/19"
"美元指數","73.49","0.06","0.08","06/19"
"歐元指數","155.04","-0.29","-0.19","06/19"
"英鎊指數","197.25","1.38","0.70","06/19"
"日圓指數","92.60","-0.11","-0.12","06/19"
"澳幣指數","95.14","0.43","0.45","06/19"
"30年債券價格","113.25","-0.33","-0.29","06/19"
"30年債殖利率","47.51","0.21","0.44","06/19"
"10年期票利率","41.99","0.45","1.08","06/19"
"5年期票利率","36.51","0.87","2.44","06/19"
"3月期票利率","18.60","-0.20","-1.06","06/19"
"Put/Call比例","0.98","-0.14","-12.50","06/19"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","台北"
"黃金","898.80","4.40","0.49","06/19"
"銀","17.35","-0.01","-0.06","06/19"
"白金","2061.00","-42.00","-2.02","06/19"
"鈀","477.00","2.00","0.43","06/19"
"銅","3.8557","0.00","0.00","3:22"
"鎳","10.1166","0.00","0.00","3:22"
"鋁","1.3839","0.01","0.80","3:40"
"鋅","0.8676","0.00","0.00","3:22"
"鉛","0.8141","0.00","0.00","3:22"
"鈾","57.00","-2.00","-3.39","06/16"
"黃金期貨","904.200","10.700","1.20","1:39"
"銀期貨","17.470","0.130","0.75","1:33"
"銅期貨","377.800","3.050","0.81","1:18"
"天然氣期","12.861","-0.349","-2.64","5:13"
"布蘭特油期","132.000","-4.440","-3.25","3:06"
"WTI原油期","131.930","-4.750","-3.48","5:13"
"燃油期貨","371.350","-14.650","-3.80","5:13"
"玉米期貨","761.500","-18.500","-2.37","2:29"
"小麥期貨","898.750","-23.250","-2.52","2:25"
"可可粉期","3106.000","8.000","0.26","3:13"
"黃豆期貨","1521.500","-21.500","-1.39","2:36"
"黃豆油期貨","65.900","-1.360","-2.02","2:17"
"咖啡C期","139.650","0.300","0.22","3:15"
"十一號糖","12.710","-0.180","-1.40","3:14"
"二號棉期","80.070","-1.980","-2.41","3:14"
"活牛期貨","103.450","-0.450","-0.43","4:35"
"瘦豬期貨","75.450","-0.625","-0.82","4:58"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","台北"
"歐元/美元","1.5506","0.0002","0.01","5:53"
"英鎊/美元","1.9722","-0.0001","-0.01","5:53"
"美元/瑞士法郎","1.0448","-0.0006","-0.06","5:53"
"美元/俄盧布","23.6490","0.0009","0.00","5:47"
"美元/匈牙利幣","155.2450","0.0500","0.03","5:53"
"美元/土耳其幣","1.2228","-0.0001","-0.00","5:49"
"美元/南非幣","7.9655","0.0198","0.25","5:53"
"美元/以色列幣","3.3612","0.0000","0.00","5:53"
"美元/摩洛哥","7.3905","0.0000","0.00","06/19"
"美元/日圓","107.9530","-0.0570","-0.05","5:53"
"美元/人民幣","6.8776","0.0001","0.00","5:01"
"美元/港幣","7.8066","0.0003","0.00","5:52"
"美元/台幣","30.4100","0.0000","0.00","06/19"
"美元/韓圜","1032.3000","6.3000","0.61","5:03"
"美元/泰銖","33.4350","0.0150","0.04","5:44"
"美元/新元","1.3692","0.0001","0.01","5:52"
"美元/菲披索","44.4180","0.0000","0.00","06/19"
"美元/馬來幣","3.2600","0.0012","0.04","5:03"
"美元/印尼盾","9292.0000","0.5000","0.01","5:03"
