"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","12604.58","-102.05","-0.80","16:00"
"東證一部","1226.44","-11.11","-0.90","15:00"
"東證二部","2742.40","-9.11","-0.33","15:00"
"JASDAQ","64.54","-0.16","-0.25","15:00"
"上海綜合","3411.49","-195.36","-5.42","15:16"
"上海A股","3578.92","-205.38","-5.43","15:16"
"上海B股","252.89","-8.52","-3.26","15:16"
"深圳A股","1161.67","-51.53","-4.25","15:00"
"深圳B股","543.19","-11.67","-2.10","15:00"
"滬深300","3748.92","-165.45","-4.23","15:01"
"香港恆生","22664.22","47.21","0.21","16:01"
"香港國企","11828.84","-31.38","-0.26","16:01"
"香港紅籌","5024.11","80.12","1.62","16:01"
"台灣加權","8605.95","-162.07","-1.85","13:46"
"台灣店頭","142.40","-1.05","-0.73","13:46"
"韓國指數","1676.24","-3.43","-0.20","18:03"
"越南股市","508.75","4.08","0.81","11:01"
"泰國股市","822.96","5.39","0.66","17:01"
"菲律賓","2925.91","7.54","0.26","12:11"
"馬來西亞","1254.03","8.61","0.69","17:00"
"印尼股市","2451.35","10.71","0.44","17:09"
"印度股市","16015.56","-71.27","-0.44","16:28"
"孟加拉","2972.09","58.74","2.02","03/25"
"巴基斯坦","10849.50","51.19","0.47","13:15"
"澳洲股市","5418.50","-2.80","-0.05","16:47"
"紐西蘭","3404.54","-20.90","-0.61","13:31"
"新加坡","3025.20","29.98","1.00","17:10"
"龍籌股","153.79","+6.38","4.33","03/27"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2030.13","34.94","1.75","19:57"
"英國指數","5717.50","57.10","1.01","16:35"
"法國指數","4719.53","42.85","0.92","18:10"
"德國指數","6578.06","88.80","1.37","20:29"
"土耳其","40634.89","-23.58","-0.06","17:10"
"匈牙利","22163.28","410.68","1.89","16:36"
"奧地利","3760.48","88.77","2.42","17:33"
"波蘭股市","48012.40","631.45","1.33","16:40"
"捷克股市","1541.40","30.70","2.03","17:13"
"瑞典股市","952.99","21.12","2.27","17:44"
"芬蘭股市","9724.97","38.03","0.39","18:31"
"挪威股市","352.68","6.76","1.95","16:25"
"希臘指數","3927.30","118.17","3.10","16:55"
"義大利","24193.00","347.00","1.46","17:43"
"盧森堡","2169.03","24.81","1.16","17:40"
"荷蘭","441.98","3.87","0.88","18:07"
"冰島","5025.85","3.52","0.07","16:40"
"丹麥","424.68","5.72","1.37","17:21"
"瑞士股市","7264.96","80.41","1.12","17:31"
"西班牙","1465.10","15.31","1.06","17:37"
"葡萄牙","3330.88","17.86","0.54","17:08"
"愛爾蘭","6247.91","23.93","0.38","20:00"
"以色列","1022.99","-9.37","-0.91","13:13"
"埃及股市","97354.37","-86.98","-0.09","13:32"
"南非股市","27935.26","413.86","1.50","16:05"
"摩洛哥","29920.08","-74.28","-0.25","03/26"
"約旦指數","8173.20","208.24","2.61","14:12"
"杜拜指數","5404.68","-55.76","-1.02","12:59"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12302.46","-120.40","-0.97","16:30"
"NASDAQ","2280.83","-43.53","-1.87","17:16"
"羅素2000","692.39","-9.72","-1.38","03/27"
"S&P 500","1325.76","-15.37","-1.15","03/27"
"費城金銀","181.97","-2.45","-1.33","03/27"
"DJ貴金屬","367.92","-5.00","-1.34","17:18"
"CBOE黃金","193.54","-2.59","-1.32","03/27"
"AMEX金蟲","452.41","-6.80","-1.48","17:12"
"AMEX能源","740.70","-6.73","-0.90","17:12"
"NYSE能源","13882.53","-107.20","-0.77","17:05"
"費城油業","277.03","-1.52","-0.55","03/27"
"AMEX石油","1339.90","-18.82","-1.39","17:12"
"費城半導","342.74","-5.00","-1.44","03/27"
"NSDQ金融","2583.69","-61.02","-2.31","17:16"
"NYSE金融","7276.05","-81.64","-1.11","17:05"
"NBI生技","778.84","0.16","0.02","17:16"
"AMEX生技","729.43","-0.66","-0.09","17:12"
"費城藥物","179.29","0.65","0.36","03/27"
"加拿大","13405.78","13.92","0.10","03/27"
"巴西指數","60761.68","-653.60","-1.06","03/27"
"墨西哥","29987.05","-70.21","-0.23","15:21"
"阿根廷","2083.66","3.87","0.19","03/27"
"智利","2886.44","19.83","0.69","17:31"
"秘魯","17431.85","486.18","2.87","03/27"
