"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","6824.499","-18.51","-0.27%","18:58"
"澳洲股市","5335.60","-79.40","-1.47%","17:42"
"日經225","16147.38","-518.67","-3.11%","15:15"
"東證一部","1299.96","-40.59","-3.03%","05/02"
"東證二部","4255.95","-36.77","-0.86%","15:00"
"JASDAQ","108.26","-0.60","-0.55%","15:00"
"韓國股市","1976.71","-9.70","-0.49%","18:03"
"台灣加權","8185.47","-108.65","-1.31%","13:49"
"台灣店頭","122.97","-1.04","-0.84%","13:49"
"上海綜合","2991.272","-1.37","-0.05%","15:29"
"上海A股","3130.356","-1.43","-0.05%","15:29"
"上海B股","373.718","0.53","0.14%","13:39"
"深圳A股","2025.886","8.12","0.40%","13:40"
"深圳B股","1131.719","-1.94","-0.17%","13:40"
"滬深300","3209.461","-4.08","-0.13%","15:01"
"深證成指","10422.8","-19.12","-0.18%","15:00"
"中小板指","6831.32","19.17","0.28%","13:39"
"創業板指","2211.02","-6.21","-0.28%","15:00"
"香港恆生","20525.83","-151.11","-0.73%","16:01"
"香港國企","8697.37","-51.33","-0.59%","16:01"
"香港紅籌","3675.89","-14.82","-0.40%","05/04"
"香港創業板","419.06","0.10","0.02%","16:07"
"蒙古股市","10579.74","28.11","0.27%","13:10"
"新加坡","2773.07","-38.13","-1.36%","17:10"
"越南股市","599.07","0.70","0.12%","15:02"
"泰國股市","1390.7","-7.17","-0.51%","17:07"
"菲律賓","7081.86","35.29","0.50%","15:20"
"馬來西亞","1657.58","6.14","0.37%","17:05"
"印尼股市","4822.594","10.33","0.21%","16:05"
"印度股市","25101.73","-127.97","-0.51%","17:19"
"巴基斯坦","24289.3","243.17","1.01%","15:58"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","912.58","-38.53","-4.05%","18:50"
"英國股市","6112.02","-73.57","-1.19%","16:35"
"法國股市","4324.23","-47.75","-1.09%","06:05"
"德國股市","9828.25","-98.52","-0.99%","06:30"
"土耳其","79382.63","-1687.12","-2.08%","17:40"
"匈牙利","26212.15","-327.01","-1.23%","17:25"
