"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","5495.75","-3.32","-0.06%","12/16"
"澳洲股市","5131.00","-33.60","-0.65%","16:36"
"日經225","16755.32","-344.08","-2.01%","12/16"
"東證一部","1353.37","-25.92","-1.88%","12/16"
"東證二部","4247.90","-65.10","-1.51%","15:00"
"JASDAQ","101.93","-1.51","-1.46%","15:00"
"韓國股市","1904.13","-16.23","-0.85%","12/16"
"台灣加權","8950.91","-34.72","-0.39%","12/16"
"台灣店頭","136.25","-1.01","-0.74%","12/16"
"上海綜合","3021.52","68.10","2.31%","12/16"
"上海A股","3165.27","71.59","2.31%","12/16"
"上海B股","290.12","0.62","0.21%","15:29"
"深圳A股","1571.49","3.18","0.20%","15:00"
"深圳B股","1021.73","-0.23","-0.02%","15:00"
"滬深300","3303.40","86.17","2.68%","12/16"
"深證成指","10668.62","164.39","1.56%","12/16"
"香港恆生","22670.50","-357.35","-1.55%","12/16"
"香港國企","11136.90","-75.75","-0.68%","12/16"
"香港紅籌","4222.19","-72.87","-1.70%","12/16"
"蒙古股市","14616.43","-63.34","-0.43%","12/16"
"新加坡","3215.09","-79.05","-2.40%","12/16"
"海峽中國","217.69","-2.95","-1.34%","17:10"
"越南股市","535.14","-12.79","-2.33%","12/16"
"泰國股市","1461.74","-16.75","-1.13%","17:09"
"菲律賓","7160.38","-115.24","-1.58%","12/16"
"馬來西亞","1673.94","-23.37","-1.38%","12/16"
"印尼股市","5026.03","-82.40","-1.61%","12/16"
"印度股市","26781.44","-538.12","-1.97%","17:19"
"巴基斯坦","22409.25","-563.52","-2.45%","16:58"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","629.74","-88.58","-12.33%","18:40"
"英國股市","6331.83","149.11","2.41%","12/16"
"法國股市","4093.20","87.82","2.19%","12/16"
"德國股市","9563.89","229.88","2.46%","12/16"
"土耳其","79191.19","-3613.24","-4.36%","12/16"
"匈牙利","16169.18","-815.05","-4.80%","12/16"
"奧地利","2077.85","11.12","0.54%","12/16"
"波蘭股市","50683.91","-937.23","-1.82%","12/16"
"捷克股市","944.83","-16.55","-1.72%","12/16"
"瑞典股市","1413.58","4.83","0.34%","12/16"
"芬蘭股市","7527.29","62.42","0.84%","12/16"
"挪威股市","488.07","-4.88","-0.99%","16:25"
"希臘股市","834.24","-2.17","-0.26%","12/16"
"義大利","19729.27","584.70","3.05%","12/16"
"比利時","3178.31","56.50","1.81%","12/16"
"盧森堡","1477.33","23.79","1.64%","12/16"
"荷蘭股市","403.79","7.70","1.94%","12/16"
"冰島股市","954.33","-19.03","-1.96%","12/16"
"丹麥股市","718.50","-11.42","-1.56%","12/16"
"瑞士股市","8795.13","82.31","0.94%","12/16"
"西班牙","1022.20","17.66","1.76%","12/16"
"葡萄牙","2110.33","21.04","1.01%","12/16"
"愛爾蘭","5001.44","45.86","0.93%","12/16"
"以色列","1463.51","-14.88","-1.01%","17:24"
"埃及股市","793.720","-31.22","-3.79%","close"
"南非股市","41755.14","-644.86","-1.52%","12/15"
"約旦股市","2133.62","7.20","0.34%","12/16"
"杜拜股市","3083.69","-241.80","-7.27%","12/16"
"阿布達比","3892.08","-288.68","-6.90%","14:00"
"奈及利亞","29789.59","-702.71","-2.30%","12/16"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","17068.87","-111.97","-0.65%","12/16"
"NASDAQ","4547.83","-57.32","-1.24%","17:16"
"S&P 500","1972.74","-16.89","-0.85%","12/16"
"羅素3000","1170.71","-9.09","-0.77%","18:01"
"羅素3000成長","752.92","-7.71","-1.01%","16:07"
"羅素3000價值","1292.29","-6.73","-0.52%","16:07"
"羅素1000","1095.46","-9.14","-0.83%","18:01"
"羅素2000","1139.38","-0.92","-0.08%","18:01"
"費城金銀","63.15","-0.93","-1.46%","12/16"
"AMEX金蟲","151.01","-2.78","-1.81%","12/16"
"CBOE黃金","61.26","-1.22","-1.95%","12/16"
"道瓊貴金屬","139.05","-1.02","-0.73%","12/16"
"AMEX能源","738.27","5.97","0.82%","12/16"
"NYSE能源","11627.64","180.80","1.58%","16:15"
"費城油業","198.29","2.60","1.33%","12/16"
"AMEX石油","1242.95","18.89","1.54%","12/16"
"費城半導體","661.30","-4.42","-0.66%","12/16"
"NBI生技","3074.84","-38.78","-1.25%","12/16"
"AMEX生技","3280.93","-42.04","-1.27%","12/16"
"費城藥物","316.01","-0.47","-0.15%","17:15"
"加拿大","13861.52","156.38","1.14%","18:20"
"巴西股市","47007.51","-11.17","-0.02%","12/16"
"墨西哥","40225.08","-109.51","-0.27%","12/16"
"阿根廷","7670.29","88.57","1.17%","12/16"
"智利股市","3751.51","-1.38","-0.04%","12/16"
"秘魯股市","14130.59","-292.03","-2.02%","12/16"
"委內瑞拉","3825.26","72.73","1.94%","12/16"
"百慕達","1355.31","-6.71","-0.49%","close"
"牙買加","76108.02","225.65","0.30%","12/16"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波羅的海乾散貨","838.00","-7.00","-0.83%","12/16"
"波羅的海海岬型","617.00","-42.00","-6.37%","12/16"
"波羅的海巴拿馬","961.00","-19.00","-1.94%","12/16"
"波羅的海輕便型","942.00","-5.00","-0.53%","12/16"
"VIX波動率","23.57","3.15","15.43%","16:14"
"VXD道瓊波動","21.48","2.09","10.78%","12/16"
"VXN納指波動","24.06","1.98","8.97%","12/16"
"羅素大中華","2224.53","-15.02","-0.67%","12/15"
"道瓊歐洲","3049.99","67.09","2.25%","12/16"
"道瓊交通運輸","8740.52","-116.60","-1.32%","12/16"
"AMEX航空","92.56","-3.31","-3.45%","12/16"
"道瓊公用事業","591.27","-1.34","-0.23%","12/16"
"美國紙業","170.00","-0.23","-0.14%","12/16"
"美林科技100","629.74","-5.98","-0.94%","12/16"
"電腦科技","1535.75","-27.25","-1.74%","12/16"
"電腦碟片","133.05","-1.72","-1.27%","12/16"
"電腦硬體","647.99","-5.80","-0.89%","12/16"
"Dax奢侈品","161.27","-0.92","-0.57%","12/16"
"msci必需消費","194.81","-2.22","-1.13%","close"
"美元指數","88.10","0.04","0.04%","16:43"
"歐元指數","125.13","0.75","0.60%","12/16"
"英鎊指數","157.40","1.02","0.65%","12/16"
"日圓指數","85.90","1.14","1.34%","12/16"
"澳幣指數","82.17","-0.00","-0.00%","12/16"
"瑞郎指數","104.19","0.62","0.60%","12/16"
"30年債殖利率","27.02","-0.43","-1.57%","15:00"
"10年期票利率","20.71","-0.45","-2.13%","15:00"
"5年期票利率","15.26","-0.51","-3.23%","15:00"
"3月期票利率","0.30","0.20","200.00%","15:00"
"JP新興當地債","271.5630","-3.4460","-1.25%","12/15"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","238.75","-2.30","-0.95%","16:28"
"高盛商品","327.00","-3.73","-1.13%","12/16"
"高盛綜合商品","286.45","-3.16","-1.09%","12/16"
"Rogers商品","2842.88","-33.67","-1.17%","17:54"
"CRB工業金屬","1501.41","4.78","0.32%","12/16"
"高盛貴金屬","166.12","-2.57","-1.52%","12/16"
"高盛基本金屬","189.08","-1.98","-1.03%","12/16"
"Rogers金屬","1984.98","-37.68","-1.86%","12/16"
"FTSE金礦","1039.96","-15.82","-1.50%","12/16"
"道瓊世界原料","250.88","1.33","0.53%","12/16"
"msci世界原料","214.17","1.24","0.58%","close"
"道瓊美國礦產","68.53","-0.29","-0.42%","12/16"
"CRB能源開採","1095.72","60.22","5.82%","12/16"
