"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"10年期票利率","22.87","0.02","0.09%","15:00"
"5年期票利率","16.08","0.18","1.13%","15:00"
"3月期票利率","0.05","-0.10","-66.67%","15:00"
"JP新興當地債","286.6100","-2.5670","-0.89%","12/02"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","253.04","-0.29","-0.11%","16:27"
"高盛商品","361.08","-1.48","-0.41%","12/03"
"高盛綜合商品","308.53","-1.41","-0.46%","12/03"
"Rogers商品","3005.66","-6.81","-0.23%","17:55"
"CRB工業金屬","1704.70","24.93","1.48%","12/03"
"高盛貴金屬","168.65","1.11","0.66%","12/03"
"高盛基本金屬","193.59","-0.40","-0.21%","12/03"
"Rogers金屬","2038.74","2.42","0.12%","12/03"
"FTSE金礦","1171.53","28.14","2.46%","12/03"
"道瓊世界原料","270.26","2.63","0.98%","12/03"
"msci世界原料","230.02","2.37","1.04%","close"
"道瓊美國礦產","75.73","1.26","1.69%","12/03"
"CRB能源開採","1301.13","46.86","3.74%","12/03"
"高盛能源","210.12","-0.64","-0.31%","12/03"
"天然氣","769.32","6.73","0.88%","12/03"
"Rogers能源","610.35","-1.68","-0.27%","12/03"
"msci世界能源","246.66","2.18","0.89%","close"
"WH乾淨能源","56.86","0.75","1.34%","16:15"
"生物能源","136.59","5.03","3.82%","12/03"
"全球替代能源","1385.39","12.47","0.91%","close"
"ET50環境科技","163.75","1.31","0.81%","12/04"
"純淨科技","1274.87","11.79","0.93%","12/03"
"WH創新能源","254.41","3.85","1.54%","12/03"
"ISE水指數","132.49","0.95","0.72%","12/03"
"道瓊水指數","1272.54","-3.35","-0.26%","12/03"
"CRB農業","5339.05","48.95","0.93%","12/03"
"Dax全球農金","566.62","4.81","0.86%","12/03"
"Rogers農產","962.38","-4.05","-0.42%","12/03"
"高盛農產品","52.29","-0.34","-0.65%","12/03"
"高盛牲畜","238.01","-3.32","-1.38%","12/03"

"商品價格"
"商品","買價","漲跌","比例","台北"
"黃金","1211.00","11.50","0.96%","05:54"
"銀","16.52","-0.05","-0.30%","05:54"
"白金","1231.00","9.00","0.74%","05:54"
"鈀","799.00","-7.00","-0.87%","05:45"
"銅","2.9184","-0.04","-1.19%","02:59"
"鎳","7.5030","0.11","1.50%","02:59"
"鋁","0.8719","-0.00","-0.31%","02:59"
"鋅","0.9967","-0.00","-0.45%","02:59"
