"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","14183.48","162.31","1.16","close"
"東證一部","1390.03","6.83","0.49","close"
"東證二部","2976.82","-2.73","-0.09","close"
"JASDAQ","63.14","-0.22","-0.35","close"
"上海綜合","3024.24","-48.09","-1.57","close"
"上海A股","3172.42","-50.75","-1.57","close"
"上海B股","227.75","0.73","0.32","close"
"深圳A股","946.20","-27.22","-2.80","close"
"深圳B股","517.21","6.47","1.27","close"
"滬深300","3140.30","-66.26","-2.07","close"
"香港恆生","23327.60","-47.92","-0.20","close"
"香港國企","12703.03","-86.84","-0.68","close"
"香港紅籌","4929.31","-47.06","-0.95","close"
"台灣加權","8345.59","-24.41","-0.29","close"
"台灣店頭","140.14","-3.67","-2.55","close"
"韓國指數","1781.67","7.29","0.41","18:03"
"越南股市","370.45","-2.55","-0.68","11:00"
"泰國股市","791.66","-0.28","-0.04","17:02"
"菲律賓","2579.28","-66.67","-2.52","12:11"
"馬來西亞","1229.28","-1.68","-0.14","17:00"
"印尼股市","2374.78","0.97","0.04","17:09"
"印度股市","15185.32","296.07","1.99","16:28"
"孟加拉","3025.70","-93.07","-2.98","21:17"
"巴基斯坦","9319.66","98.33","1.07","12:15"
"澳洲股市","5561.90","17.60","0.32","17:47"
"紐西蘭","3487.43","-18.47","-0.53","14:31"
"新加坡","3046.77","13.72","0.45","17:10"
"龍籌股","147.23","1.39","0.95","06/11"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2356.71","17.42","0.74","06/11"
"英國指數","5723.30","-104.00","-1.78","06/11"
"法國指數","4660.91","-100.17","-2.10","06/11"
"德國指數","6650.26","-120.84","-1.78","06/11"
"土耳其","38238.42","-416.68","-1.08","06/11"
"匈牙利","21283.50","-285.22","-1.32","06/11"
"奧地利","4097.78","-68.66","-1.65","06/11"
"波蘭股市","42968.11","-814.21","-1.86","06/11"
"捷克股市","1585.40","-8.50","-0.53","06/11"
