"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","16438.47","-375.90","-2.24","10/22"
"東證一部","1563.07","-28.21","-1.77","10/22"
"東證二部","3593.96","-48.84","-1.34","10/22"
"JASDAQ","79.74","0.22","0.28","10/22"
"上海綜合","5667.33","-150.72","-2.59","10/22"
"上海A股","5948.71","-157.99","-2.59","10/22"
"上海B股","372.32","-11.80","-3.07","10/22"
"香港恆生","28373.63","-1091.42","-3.70","10/22"
"香港國企","18808.98","-913.40","-4.63","10/22"
"香港紅籌","6241.69","-253.21","-3.90","10/22"
"台灣加權","9360.63","-251.09","-2.61","10/22"
"台灣店頭","187.69","-4.34","-2.26","10/22"
"韓國指數","1903.81","-66.29","-3.36","10/22"
"新加坡","3642.64","-105.34","-2.81","10/22"
"馬來西亞","1350.81","-19.36","-1.41","10/22"
"菲律賓","3667.87","-151.88","-3.98","10/22"
"印尼股市","2453.21","-110.54","-4.31","10/22"
"越南股市","1085.74","-11.33","-1.03","10/22"
"泰國股市","860.09","-15.74","-1.80","10/22"
"印度股市","17613.99","54.01","0.31","10/22"
"斯里蘭卡","2612.14","-12.38","-0.47","10/22"
"澳洲股市","6592.10","-131.20","-1.95","10/22"
"紐西蘭","4275.40","-40.91","-0.95","07:14"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2098.57","-43.85","-2.05","10/22"
"英國指數","6459.30","-68.60","-1.05","10/22"
"法國指數","5661.27","-79.21","-1.38","10/22"
"德國指數","7794.94","-89.18","-1.13","10/22"
"道瓊歐洲","4356.24","-55.02","-1.25","10/22"
"土耳其","53969.78","-1517.06","-2.73","10/22"
"匈牙利","27750.28","-22.20","-0.08","10/19"
"奧地利","4708.02","-88.46","-1.84","10/22"
"波蘭股市","62626.86","-505.82","-0.80","10/22"
"捷克股市","1848.40","-27.70","-1.48","10/22"
"盧森堡","2477.23","-27.74","-1.11","10/22"
"義大利","30651.00","-507.00","-1.63","16:43"
"西班牙","1670.31","-20.74","-1.23","10/22"
"瑞士股市","8845.39","-91.81","-1.03","10/22"
"瑞典股市","1145.87","-23.82","-2.04","10/22"
"芬蘭股市","11973.02","-142.37","-1.18","10/22"
"挪威股市","412.53","-10.26","-2.43","10/22"
"以色列","1182.38","9.93","0.85","10/22"
"埃及股市","78623.58","126.76","0.16","10/22"
"南非股市","27389.30","-608.77","-2.17","10/22"
"摩洛哥","26494.00","-93.22","-0.35","10/22"
"約旦指數","6629.15","19.43","0.29","10/22"
"杜拜指數","4835.79","-62.29","-1.27","10/22"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13566.97","44.95","0.33","16:30"
"NASDAQ","2753.93","28.77","1.06","17:16"
"羅素2000","810.08","11.29","1.41","16:59"
"S&P 500","1506.33","5.70","0.38","16:59"
"費城金銀","169.69","-4.21","-2.42","16:47"
