"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","15536.52","-395.74","-2.48","12/13"
"東證一部","1516.10","-40.83","-2.62","12/13"
"東證二部","3379.59","-17.81","-0.52","12/13"
"JASDAQ","74.05","-1.23","-1.63","12/13"
"上海綜合","4958.04","-137.50","-2.70","12/13"
"上海A股","5202.45","-144.46","-2.70","12/13"
"上海B股","351.59","-7.39","-2.06","12/13"
"滬深300","4884.30","-193.09","-3.80","12/13"
"香港恆生","27744.45","-776.61","-2.72","12/13"
"香港國企","16332.08","-630.54","-3.72","12/13"
"香港紅籌","5991.31","-222.73","-3.58","12/13"
"台灣加權","8187.95","-302.89","-3.57","12/13"
"台灣店頭","151.60","-6.37","-4.03","12/13"
"韓國指數","1915.90","-11.55","-0.60","12/13"
"新加坡","3479.31","-69.94","-1.97","12/13"
"馬來西亞","1410.56","-13.16","-0.92","12/13"
"菲律賓","3626.21","20.62","0.57","12/13"
"印尼股市","2755.73","-40.11","-1.43","12/13"
"越南股市","930.36","-15.96","-1.69","12/13"
"泰國股市","833.09","-1.00","-0.12","12/13"
"印度股市","20104.39","-271.48","-1.33","12/13"
"澳洲股市","6641.60","-19.50","-0.29","10:22"
"紐西蘭","3995.98","-5.41","-0.14","08:02"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2317.28","-42.57","-1.80","12/13"
"英國指數","6364.20","-195.60","-2.98","12/13"
"法國指數","5590.91","-152.41","-2.65","12/13"
"德國指數","7928.31","-147.81","-1.83","12/13"
"道瓊歐洲","4370.76","-98.71","-2.21","12/13"
"土耳其","55239.00","-1527.22","-2.69","12/13"
"匈牙利","26549.07","-202.19","-0.76","12/13"
"奧地利","4392.95","-104.80","-2.33","12/13"
"波蘭股市","57736.50","-893.36","-1.52","12/13"
"捷克股市","1805.80","-36.80","-2.00","12/13"
"盧森堡","2343.32","-44.46","-1.86","12/13"
"義大利","29635.00","-503.00","-1.67","16:43"
"西班牙","1680.05","-37.56","-2.19","12/13"
"瑞士股市","8658.36","-193.97","-2.19","12/13"
"瑞典股市","1102.12","-27.76","-2.46","12/13"
"芬蘭股市","11608.33","-310.24","-2.60","12/13"
"挪威股市","412.74","-7.89","-1.88","12/13"
"以色列","1225.92","-8.79","-0.71","12/13"
"埃及股市","88494.01","1367.91","1.57","12/13"
"南非股市","26673.64","-914.16","-3.31","12/13"
"摩洛哥","25136.42","-99.71","-0.40","12/13"
"約旦指數","7146.52","-27.84","-0.39","12/13"
"杜拜指數","5751.09","-21.52","-0.37","12/13"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13517.96","44.06","0.33","16:30"
"NASDAQ","2668.49","-2.65","-0.10","17:16"
"羅素2000","769.46","-2.25","-0.29","16:59"
"S&P 500","1488.41","1.82","0.12","16:59"
"費城金銀","168.51","-5.01","-2.89","12/13"
"DJ貴金屬","343.66","-10.52","-2.97","17:30"
"CBOE黃金","171.93","-5.01","-2.83","16:49"
"AMEX金蟲","395.81","-10.99","-2.70","16:59"
"AMEX能源","777.58","5.11","0.66","16:59"
"NYSE能源","15048.39","-32.16","-0.21","17:05"
"費城油業","300.91","0.41","0.14","12/13"
"AMEX石油","1498.08","6.33","0.42","16:59"
"費城半導","420.90","-4.77","-1.12","12/13"
"NSDQ金融","2889.98","3.02","0.10","17:16"
"NYSE金融","8474.76","-104.19","-1.21","17:05"
"NBI生技","850.18","-7.43","-0.87","17:16"
"AMEX生技","806.27","-11.08","-1.36","16:59"
"費城藥物","211.82","-0.22","-0.10","12/13"
"加拿大","13747.25","-62.13","-0.45","12/13"
"巴西指數","62860.99","-1880.70","-2.90","12/13"
"墨西哥","30088.04","-239.32","-0.79","15:06"
"阿根廷","2196.48","-29.64","-1.33","12/13"
"智利","3009.55","-81.08","-2.62","12/13"

