"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","13033.10","-326.94","-2.45","close"
"東證一部","1283.51","-29.29","-2.23","close"
"東證二部","2785.41","-31.38","-1.11","close"
"JASDAQ","61.22","-0.08","-0.13","close"
"上海綜合","2814.95","22.55","0.81","close"
"上海A股","2952.45","23.67","0.81","close"
"上海B股","218.22","1.46","0.67","close"
"深圳A股","899.10","11.39","1.28","close"
"深圳B股","473.02","-5.08","-1.06","close"
"滬深300","2901.84","19.08","0.66","close"
"香港恆生","21220.81","-692.25","-3.16","close"
"香港國企","11293.32","-418.63","-3.57","close"
"香港紅籌","4639.35","-138.24","-2.89","close"
"台灣加權","7051.85","-289.26","-3.94","close"
"台灣店頭","118.34","-3.80","-3.11","close"
"韓國指數","1533.47","-46.25","-2.93","18:03"
"越南股市","436.71","0.82","0.19","11:00"
"泰國股市","722.50","-8.06","-1.10","17:01"
"菲律賓","2450.55","35.89","1.49","12:11"
"馬來西亞","1121.25","-6.01","-0.53","17:00"
"印尼股市","2278.97","-24.84","-1.08","17:09"
"印度股市","13349.65","-176.34","-1.30","16:28"
"孟加拉","2990.01","-0.55","-0.02","20:43"
"巴基斯坦","8525.82","-39.09","-0.46","12:16"
"澳洲股市","5022.40","-69.30","-1.36","17:47"
"紐西蘭","3160.59","39.14","1.25","14:31"
"新加坡","2886.62","-47.50","-1.62","18:37"
"龍籌股","133.90","-3.76","-2.73","07/08"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2175.02","-14.01","-0.64","07/08"
"英國指數","5440.50","-72.20","-1.31","07/08"
"法國指數","4275.61","-66.98","-1.54","07/08"
"德國指數","6304.41","-91.34","-1.43","07/08"
"土耳其","34894.68","-115.36","-0.33","07/08"
"匈牙利","20343.12","217.99","1.08","07/08"
"奧地利","3713.23","-88.94","-2.34","07/08"
"波蘭股市","39429.79","-41.81","-0.11","07/08"
"捷克股市","1423.20","-18.90","-1.31","07/08"
"瑞典股市","836.38","-16.76","-1.96","07/08"
"芬蘭股市","8256.47","-139.85","-1.67","07/08"
"挪威股市","385.62","-10.72","-2.71","07/08"
"希臘指數","3285.59","-60.05","-1.79","07/08"
"義大利","21883.00","-453.00","-2.03","16:43"
"盧森堡","1840.14","-38.14","-2.03","07/08"
"荷蘭","402.79","-8.33","-2.03","07/08"
"冰島","4239.13","-86.91","-2.01","07/08"
"丹麥","393.77","-13.07","-3.21","07/08"
"瑞士股市","6788.13","-27.60","-0.40","07/08"
"西班牙","1268.74","-18.43","-1.43","07/08"
"葡萄牙","2909.07","-13.88","-0.47","07/08"
"愛爾蘭","4659.51","-199.27","-4.10","07/08"
"以色列","1018.39","-9.55","-0.93","07/08"
"埃及股市","829.88","-33.32","-3.86","07/06"
"南非股市","25995.50","-559.21","-2.11","07/08"
"摩洛哥","29249.09","251.77","0.87","07/08"
"卡達指數","11897.06","-57.58","-0.48","07/08"
"杜拜指數","5362.91","-21.86","-0.41","07/08"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","當地"
"道瓊工業","11384.21","152.25","1.36","07/08"
"NASDAQ","2294.44","51.12","2.28","07/08"
"羅素2000","682.72","24.46","3.72","07/08"
"S&P 500","1273.70","21.39","1.71","07/08"
"費城金銀","182.77","-3.09","-1.66","07/08"
"DJ貴金屬","372.21","-6.32","-1.67","17:17"
"CBOE黃金","185.26","-2.97","-1.58","07/08"
"AMEX金蟲","420.37","-4.62","-1.09","07/08"
"AMEX能源","820.40","-13.19","-1.58","07/08"
"NYSE能源","15384.97","-201.36","-1.29","07/08"
"費城油業","323.52","-4.93","-1.50","07/08"
"AMEX石油","1441.35","-14.68","-1.01","07/08"
"費城半導","360.01","3.17","0.89","07/08"
"NSDQ金融","2252.39","124.87","5.87","07/08"
"NYSE金融","6229.54","228.81","3.81","07/08"
"NBI生技","832.18","30.87","3.85","07/08"
"AMEX生技","771.21","28.45","3.83","07/08"
"費城藥物","186.05","5.92","3.29","07/08"
"加拿大","13809.77","96.97","0.71","07/08"
"巴西指數","59535.95","447.75","0.76","07/08"
"墨西哥","28551.25","167.72","0.59","07/08"
"阿根廷","1947.78","-7.55","-0.39","07/08"
"智利","2820.51","24.08","0.86","07/08"
"秘魯","14434.17","-521.41","-3.49","07/08"
"哥倫比亞","9000.56","-134.76","-1.48","07/08"
"委內瑞拉","39338.39","-61.92","-0.16","07/08"
"百慕達","4681.93","-112.71","-2.35","07/08"
"牙買加","108592.04","-307.37","-0.28","07/08"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","8964.00","110.00","1.24","07/07"
"波海海峽航運","12829.00","341.00","2.73","07/07"
"波海巴拿馬航","9002.00","93.00","1.04","07/07"
"VIX波動率","23.15","-2.63","-10.20","16:14"
"道瓊歐洲","3287.60","-45.06","-1.35","19:00"
"DJ交通運輸","4921.18","235.73","5.03","16:30"
"道瓊公用事業","513.45","2.22","0.43","16:30"
"歐洲公用事業","322.98","-6.97","-2.11","17:45"
"全球公用事業","7541.10","-86.37","-1.13","16:20"
"ISE水指數","82.88","2.15","2.66","17:12"
"道瓊水指數","503.44","2.98","0.59","17:15"
"純淨科技","1350.32","-9.36","-0.69","17:23"
"WH創新能源","249.00","2.56","1.04","17:17"
"WH乾淨能源","185.93","2.41","1.31","17:17"
"全球乾淨能源","3057.72","-25.59","-0.83","17:00"
"ISE替代能源","45.95","0.18","0.39","17:12"
"全球替代能源","3400.83","-41.35","-1.20","17:18"
"ET50環境科技","233.84","-1.30","-0.55","21:20"
"生物能源","420.85","0.66","0.16","17:19"
"環境服務","988.41","14.98","1.54","17:17"
"歐洲環境控制","153.51","-3.96","-2.52","17:45"
"美國環境控制","103.77","1.87","1.83","16:15"
"Clvrt社會責任","73.79","1.59","2.20","17:17"
"ISE邪惡指數","96.79","2.31","2.44","17:12"
