"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","6088.332","17.39","0.29%","12/17"
"澳洲股市","5150.60","71.90","1.42%","16:40"
"日經225","19353.56","303.65","1.59%","12/17"
"東證一部","1564.71","23.99","1.56%","12/17"
"東證二部","4710.42","51.80","1.11%","21:20"
"JASDAQ","116.01","1.35","1.18%","21:20"
"韓國股市","1977.96","8.56","0.43%","12/17"
"台灣加權","8319.67","135.01","1.65%","12/17"
"台灣店頭","130.6","2.18","1.70%","12/17"
"上海綜合","3579.999","63.81","1.81%","12/17"
"上海A股","3747.914","66.93","1.82%","12/17"
"上海B股","407.08","3.98","0.99%","20:20"
"深圳A股","2450.51","65.10","2.73%","20:20"
"深圳B股","1302.50","13.60","1.05%","20:20"
"滬深300","3755.888","70.45","1.91%","12/17"
"深證成指","12825.48","314.45","2.51%","12/17"
"中小板指","8512.48","168.13","2.01%","12/17"
"創業板指","2835.7","72.59","2.63%","12/17"
"香港恆生","21872.06","170.85","0.79%","12/17"
"香港國企","9666.52","127.86","1.34%","12/17"
"香港紅籌","4042.84","20.38","0.51%","12/17"
"香港創業板","467.29","4.04","0.87%","12/17"
"蒙古股市","12336","143.03","1.17%","12/16"
"新加坡","2861.18","20.26","0.71%","12/17"
"越南股市","577.11","4.56","0.80%","12/17"
"泰國股市","1310.34","11.22","0.86%","17:07"
"菲律賓","6905.7","97.98","1.44%","12/17"
"馬來西亞","1656.52","22.39","1.37%","12/17"
"印尼股市","4555.964","72.51","1.62%","12/17"
"印度股市","25803.78","309.41","1.21%","17:19"
"巴基斯坦","22908.13","244.59","1.08%","16:59"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","792.07","7.05","0.90%","19:50"
"英國股市","6102.54","41.35","0.68%","16:35"
"法國股市","4677.54","52.87","1.14%","18:05"
"德國股市","10738.12","268.86","2.57%","18:30"
"土耳其","73711.88","880.10","1.21%","17:40"
"匈牙利","23703.08","9.70","0.04%","17:25"
"烏克蘭","683.76","3.47","0.51%","19:05"
"奧地利","2366.19","-22.71","-0.95%","17:45"
"波蘭股市","45684.05","789.68","1.76%","17:15"
"捷克股市","931.85","1.72","0.18%","16:45"
"瑞典股市","1438.32","10.30","0.72%","17:35"
"芬蘭股市","8546.402","75.42","0.89%","18:35"
"挪威股市","534.87","-4.22","-0.78%","16:50"
"希臘股市","622.23","21.03","3.50%","17:19"
"義大利","23294.08","330.42","1.44%","17:35"
"比利時","3676.09","60.64","1.68%","18:05"
"盧森堡","1344.176","13.04","0.98%","17:35"
"荷蘭股市","438.97","5.14","1.18%","18:05"
"冰島股市","1321.43","21.89","1.68%","16:35"
"丹麥股市","998.272","11.86","1.20%","17:05"
"瑞士股市","8656.3","52.22","0.61%","17:30"
"西班牙","997.7","16.18","1.65%","17:38"
"葡萄牙","2456.41","32.06","1.32%","17:05"
"愛爾蘭","6751.34","97.85","1.47%","17:00"
"以色列","1519.08","17.43","1.16%","17:24"
"埃及股市","602.960","13.14","2.23%","00:27"
"南非股市","44927.07","1225.46","2.80%","17:00"
"約旦股市","2083.13","1.08","0.05%","12/17"
"杜拜股市","3073.07","87.22","2.92%","12/17"
"阿布達比","4148.29","83.15","2.05%","12/17"
"奈及利亞","26953.05","4.62","0.02%","12/17"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","17495.84","-253.25","-1.43%","16:15"
"NASDAQ","5002.555","-68.58","-1.35%","16:53"
"NYSE綜合","10112.63","-155.20","-1.51%","16:37"
"S&P 500","2041.89","-31.18","-1.50%","16:31"
"羅素3000","1204.251","-17.90","-1.46%","16:09"
"羅素3000成長","814.01","-11.64","-1.41%","16:49"
"羅素3000價值","1261.72","-19.51","-1.52%","16:30"
"羅素1000","1130.046","-17.07","-1.49%","16:09"
"羅素2000","1135.361","-13.61","-1.18%","16:09"
"費城金銀","43.21","-3.48","-7.46%","12/17"
"AMEX金蟲","106.11","-8.07","-7.07%","12/17"
"道瓊貴金屬","98.03","-7.46","-7.07%","12/17"
"AMEX能源","601.05","-15.35","-2.49%","12/17"
"NYSE能源","9235.97","-245.18","-2.59%","16:15"
"費城油業","157.62","-6.84","-4.16%","12/17"
"AMEX石油","1068.41","-22.96","-2.10%","12/17"
"費城半導體","661.71","-10.00","-1.49%","12/17"
"NBI生技","3471.41","-59.21","-1.68%","12/17"
"AMEX生技","3721.98","-51.25","-1.36%","12/17"
"加拿大","13009.93","-156.15","-1.19%","16:20"
"巴西股市","45261.48","245.64","0.55%","17:20"
"墨西哥","43503.52","73.80","0.17%","15:06"
"阿根廷","11938.33","-97.80","-0.81%","18:05"
"智利股市","3663.05","43.50","1.20%","17:14"
"委內瑞拉","14463.57","-50.59","-0.35%","12/17"
"哥倫比亞","1140.85","11.07","0.98%","16:00"
"百慕達","1313.24","17.07","1.32%","18:49"
"牙買加","144410","206","0.14%","12/17"
"秘魯股市","13366.86","129.20","0.98%","04/30"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波羅的海乾散貨","471.00","-13.00","-2.69%","12/16"
"波羅的海海岬型","549.00","-74.00","-11.88%","12/16"
"波羅的海巴拿馬","415.00","4.00","0.97%","12/16"
"波羅的海輕便型","448.00","-1.00","-0.22%","12/16"
"VIX波動率","18.94","1.08","6.05%","16:14"
"VXD道瓊波動","17.53","0.84","5.03%","12/17"
"VXN納指波動","20.28","1.49","7.93%","12/17"
"羅素大中華","1983.86","49.14","2.54%","17:23"
"道瓊歐洲","3306.47","59.69","1.84%","12/17"
"道瓊交通運輸","7533.38","-153.62","-2.00%","12/17"
