"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","17587.59","106.38","0.61","close"
"東證一部","1724.38","8.84","0.52","close"
"東證二部","3995.14","24.13","0.61","close"
"JASDAQ","80.77","0.49","0.61","close"
"上海綜合","4272.11","92.33","2.21","05/28"
"上海A股","4476.67","95.10","2.17","05/28"
"上海B股","344.68","21.06","6.51","05/28"
"香港恆生","20529.76","9.10","0.04","05/28"
"香港國企","10643.66","-6.18","-0.06","05/28"
"香港紅籌","3582.70","8.22","0.23","05/28"
"台灣指數","8156.82","-3.15","-0.04","13:46"
"韓國指數","1657.91","13.35","0.81","18:03"
"新加坡","3513.37","26.74","0.77","17:05"
"馬來西亞","1345.99","6.91","0.52","17:00"
"菲律賓","3443.56","1.80","0.05","12:11"
"印尼股市","2076.76","16.32","0.79","17:09"
"越南股市","1098.64","9.04","0.83","15:26"
"泰國股市","727.93","8.79","1.22","17:01"
"印度股市","14397.89","59.44","0.41","16:28"
"澳洲股市","6275.00","1.70","0.03","17:47"
"日本不動產","4300.90","-12.06","-0.28","15:44"
"東證REIT","2592.16","25.34","0.99","15:01"
"澳洲不動產","1875.88","-8.95","-0.47","19:14"
"新加坡不動產","1577.28","-17.34","-1.09","05/25"
"恆生地產","24845.93","-13.95","-0.06","17:01"
"亞洲REIT","197.89","0.94","0.48","16:30"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"英國指數","6570.50","5.10","0.08","05/25"
"法國指數","6071.47","13.98","0.23","05/28"
"德國指數","7739.20","41.82","0.54","05/25"
"俄羅斯","1770.42","-24.34","-1.36","05/28"
"道瓊歐洲","4463.52","10.82","0.24","05/25"
"土耳其","46927.81","733.54","1.59","05/28"
"匈牙利","25843.16","-102.82","-0.40","05/25"
"奧地利","4857.30","-10.47","-0.21","05/25"
"波蘭股市","62623.62","958.94","1.55","05/28"
"捷克股市","1828.40","13.00","0.72","05/28"
"愛沙尼亞","908.97","4.74","0.52","05/28"
"拉托維亞","661.66","-3.47","-0.52","05/28"
"立陶宛","492.46","-0.80","-0.16","05/28"
"盧森堡","2495.72","-31.18","-1.23","05/25"
"義大利","33693.00","74.00","0.22","20:33"
"西班牙","1668.22","7.39","0.45","05/28"
"瑞士股市","9381.34","24.32","0.26","05/25"
"瑞典股市","1275.09","6.05","0.48","05/28"
"芬蘭股市","11311.86","66.70","0.59","05/28"
"挪威股市","411.07","-5.19","-1.25","05/25"
"英國不動產","2841.87","0.00","0.00","21:48"
"歐陸不動產","3133.75","-1.31","-0.04","21:48"
"歐洲不動產","3809.70","-0.89","-0.02","21:48"
"以色列","1125.84","18.56","1.68","05/28"
"埃及股市","68015.03","-259.90","-0.38","05/28"
"南非股市","25651.70","115.28","0.45","05/28"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13507.28","66.15","0.49","05/25"
"NASDAQ","2557.19","19.27","0.76","05/25"
"羅素2000","829.93","6.13","0.74","05/25"
"S&P 500","1515.73","8.22","0.55","05/25"
"DJ貴金屬","271.51","2.44","0.91","05/25"
"CBOE黃金","139.60","1.16","0.84","05/25"
"AMEX金蟲","322.25","3.51","1.10","05/25"
"費城金銀","135.80","1.28","0.95","05/25"
"費城油業","248.40","3.94","1.61","05/25"
"AMEX石油","1359.86","21.56","1.61","05/25"
"NYSE能源","13309.67","171.35","1.30","05/25"
"AMEX能源","678.40","9.43","1.41","05/25"
"費城半導","480.63","1.79","0.37","05/25"
"NSDQ金融","3201.41","6.93","0.22","05/25"
"NYSE金融","9843.94","41.15","0.42","05/25"
"ISE水指數","81.24","1.11","1.39","05/25"
"道瓊水指數","731.62","11.30","1.57","05/25"
"道瓊權益REIT","305.04","2.66","0.88","05/25"
"NBI生技","826.53","2.90","0.35","05/25"
"AMEX生技","812.23","4.79","0.59","05/25"
"費城藥物","216.18","0.12","0.06","05/25"
"加拿大","14073.74","49.67","0.35","05/28"
"巴西指數","52119.97","502.00","0.97","05/28"
