"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","12945.30","-166.59","-1.27","16:00"
"東證一部","1248.07","-14.83","-1.17","15:00"
"東證二部","2714.51","-16.98","-0.62","15:00"
"JASDAQ","64.45","1.14","1.80","15:00"
"上海綜合","3471.74","57.84","1.69","15:16"
"上海A股","3642.65","60.83","1.70","15:16"
"上海B股","249.94","2.03","0.82","15:16"
"深圳A股","1120.33","24.20","2.21","15:00"
"深圳B股","555.30","6.44","1.17","15:00"
"滬深300","3754.72","66.59","1.81","15:01"
"香港恆生","24187.10","202.53","0.84","16:01"
"香港國企","12998.21","134.41","1.04","16:01"
"香港紅籌","5449.65","70.09","1.30","16:01"
"台灣加權","8829.40","161.47","1.86","13:46"
"台灣店頭","153.37","2.92","1.94","13:46"
"韓國指數","1764.64","9.93","0.57","18:03"
"越南股市","545.73","-6.32","-1.14","11:01"
"泰國股市","820.98","-5.21","-0.63","17:01"
"菲律賓","2955.11","-6.67","-0.23","12:11"
"馬來西亞","1248.19","20.45","1.67","17:00"
"印尼股市","2235.93","55.84","2.56","17:09"
"印度股市","15695.10","-95.41","-0.60","16:28"
"孟加拉","3075.45","5.52","0.18","20:59"
"巴基斯坦","10883.73","-70.49","-0.64","13:15"
"澳洲股市","5515.50","-68.00","-1.22","17:47"
"紐西蘭","3540.01","-35.44","-0.99","14:31"
"新加坡","3064.60","-25.12","-0.81","17:10"
"龍籌股","150.01","-9.31","-5.84","04/10"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2132.50","17.18","0.81","04/10"
"英國指數","5965.10","-18.80","-0.31","04/10"
"法國指數","4859.42","-15.55","-0.32","04/10"
"德國指數","6704.32","-17.04","-0.25","04/10"
"土耳其","42096.46","-804.03","-1.87","04/10"
"匈牙利","22226.39","-13.00","-0.06","04/10"
"奧地利","3889.37","-60.69","-1.54","04/10"
"波蘭股市","48148.78","-409.01","-0.84","04/10"
"捷克股市","1545.10","-38.20","-2.41","04/10"
"瑞典股市","969.89","-8.61","-0.88","04/10"
"芬蘭股市","9818.64","-77.91","-0.79","04/10"
"挪威股市","376.24","0.95","0.25","04/10"
"希臘指數","4068.32","-69.08","-1.67","04/10"
