"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","17244.05","215.64","1.27","close"
"東證一部","1704.32","21.83","1.30","close"
"東證二部","4152.26","-13.05","-0.31","close"
"JASDAQ","84.25","-0.24","-0.28","close"
"上海綜合","3291.30","38.70","1.19","04/03"
"上海A股","3459.46","40.73","1.19","04/03"
"上海B股","181.23","1.72","0.96","04/03"
"香港恆生","20002.70","193.00","0.97","16:19"
"香港國企","9724.30","81.27","0.84","16:19"
"香港紅籌","3436.00","29.49","0.87","16:19"
"台灣指數","7932.91","47.92","0.61","13:46"
"韓國指數","1463.75","4.22","0.29","18:03"
"新加坡","3288.36","42.05","1.29","17:05"
"馬來西亞","1256.82","10.52","0.84","17:00"
"菲律賓","3248.00","18.40","0.57","12:11"
"印尼股市","1894.58","45.19","2.44","17:08"
"越南股市","1027.53","-27.57","-2.61","14:16"
"泰國股市","686.53","6.91","1.02","17:01"
"印度股市","12624.58","169.21","1.36","16:28"
"澳洲股市","5997.60","89.40","1.51","17:47"
"日本不動產","4128.13","-20.74","-0.50","15:45"
"東證REIT","2449.27","-43.65","-1.75","15:01"
"澳洲不動產","1883.90","50.23","2.74","19:15"
"新加坡不動產","1529.06","39.68","2.66","04/02"
"恆生地產","24259.84","406.79","1.71","17:01"
"亞洲REIT","192.16","-2.88","-1.48","16:30"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"英國指數","6366.10","50.60","0.80","15:36"
"法國指數","5711.91","66.35","1.18","17:10"
"德國指數","7045.56","108.39","1.56","18:35"
"俄羅斯","1920.80","-6.93","-0.36","18:00"
"道瓊歐洲","4246.30","56.75","1.35","17:28"
"土耳其","44309.25","767.05","1.76","15:40"
"匈牙利","23655.17","100.75","0.43","15:36"
"奧地利","4689.93","15.77","0.34","16:35"
"波蘭股市","57604.37","788.18","1.39","15:40"
"捷克股市","1723.80","15.10","0.88","16:13"
"愛沙尼亞","913.63","7.81","0.86","13:05"
"拉托維亞","655.51","-9.81","-1.47","13:05"
"立陶宛","493.51","1.50","0.30","13:05"
"盧森堡","2409.41","33.04","1.39","15:10"
"義大利","33035.00","330.00","1.01","16:43"
"西班牙","1655.43","24.67","1.51","16:39"
"瑞士股市","9053.95","97.64","1.09","16:30"
"瑞典股市","1245.57","19.59","1.60","17:05"
"芬蘭股市","10393.23","131.87","1.28","17:32"
"挪威股市","389.61","2.37","0.61","15:25"
"英國不動產","3128.32","0.90","0.03","16:37"
"歐陸不動產","3343.32","19.59","0.59","16:45"
"歐洲不動產","4102.07","13.89","0.34","16:45"
"以色列","1004.22","7.01","0.70","04/01"
"埃及股市","63335.17","102.91","0.16","12:41"
"南非股市","24864.52","137.79","0.56","16:00"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","12510.30","128.00","1.03","16:30"
"NASDAQ","2450.33","28.07","1.16","17:16"
"羅素2000","811.77","8.55","1.06","17:00"
"S&P 500","1437.77","13.22","0.93","17:00"
"DJ貴金屬","278.31","3.55","1.29","17:33"
"CBOE黃金","147.26","2.10","1.45","16:49"
"AMEX金蟲","349.41","4.25","1.23","16:35"
"費城金銀","141.12","1.82","1.31","04/03"
"費城油業","219.34","0.52","0.24","04/03"
"AMEX石油","1229.11","0.69","0.06","16:35"
"NYSE能源","12129.19","25.15","0.21","17:06"
"AMEX能源","613.38","2.04","0.33","16:35"
"費城半導","468.60","3.15","0.68","04/03"
"NSDQ金融","3095.39","39.36","1.29","17:16"
"NYSE金融","9479.72","96.49","1.03","17:06"
"ISE水指數","76.83","0.68","0.89","16:29"
"道瓊水指數","714.29","7.25","1.02","17:25"
"道瓊權益REIT","330.13","2.58","0.79","16:49"
"NBI生技","789.38","10.86","1.40","17:16"
"AMEX生技","775.60","9.16","1.20","16:35"
"費城藥物","205.15","1.33","0.65","04/03"
"加拿大","13361.23","95.43","0.72","04/03"
"巴西指數","46288.16","690.68","1.51","04/03"
"墨西哥","29348.09","176.57","0.60","04/03"
"阿根廷","2114.62","11.84","0.56","04/03"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","時間"
"黃金","665.00","-0.50","-0.08","5:45"
"銀","13.44","-0.02","-0.15","5:47"
"白金","1244.00","0.00","0.00","3:38"
"鈀","355.00","-2.00","-0.57","4:05"
"銅","3.2874","+0.0000","+0.00","2:27"
"鎳","22.5511","+0.0000","+0.00","2:27"
"鋁","1.2757","+0.0000","+0.00","2:27"
"鋅","1.5006","+0.0068","+0.46","2:27"
"鉛","0.8830","+0.0000","+0.00","2:27"
"黃金期貨","669.700","-1.800","-00.27","1:38"
"銀期貨","13.430","0.080","00.60","1:35"
"銅期貨","7022.000","126.000","01.83","04/02"
"天然氣期","7.426","-0.245","-03.19","2:52"
"WTI原油期","64.640","-1.300","-01.97","2:47"
"玉米期貨","367.500","-2.000","-00.54","04/03"
"小麥期貨","419.000","-9.000","-02.10","2:15"
"可可粉期","1866.000","31.000","01.69","0:29"
"大豆期貨","763.750","-15.250","-01.96","04/03"
"咖啡C期","110.750","2.150","01.98","1:03"
"十一號糖","9.720","0.020","00.21","1:16"
"二號棉期","53.050","-0.190","-00.36","2:30"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","時間"
"歐元/美元","1.3330","-0.0036","-0.2694","4:53"
"英鎊/美元","1.9740","-0.0037","-0.1871","4:53"
"美元/瑞士法郎","1.2226","0.0071","0.5841","4:53"
"美元/俄盧布","26.0130","0.0249","0.0958","4:51"
"美元/匈牙利幣","184.0500","-1.1300","-0.6102","4:53"
"美元/土耳其幣","1.3730","-0.0158","-1.1413","4:53"
"美元/南非幣","7.1755","-0.0795","-1.0958","4:53"
"美元/日圓","118.9450","1.0800","0.9163","4:52"
"美元/人民幣","7.7257","-0.0066","-0.0854","2:28"
"美元/港幣","7.8156","0.0014","0.0179","4:52"
"美元/台幣","33.3250","0.2500","0.7559","1:23"
"美元/韓圜","936.6000","-0.7500","-0.0800","23:04"
"美元/泰銖","32.6500","0.1000","0.3072","4:02"
"美元/新元","1.5197","0.0002","0.0164","4:53"
"美元/馬來幣","3.4605","0.0010","0.0289","2:03"
"美元/印尼盾","9102.5000","-12.0000","-0.1317","4:01"
"美元/印度盧比","43.0650","-0.2250","-0.5198","19:32"
"澳幣/美元","0.8132","-0.0038","-0.4712","4:53"
"紐幣/美元","0.7194","-0.0020","-0.2841","4:53"
"美元/巴西幣","2.0368","-0.0108","-0.5250","4:52"
"美元/墨披索","10.9750","-0.0417","-0.3785","4:53"
"美元/加幣","1.1586","0.0022","0.1859","4:53"

"MSCI 指數"
"MSCI","指數","漲跌","YTD","日期"
"金磚四國","281.670","0.953%","-0.728","4/3"
"中國","51.275","0.814%","-1.513","4/3"
"印度","367.336","2.379%","-5.965","4/3"
"俄羅斯","1201.678","-0.64%","-3.887","4/3"
"巴西","2352.896","1.905%","6.687","4/3"
"新興市場","937.109","0.967%","2.68","4/3"
"新興亞洲","372.519","0.938%","0.284","4/3"
"新興東歐","304.655","-0.141%","-1.543","4/3"
"新興拉美","3222.918","1.612%","7.586","4/3"
"世界","379.709","0.939%","3.242","4/3"
"歐洲","558.321","0.989%","5.037","4/3"
"遠東ex日本","434.671","0.911%","2.126","4/3"
"中華","289.460","1.083%","0.024","4/3"
"歐洲小型","327.694","0.931%","9.168","4/3"
"日本小型","104.062","-0.651%","1.927","4/3"
"美國小型","308.959","1.01%","3.269","4/3"
"世界小型","249.875","0.693%","5.711","4/3"
"日本","3268.798","0.536%","1.886","4/3"
"香港","7392.929","1.411%","1.974","4/3"
"世界能源","240.79","0.91","0.38","04/03"
"世界原料","250.18","3.61","1.46","04/03"

