"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"Rogers商品","5333.26","56.09","1.06","14:30"
"Rogers能源","1745.91","8.32","0.48","5/8"
"Rogers金屬","2475.30","-13.47","-0.54","5/8"
"Rogers農產","1406.66","15.65","1.13","5/8"
"日本不動產","2872.73","-132.28","-4.40","06:03"
"東證REIT","1550.03","-35.09","-2.21","15:00"
"澳洲不動產","1341.85","-11.49","-0.85","08:03"
"新加坡不動產","1204.16","-15.87","-1.30","06:03"
"恆生地產","31531.98","-569.69","-1.77","17:01"
"亞洲REIT","156.81","-1.92","-1.21","16:30"
"英國不動產","1866.96","-33.77","-1.78","22:03"
"歐陸不動產","2354.18","-17.57","-0.74","22:03"
"歐洲不動產","2917.46","-37.50","-1.27","22:03"
"DJ權益REIT","267.54","-2.01","-0.75","15:49"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","427.48","5.34","1.26","05/09"
"MS商品指數","955.38","-12.52","-1.29","05/09"
"高盛商品指數","9615.15","156.37","1.65","05/09"
"高盛農產品","417.33","0.18","0.04","05/09"
"高盛家畜指數","246.34","3.16","1.30","05/09"
"高盛貴金屬","1218.05","5.85","0.48","05/09"
"高盛工業金屬","452.44","-7.94","-1.72","05/09"
"高盛能源指數","435.14","9.64","2.27","05/09"
"天然氣","704.84","-4.77","-0.67","05/09"
"AMEX航空","21.89","-0.07","-0.32","05/09"
"銀行","81.03","-0.61","-0.75","05/09"
"醫療服務","426.38","4.34","1.03","05/09"
"電腦硬體","230.36","0.09","0.04","05/09"
"保險","3825.78","-15.49","-0.40","05/09"
"美國紙業","103.17","-0.69","-0.66","05/09"
"零售業","395.05","-0.11","-0.03","05/09"
"掮客商指數","171.22","-0.47","-0.27","05/09"
"美元指數","73.05","-0.42","-0.57","05/09"
"歐元指數","154.80","0.86","0.56","05/09"
"英鎊指數","195.32","-0.11","-0.06","05/09"
"日圓指數","97.19","0.77","0.80","05/09"
"澳幣指數","94.38","-0.03","-0.03","05/09"
"30年債券價格","117.25","0.48","0.41","05/09"
"30年債殖利率","45.24","-0.40","-0.88","05/09"
"10年期票利率","37.67","-0.38","-1.00","05/09"
"5年期票利率","29.61","-0.43","-1.43","05/09"
"3月期票利率","16.50","0.30","1.85","05/09"
"Put/Call比例","0.93","0.04","4.49","05/09"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","台北"
"黃金","884.80","1.00","0.11","05/09"
"銀","16.85","-0.04","-0.24","05/09"
"白金","2094.00","69.00","3.42","05/09"
"鈀","450.00","9.00","2.06","05/09"
"銅","3.7887","0.04","0.94","3:09"
"鎳","12.1869","-0.02","-0.19","2:19"
"鋁","1.2889","0.00","0.00","3:13"
"鋅","0.9728","-0.00","-0.19","2:19"
"鉛","1.0099","0.00","0.46","2:19"
"鈾","63.00","-2.00","-3.08","05/05"
"黃金期貨","885.800","3.700","0.42","1:41"
"銀期貨","16.910","0.040","0.24","1:32"
"銅期貨","371.650","-7.100","-1.87","1:25"
"天然氣期","11.537","0.274","2.43","5:13"
"布蘭特油期","125.400","2.560","2.08","3:26"
"WTI原油期","125.960","2.270","1.84","5:15"
"燃油期貨","363.600","12.620","3.60","5:14"
"玉米期貨","629.250","-1.000","-0.16","2:30"
"小麥期貨","804.500","-17.500","-2.13","2:29"
"可可粉期","2741.000","32.000","1.18","3:14"
"黃豆期貨","1358.000","48.000","3.66","2:15"
"黃豆油期貨","62.000","2.450","4.11","2:32"
"咖啡C期","136.550","2.000","1.49","3:14"
"十一號糖","11.610","0.150","1.31","3:14"
"二號棉期","71.550","0.700","0.99","3:14"
"活牛期貨","94.525","0.875","0.93","2:25"
"瘦豬期貨","76.875","0.400","0.52","2:29"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","台北"
"歐元/美元","1.5482","0.0088","0.57","4:59"
"英鎊/美元","1.9540","-0.0002","-0.01","4:59"
"美元/瑞士法郎","1.0412","-0.0100","-0.96","4:59"
"美元/俄盧布","23.7410","-0.0853","-0.36","4:57"
"美元/匈牙利幣","162.7500","-1.3050","-0.80","4:59"
"美元/土耳其幣","1.2660","0.0027","0.21","4:58"
"美元/南非幣","7.7331","0.1394","1.84","4:59"
"美元/以色列幣","3.4652","0.0232","0.67","4:59"
"美元/摩洛哥","7.3997","0.0000","0.00","05/08"
"美元/日圓","102.8600","-0.8850","-0.85","4:59"
"美元/人民幣","6.9878","-0.0171","-0.24","4:35"
"美元/港幣","7.7955","0.0004","0.01","4:58"
"美元/台幣","30.7300","-0.1000","-0.32","4:32"
"美元/韓圜","1043.5000","3.0000","0.29","2:43"
"美元/泰銖","32.0100","0.0850","0.27","4:58"
