"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","15956.37","82.29","0.52","16:00"
"東證一部","1561.76","9.49","0.61","15:00"
"東證二部","3373.51","14.12","0.42","15:00"
"JASDAQ","75.15","-0.32","-0.42","15:00"
"上海綜合","5091.76","56.68","1.13","15:15"
"上海A股","5342.92","59.39","1.12","15:15"
"上海B股","358.96","5.19","1.47","15:15"
"滬深300","5041.35","70.30","1.41","15:01"
"香港恆生","28842.47","-716.45","-2.42","16:01"
"香港國企","17619.03","-170.99","-0.96","16:01"
"香港紅籌","6286.82","-159.88","-2.48","16:02"
"台灣加權","8722.38","27.97","0.32","13:46"
"台灣店頭","162.54","-0.25","-0.15","13:46"
"韓國指數","1934.32","-18.85","-0.97","18:03"
"新加坡","3557.95","5.40","0.15","17:05"
"馬來西亞","1434.04","-6.35","-0.44","17:00"
"菲律賓","3745.39","11.43","0.31","12:11"
"印尼股市","2778.95","-16.45","-0.59","17:09"
"越南股市","974.63","0.17","0.02","11:01"
"泰國股市","841.39","-3.80","-0.45","17:01"
"印度股市","19966.00","170.13","0.86","16:28"
"澳洲股市","6714.00","53.50","0.80","16:47"
"紐西蘭","4092.93","49.43","1.22","13:31"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2285.85","26.71","1.18","17:00"
"英國指數","6554.90","69.30","1.07","15:35"
"法國指數","5718.75","44.99","0.79","17:10"
"德國指數","7994.07","53.49","0.67","19:29"
"道瓊歐洲","4446.34","31.68","0.72","18:00"
"土耳其","56490.57","303.68","0.54","16:11"
"匈牙利","26430.35","406.49","1.56","15:36"
"奧地利","4515.39","36.37","0.81","16:35"
"波蘭股市","58635.79","509.61","0.88","15:40"
"捷克股市","1842.70","29.90","1.65","16:13"
"盧森堡","2383.94","29.06","1.23","16:40"
"義大利","30090.00","150.00","0.50","16:43"
"西班牙","1713.97","11.07","0.65","16:38"
"瑞士股市","8799.65","57.91","0.66","16:30"
"瑞典股市","1119.70","14.47","1.31","16:44"
"芬蘭股市","11848.70","84.16","0.72","17:31"
"挪威股市","416.31","-8.67","-2.04","15:24"
"以色列","1211.81","4.62","0.38","12/06"
"埃及股市","89695.94","902.33","1.02","12/06"
"南非股市","27670.38","248.83","0.91","15:00"
"摩洛哥","25081.00","-304.47","-1.20","18:56"
"約旦指數","7158.19","40.45","0.57","12/06"
"杜拜指數","5552.73","18.07","0.33","12/06"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13625.58","5.69","0.04","16:30"
"NASDAQ","2706.16","-2.87","-0.11","17:17"
"羅素2000","785.52","-1.43","-0.18","16:59"
"S&P 500","1504.66","-2.68","-0.18","16:59"
"費城金銀","174.39","-0.19","-0.11","16:46"
"DJ貴金屬","355.44","-0.88","-0.25","17:32"
"CBOE黃金","176.28","-1.14","-0.64","16:49"
"AMEX金蟲","412.06","-0.83","-0.20","16:41"
"AMEX能源","763.32","-1.54","-0.20","16:41"
"NYSE能源","14968.04","-68.25","-0.45","17:05"
"費城油業","296.31","-1.58","-0.53","16:46"
"AMEX石油","1478.82","0.44","0.03","16:41"
"費城半導","429.07","0.16","0.04","16:46"
"NSDQ金融","2979.06","-17.20","-0.57","17:17"
"NYSE金融","8782.08","-41.92","-0.48","17:05"
"NBI生技","873.63","-7.96","-0.90","17:17"
"AMEX生技","827.68","-5.94","-0.71","16:41"
"費城藥物","214.56","0.34","0.16","16:46"
"加拿大","13862.97","13.17","0.10","17:05"
"巴西指數","65638.54","-152.27","-0.23","16:14"
"墨西哥","31268.36","11.06","0.04","15:06"
"阿根廷","2238.86","-3.08","-0.14","17:01"
"智利","3294.40","12.15","0.37","16:31"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"波海乾貨航運","10142.00","-74.00","-0.72","12/06"
"波海海峽航運","15079.00","-168.00","-1.10","12/06"
"波海巴拿馬航運","9886.00","-101.00","-1.01","12/06"
"VIX波動率","20.85","-0.11","-0.53","16:14"
"DJ交通運輸","4876.35","86.82","1.81","16:30"
"道瓊公用事業","550.66","1.58","0.29","16:30"
"歐洲公用事業","369.43","0.78","0.21","17:45"
"全球公用事業","8440.22","13.01","0.15","16:15"
"ISE水指數","89.47","-0.11","-0.12","16:44"
"道瓊水指數","745.40","-6.28","-0.83","16:04"
"NSDQ純淨優勢","615.72","16.80","2.81","16:44"
"純淨科技","1528.74","19.51","1.29","16:41"
"WH革新能源","273.16","-0.07","-0.03","16:41"
"WH乾淨能源","263.68","8.19","3.21","16:41"
"全球乾淨能源","3749.40","101.63","2.79","16:34"
"ISE替代能源","65.60","1.28","1.99","16:44"
"全球替代能源","3917.34","80.79","2.11","16:33"
"生物能源","646.42","9.76","1.53","16:33"
"AMEX環境服務","1064.08","-2.01","-0.19","16:41"
"歐洲環境控制","184.03","1.25","0.68","17:45"
"美國環境控制","104.40","-0.34","-0.33","16:15"
"KLD社會責任","130.18","-0.57","-0.44","16:44"
"Clvrt社會責任","89.69","-0.25","-0.28","16:04"
"ISE邪惡指數","132.27","0.07","0.05","16:44"
"MSCI世界能源","292.13","4.38","1.52","12/06"
"MSCI世界原料","298.27","2.10","0.71","12/06"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"Rogers商品","4232.03","-3.48","-0.08","14:30"
"Rogers能源","1239.63","30.38","2.51","12/6"
"Rogers金屬","2156.86","-6.34","-0.29","12/6"
"Rogers農產","1278.41","1.99","0.16","12/6"
"日本不動產","3414.49","60.22","1.79","15:44"
"東證REIT","2000.43","27.90","1.41","15:00"
"澳洲不動產","1893.40","11.24","0.60","18:14"
"新加坡不動產","1312.79","20.61","1.59","12/06"
"恆生地產","37217.52","-1650.62","-4.25","17:01"
"亞洲REIT","172.76","1.70","0.99","16:30"
"英國不動產","2087.69","43.76","2.14","17:36"
"歐陸不動產","2425.37","40.87","1.71","17:45"
"歐洲不動產","3056.76","63.11","2.11","17:45"
"DJ權益REIT","278.71","-0.87","-0.31","16:49"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"CRB指數","342.92","-0.20","-0.06","12/07"
"MS商品指數","846.87","2.24","0.27","12/07"
"高盛商品指數","7067.85","-65.45","-0.92","12/07"
"高盛農產品","373.49","8.14","2.23","12/07"
"高盛家畜指數","227.61","1.30","0.57","12/07"
"高盛工業金屬","410.81","9.27","2.31","12/07"
"天然氣","564.15","-1.22","-0.22","12/07"
"AMEX航空","40.39","1.16","2.96","12/07"
"銀行","96.48","-1.36","-1.39","12/07"
"醫療服務","442.83","0.21","0.05","12/07"
"電腦科技","964.19","-1.87","-0.19","12/07"
"電腦硬體","247.37","-0.96","-0.39","12/07"
"保險","4141.52","-36.65","-0.88","12/07"
"美國紙業","140.97","1.10","0.79","12/07"
"零售業","443.99","3.34","0.76","12/07"
"掮客商指數","213.52","0.15","0.07","12/07"
"美元指數","76.29","-0.11","-0.14","12/07"
"歐元指數","146.57","0.26","0.18","12/07"
"日圓指數","89.54","-0.25","-0.28","12/07"
