"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3314.64","12.85","0.39%","17:31"
"澳洲股市","4333.24","42.24","0.98%","16:14"
"日經225","8876.82","67.03","0.76%","15:28"
"東證一部","762.45","4.49","0.59%","15:00"
"東證二部","2220.35","5.34","0.24%","15:00"
"JASDAQ","48.52","0.50","1.04%","15:11"
"韓國股市","1984.30","25.06","1.28%","18:05"
"台灣加權","7652.46","103.25","1.37%","13:46"
"台灣店頭","108.57","2.37","2.23%","13:46"
"上海綜合","2312.56","44.48","1.96%","15:15"
"上海A股","2422.79","46.65","1.96%","15:15"
"上海B股","223.26","3.22","1.46%","15:15"
"深圳A股","905.47","16.93","1.91%","15:00"
"深圳B股","590.85","7.45","1.28%","15:00"
"滬深300","2486.24","57.24","2.36%","15:01"
"深證成指","9382.13","188.74","2.05%","15:00"
"香港恆生","20739.40","406.08","2.00%","16:01"
"香港國企","11583.50","329.67","2.93%","16:01"
"香港紅籌","3985.33","69.18","1.77%","16:01"
"新加坡","2901.04","-3.72","-0.13%","17:10"
"海峽中國","251.25","3.08","1.24%","16:40"
"越南股市","401.61","10.94","2.80%","11:02"
"泰國股市","1091.67","5.31","0.49%","17:01"
"菲律賓","4822.08","106.44","2.26%","16:30"
"馬來西亞","1537.09","15.80","1.04%","17:05"
"印尼股市","4016.90","51.93","1.31%","16:00"
"印度股市","17431.80","131.27","0.76%","18:00"
"巴基斯坦","8270.82","5.66","0.07%","17:06"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1602.99","3.43","0.21%","02/02"
"英國股市","5796.07","5.35","0.09%","02/02"
"法國股市","3376.66","9.20","0.27%","02/02"
"德國股市","6655.63","38.99","0.59%","02/02"
"土耳其","60051.90","836.29","1.41%","02/02"
"匈牙利","19521.70","373.17","1.95%","02/02"
"奧地利","2170.72","32.48","1.52%","17:33"
"波蘭股市","41602.20","163.81","0.40%","02/02"
"捷克股市","998.40","15.10","1.54%","02/02"
"瑞典股市","1066.11","0.83","0.08%","02/02"
"芬蘭股市","5942.88","21.80","0.37%","18:30"
"挪威股市","373.08","0.29","0.08%","02/02"
"希臘股市","792.44","-3.66","-0.46%","17:19"
"義大利","17244.60","36.27","0.21%","02/02"
"比利時","2272.12","7.39","0.33%","02/02"
"盧森堡","1227.72","24.19","2.01%","02/02"
"荷蘭股市","323.06","-2.09","-0.64%","02/02"
"冰島股市","608.39","2.41","0.40%","02/02"
"丹麥股市","424.00","7.35","1.76%","17:00"
"瑞士股市","6064.41","-5.50","-0.09%","02/02"
"西班牙","882.07","8.09","0.93%","02/02"
"葡萄牙","2142.36","14.26","0.67%","02/02"
"愛爾蘭","3065.82","-2.52","-0.08%","02/02"
"以色列","1121.27","-1.89","-0.17%","02/02"
"埃及股市","460.03","-9.70","-2.07%","02/02"
"南非股市","30728.20","209.59","0.69%","02/02"
"約旦股市","1945.00","-5.95","-0.30%","02/02"
"杜拜股市","1435.96","-17.57","-1.21%","02/02"
"阿布達比","2476.62","10.56","0.43%","02/02"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12705.40","-11.05","-0.09%","02/02"
"那斯達克","2859.68","11.41","0.40%","02/02"
"羅素兩千","812.89","3.23","0.40%","16:58"
"S&P 五百","1325.54","1.45","0.11%","02/02"
"費城金銀","202.74","1.97","0.98%","02/02"
"DJ貴金屬","417.15","3.84","0.93%","17:15"
"CBOE黃金","234.81","3.04","1.31%","02/02"
"AMEX金蟲","551.24","9.71","1.79%","17:59"
"AMEX能源","717.60","4.62","0.65%","02/02"
"NYSE能源","12947.06","47.01","0.36%","16:38"
"費城油業","243.98","3.65","1.52%","02/02"
"AMEX石油","1268.36","4.21","0.33%","17:59"
"費城半導","420.56","1.82","0.43%","02/02"
"NSDQ金融","2069.09","17.93","0.87%","02/02"
"NYSE金融","4514.81","27.38","0.61%","17:59"
"NBI生技","1238.47","6.54","0.53%","02/02"
"AMEX生技","1377.64","20.21","1.49%","17:59"
"費城藥物","201.39","-1.28","-0.63%","02/02"
"加拿大","12553.50","35.82","0.29%","02/02"
"巴西股市","64593.10","25.92","0.04%","02/02"
"墨西哥","37711.20","1.51","0.00%","15:07"
"阿根廷","2817.65","-19.41","-0.68%","02/02"
"智利股市","4338.37","22.00","0.51%","02/02"
"秘魯股市","22686.70","315.46","1.41%","02/02"
"哥倫比亞","13918.20","47.63","0.34%","02/02"
"委內瑞拉","123595.00","0.00","0.00%","02/02"
"百慕達","1017.41","0.51","0.05%","02/01"
"牙買加","91624.60","239.91","0.26%","02/02"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","662.00","-18.00","-2.65%","02/01"
"波海海峽航運","1446.00","-1.00","-0.07%","02/01"
"波海巴拿馬航","694.00","-30.00","-4.14%","02/01"
"VIX波動率","17.98","-0.57","-3.07%","16:14"
"VXD道瓊波動","16.61","-0.24","-1.42%","16:28"
"VXN納指波動","18.89","-0.15","-0.79%","16:14"
"羅素大中華","1924.54","-1.59","-0.08%","02/01"
"道瓊歐洲","2478.15","7.36","0.30%","17:50"
"道瓊交通運輸","5305.66","-37.44","-0.70%","02/02"
"AMEX航空","40.44","0.82","2.08%","02/02"
"美國紙業","114.90","0.97","0.85%","02/02"
"道瓊公用事業","449.84","-1.07","-0.24%","02/02"
"電腦科技","1057.82","-0.02","-0.00%","02/02"
"電腦碟片","120.96","0.13","0.11%","02/02"
"電腦硬體","381.00","0.11","0.03%","02/02"
"網路指數","306.99","2.60","0.85%","02/02"
"Dax奢侈品","117.15","0.85","0.73%","15:54"
"ISE水指數","89.53","-0.16","-0.18%","16:20"
"道瓊水指數","840.60","-0.49","-0.06%","16:04"
"純淨科技","1026.59","3.53","0.34%","16:29"
"WH創新能源","236.00","1.31","0.56%","16:29"
"WH乾淨能源","60.91","0.91","1.51%","16:29"
"生物能源","193.47","4.43","2.34%","16:04"
"全球替代能源","1018.36","12.97","1.29%","16:06"
"ET50環境科技","120.68","0.88","0.73%","21:09"
"30年債殖利率","30.11","-0.04","-0.13%","15:00"
"10年期票利率","18.25","-0.21","-1.14%","15:00"
"5年期票利率","7.11","-0.14","-1.93%","15:00"
"3月期票利率","0.75","0.20","36.36%","02/02"

"債券指數其他更多債券指數"
"指數","收盤","比例","殖利率","利差","日期"
"ML高收益指數","281.12","0.07%","7.48%","658","02/02"
"ML美國高收益","1214.08","0.06%","7.30%","639","02/02"
"ML全球高收益","247.86","0.15%","8.15%","718","02/02"
"ML歐洲高收益","190.47","0.53%","9.79%","837","02/02"
"ML高收益100","2048.86","0.03%","6.70%","590","02/02"
"ML CCC債券","265.28","0.19%","12.51%","1182","02/02"
"ML美國公司債","2268.96","0.21%","3.51%","225","02/02"
"BC美國機構債","1501.41","0.00%","0.87%","n/a","02/02"
"BC美國房貸債","1748.71","0.04%","2.56%","n/a","02/02"
"ML美國房利美","632.05","0.15%","2.10%","12","02/02"
"ML美國房地美","392.95","0.10%","2.11%","16","02/02"
"ML美國吉利美","668.79","0.15%","2.19%","25","02/02"
"JP全球政府債","460.99","0.03%","1.96%","...","02/02"
"JP新興政府債","576.99","0.23%","5.89%","412","01/31"
"JP歐盟政府債","278.06","0.25%","3.69%","...","02/02"
"JP英國政府債","719.72","-0.65%","2.56%","...","02/02"
"JP法國政府債","558.69","0.71%","2.82%","...","02/02"
"JP德國政府債","435.81","-0.16%","1.80%","...","02/02"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","310.90","-0.63","-0.20%","02/02"
"CRB農業","5699.40","24.92","0.44%","02/02"
"CRB工業金屬","2445.10","29.38","1.22%","02/02"
"CRB能源開採","2583.67","30.20","1.18%","02/02"
"高盛綜合商品","402.83","-1.96","-0.48%","02/02"
"高盛商品","482.55","-2.25","-0.46%","02/02"
"高盛農產品","67.65","-0.17","-0.25%","02/02"
"高盛牲畜","223.37","-0.88","-0.39%","02/02"
"高盛貴金屬","261.65","1.66","0.64%","02/02"
"高盛基本金屬","248.83","-4.76","-1.88%","02/02"
"高盛能源","294.69","-1.25","-0.42%","02/02"
"天然氣","639.08","2.86","0.45%","02/02"
"Dax全球農金","532.49","-0.73","-0.14%","15:54"
"Rogers商品","3745.58","-13.54","-0.36%","17:55"
"Rogers能源","806.25","-0.61","-0.08%","02/02"
"Rogers金屬","2735.68","-29.14","-1.05%","02/02"
"Rogers農產","1163.21","-3.46","-0.30%","02/02"
"道瓊美國礦產","191.16","5.80","3.13%","17:15"
"道瓊世界原料","325.73","-0.89","-0.27%","23:00"
"FTSE金礦","3694.73","52.86","1.45%","02/02"
"HSBC礦業","554.04","-16.17","-2.84%","10/20"
"msci世界能源","248.62","0.57","0.23%","02/02"
"msci世界原料","247.94","2.21","0.90%","02/02"
"美元指數","79.04","0.06","0.08%","22:58"
"歐元指數","131.47","-0.21","-0.16%","02/02"
"英鎊指數","158.05","-0.33","-0.21%","02/02"
"日圓指數","131.21","-0.10","-0.08%","02/02"
"澳幣指數","107.08","0.11","0.10%","02/02"
"瑞郎指數","109.12","-0.19","-0.17%","02/02"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","台北"
"黃金","1746.40","2.40","0.14%","21:15"
"銀","33.71","-0.10","-0.30%","21:15"
"白金","1626.00","1.00","0.06%","21:15"
"鈀","701.00","-2.00","-0.29%","21:15"
"銅","3.8018","-0.05","-1.24%","02:59"
"鎳","9.4758","-0.06","-0.60%","02:53"
"鋁","0.9803","-0.03","-2.84%","02:59"
"鋅","0.9521","-0.01","-1.00%","02:59"
"鉛","0.9797","-0.02","-2.10%","02:59"
"鈾","52.00","-0.50","-0.95%","01/30"
"黃金期貨","1761.700","12.200","0.70%","05:36"
"銀期貨","34.310","0.503","1.49%","05:36"
"銅期貨","378.800","-5.400","-1.41%","05:36"
"天然氣期","2.556","0.174","7.30%","05:37"
"布蘭特油期","112.470","0.910","0.82%","05:34"
"紐約輕原油","96.580","-1.030","-1.06%","05:36"
"燃油期貨","306.100","1.550","0.51%","05:36"
"玉米期貨","643.000","1.000","0.16%","03:15"
"小麥期貨","662.750","-11.500","-1.71%","03:15"
"可可粉期","2225.000","0.000","0.00%","03:00"
"黃豆期貨","1217.000","1.750","0.14%","03:15"
"黃豆油期貨","51.190","0.010","0.02%","03:15"
"咖啡C期","215.600","1.500","0.70%","03:00"
"十一號糖","23.480","-0.110","-0.47%","03:00"
