"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","17274.98","-125.43","-0.72","close"
"東證一部","1693.25","-7.75","-0.46","close"
"東證二部","4065.87","3.66","0.09","close"
"JASDAQ","81.45","0.50","0.62","close"
"上海綜合","3841.27","81.40","2.16","04/30"
"上海A股","4035.09","84.25","2.13","04/30"
"上海B股","231.13","15.14","7.01","04/30"
"香港恆生","20318.98","-207.52","-1.01","04/30"
"香港國企","10035.01","-106.40","-1.05","04/30"
"香港紅籌","3452.00","-29.63","-0.85","04/30"
"台灣指數","7875.42","-74.00","-0.93","04/30"
"韓國指數","1542.24","-0.28","-0.02","04/30"
"新加坡","3361.29","-37.31","-1.10","04/30"
"馬來西亞","1322.25","-2.52","-0.19","04/30"
"菲律賓","3270.73","-47.65","-1.44","04/30"
"印尼股市","2001.18","2.01","0.10","17:09"
"越南股市","923.89","18.36","2.03","04/25"
"泰國股市","699.16","4.05","0.58","04/30"
"印度股市","13872.37","-36.21","-0.26","04/30"
"澳洲股市","6140.20","-18.10","-0.29","17:47"
"日本不動產","4214.26","-54.15","-1.27","15:45"
"東證REIT","2520.23","6.73","0.27","15:01"
"澳洲不動產","1878.28","-23.00","-1.21","19:15"
"新加坡不動產","1572.44","-9.82","-0.62","04/30"
"恆生地產","24353.94","-141.38","-0.58","04/30"
"亞洲REIT","195.12","0.33","0.17","16:30"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"英國指數","6419.60","-29.60","-0.46","15:36"
"法國指數","5960.04","29.27","0.49","04/30"
"德國指數","7408.87","30.75","0.42","04/30"
"俄羅斯","1935.51","20.24","1.06","04/28"
"道瓊歐洲","4392.34","9.21","0.21","04/30"
"土耳其","43529.49","-1454.96","-3.23","15:39"
"匈牙利","25424.80","-32.59","-0.13","04/27"
"奧地利","4738.51","-70.99","-1.48","04/30"
"波蘭股市","59805.48","427.36","0.72","04/30"
"捷克股市","1806.30","-5.70","-0.32","04/30"
"愛沙尼亞","890.55","-15.62","-1.72","04/30"
"拉托維亞","662.89","-1.43","-0.21","04/27"
"立陶宛","492.28","-3.85","-0.78","04/27"
"盧森堡","2404.11","-21.71","-0.90","04/30"
"義大利","33979.00","87.00","0.26","04/30"
"西班牙","1595.92","-3.04","-0.19","04/30"
"瑞士股市","9428.27","8.37","0.09","04/30"
"瑞典股市","1273.83","9.22","0.73","04/30"
"芬蘭股市","10818.23","-18.05","-0.17","04/30"
"挪威股市","398.97","2.07","0.52","04/30"
"英國不動產","2940.87","-1.97","-0.07","16:37"
"歐陸不動產","3207.08","-0.22","-0.01","16:37"
"歐洲不動產","3952.80","-10.31","-0.26","16:37"
"以色列","1067.98","4.12","0.39","15:30"
"埃及股市","65582.80","148.32","0.23","04/30"
"南非股市","25231.65","58.30","0.23","04/30"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13136.14","73.23","0.56","16:30"
"NASDAQ","2531.53","6.44","0.26","17:16"
"羅素2000","816.25","1.68","0.21","16:59"
"S&P 500","1486.30","3.93","0.27","16:59"
"DJ貴金屬","270.24","-0.99","-0.36","17:36"
"CBOE黃金","143.57","-1.03","-0.71","16:49"
"AMEX金蟲","337.07","-2.53","-0.74","16:31"
"費城金銀","136.27","-0.79","-0.58","05/01"
"費城油業","234.07","1.39","0.60","05/01"
"AMEX石油","1272.94","1.87","0.15","16:31"
"NYSE能源","12593.26","46.33","0.37","17:06"
"AMEX能源","638.83","2.57","0.40","16:31"
"費城半導","494.13","1.19","0.24","05/01"
"NSDQ金融","3131.48","14.19","0.46","17:16"
"NYSE金融","9739.72","-0.03","-0.00","17:06"
"ISE水指數","77.94","0.11","0.14","17:00"
"道瓊水指數","742.68","10.03","1.37","17:28"
"道瓊權益REIT","321.23","-2.52","-0.78","16:49"
"NBI生技","845.44","3.78","0.45","17:16"
"AMEX生技","823.51","2.01","0.24","16:31"
"費城藥物","217.72","-0.07","-0.03","05/01"
"加拿大","13406.33","-10.35","-0.08","05/01"
"巴西指數","48956.39","-273.21","-0.56","04/30"
"墨西哥","28996.71","-376.22","-1.28","04/30"
"阿根廷","2154.55","-43.22","-1.97","04/30"
"智利","3161.22","12.03","0.38","04/30"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","時間"
"黃金","674.80","+0.50","+0.07","5:50"
"銀","13.32","+0.01","+0.08","5:15"
"白金","1300.00","-2.00","-0.15","3:57"
"鈀","370.00","0.00","0.00","17:00"
"銅","3.7536","+0.0757","+2.06","0:36"
"鎳","22.8671","-0.1898","-0.83","0:22"
"鋁","1.2843","-0.0023","-0.18","0:57"
"鋅","1.7378","+0.0439","+2.61","1:01"
"鉛","0.9132","-0.0036","-0.39","1:29"
"黃金期貨","677.300","-6.200","-00.91","1:38"
"銀期貨","13.370","-0.205","-01.51","1:33"
"銅期貨","7806.000","20.000","00.26","04/30"
"天然氣期","7.718","-0.145","-01.84","2:42"
"WTI原油期","64.400","-1.310","-01.99","2:45"
"玉米期貨","377.500","10.000","02.72","05/01"
"小麥期貨","501.000","5.500","01.11","2:15"
"可可粉期","1834.000","36.000","02.00","0:21"
"大豆期貨","756.250","13.250","01.78","05/01"
