"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","17283.81","-418.28","-2.36","7/27"
"東證一部","1699.71","-37.47","-2.16","7/27"
"東證二部","4110.76","-51.98","-1.25","7/27"
"JASDAQ","76.76","-1.10","-1.41","7/27"
"上海綜合","4345.36","-1.10","-0.03","07/27"
"上海A股","4557.43","-1.11","-0.02","07/27"
"上海B股","317.57","-0.47","-0.15","07/27"
"香港恆生","22570.41","-641.28","-2.76","07/27"
"香港國企","12926.43","-430.59","-3.22","07/27"
"香港紅籌","4353.10","-151.19","-3.36","07/27"
"台灣加權","9162.28","-404.14","-4.22","13:46"
"台灣店頭","224.30","-4.44","-1.94","13:46"
"韓國指數","1883.22","-80.32","-4.09","18:04"
"新加坡","3492.70","-87.03","-2.43","17:05"
"馬來西亞","1355.38","-26.12","-1.89","17:00"
"菲律賓","3518.76","-140.92","-3.85","13:09"
"印尼股市","2298.41","-66.85","-2.83","17:11"
"越南股市","940.36","-15.77","-1.65","10:57"
"泰國股市","863.58","-20.58","-2.33","17:01"
"印度股市","15234.57","-541.74","-3.43","16:28"
"斯里蘭卡","2461.54","1.49","0.06","14:18"
"澳洲股市","6127.30","-174.10","-2.76","17:47"
"紐西蘭","4246.01","-79.78","-1.84","14:31"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","1967.06","-29.85","-1.49","07/27"
"英國指數","6215.20","-36.00","-0.58","15:35"
"法國指數","5643.96","-31.09","-0.55","17:10"
"德國指數","7451.68","-57.28","-0.76","19:30"
"道瓊歐洲","4244.58","-8.34","-0.20","20:30"
"土耳其","51561.91","-950.47","-1.81","15:44"
"匈牙利","29027.41","159.02","0.55","15:36"
"奧地利","4567.11","-60.89","-1.32","16:35"
"波蘭股市","62609.47","-578.69","-0.92","15:40"
"捷克股市","1771.40","-44.00","-2.42","16:13"
"盧森堡","2404.73","-31.02","-1.27","16:41"
"義大利","31142.00","-93.00","-0.30","16:44"
"西班牙","1608.00","5.59","0.35","16:40"
"瑞士股市","8705.57","-0.83","-0.01","16:30"
"瑞典股市","1215.46","3.12","0.26","16:48"
"芬蘭股市","11049.08","79.73","0.73","17:32"
"挪威股市","409.95","-6.21","-1.49","15:25"
"以色列","1137.12","-29.51","-2.53","07/26"
"埃及股市","74390.06","199.93","0.27","07/26"
"南非股市","24985.92","-858.47","-3.32","16:00"
"摩洛哥","24098.32","129.11","0.54","19:25"
"約旦指數","5682.08","3.46","0.06","07/26"
"杜拜指數","4332.31","10.31","0.24","07/26"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13265.47","-208.10","-1.54","16:30"
"NASDAQ","2562.24","-37.10","-1.43","17:04"
"羅素2000","777.83","-13.65","-1.73","17:00"
"S&P 500","1458.95","-23.71","-1.60","16:59"
"DJ貴金屬","295.08","-4.44","-1.48","16:05"
"CBOE黃金","148.29","-3.69","-2.43","16:49"
"AMEX金蟲","339.24","-6.55","-1.89","15:43"
"費城金銀","144.81","-2.44","-1.66","16:47"
"費城油業","271.28","-6.45","-2.32","16:47"
"AMEX石油","1370.90","-17.57","-1.26","15:35"
"NYSE能源","13735.63","-217.22","-1.56","15:43"
"AMEX能源","698.27","-10.62","-1.50","15:43"
"費城半導","502.28","-10.32","-2.01","16:47"
"NSDQ金融","2916.09","-23.55","-0.80","17:04"
"NYSE金融","9074.09","-48.37","-0.53","15:43"
"NBI生技","793.70","-13.79","-1.71","17:04"
"AMEX生技","768.68","-12.87","-1.65","17:04"
"費城藥物","198.74","-4.14","-2.04","16:47"
"加拿大","13748.53","-96.07","-0.69","17:04"
"巴西指數","52922.23","-970.92","-1.80","17:21"
"墨西哥","30235.17","238.57","0.80","15:06"
"阿根廷","2149.89","-3.38","-0.16","18:00"
"智利","3292.29","14.47","0.44","17:04"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
