"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","13092.78","263.72","2.06","01/24"
"東證一部","1284.45","34.52","2.76","01/24"
"東證二部","2812.12","47.19","1.71","01/24"
"JASDAQ","60.64","0.51","0.85","01/24"
"上海綜合","4717.73","14.69","0.31","01/24"
"上海A股","4951.35","15.35","0.31","01/24"
"上海B股","320.69","1.82","0.57","01/24"
"滬深300","5027.21","52.10","1.05","01/24"
"香港恆生","23539.27","-550.90","-2.29","01/24"
"香港國企","12933.20","-346.33","-2.61","01/24"
"香港紅籌","5099.42","-130.45","-2.49","01/24"
"台灣加權","7517.05","108.65","1.47","01/24"
"台灣店頭","125.72","-2.60","-2.03","01/24"
"韓國指數","1663.00","34.58","2.12","01/24"
"新加坡","3050.09","66.47","2.23","01/24"
"馬來西亞","1383.35","28.87","2.13","01/24"
"菲律賓","3147.42","89.16","2.92","01/24"
"印尼股市","2516.70","40.42","1.63","01/24"
"越南股市","764.13","-12.55","-1.62","01/24"
"泰國股市","728.58","-12.07","-1.63","01/24"
"印度股市","17221.74","-372.33","-2.12","01/24"
"澳洲股市","5657.30","51.50","0.92","10:06"
"紐西蘭","3702.62","44.01","1.20","07:47"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","1988.23","97.35","5.15","01/24"
"英國指數","5875.80","266.50","4.75","01/24"
"法國指數","4915.29","278.53","6.01","01/24"
"德國指數","6821.07","381.86","5.93","01/24"
"道瓊歐洲","3809.07","231.08","6.46","01/24"
"土耳其","45010.73","2471.24","5.81","01/24"
"匈牙利","23857.26","776.61","3.36","01/24"
"奧地利","3888.08","202.86","5.50","01/24"
"波蘭股市","47258.73","1896.66","4.18","01/24"
"捷克股市","1523.40","118.30","8.42","01/24"
"盧森堡","2089.76","74.44","3.69","01/24"
"義大利","25797.00","915.00","3.68","16:43"
"西班牙","1416.27","86.57","6.51","01/24"
"瑞士股市","7690.97","334.84","4.55","01/24"
"瑞典股市","958.55","37.27","4.05","01/24"
"芬蘭股市","10365.23","877.90","9.25","01/24"
"挪威股市","338.49","12.22","3.74","01/24"
"以色列","1064.96","-0.39","-0.04","01/24"
"埃及股市","88873.74","-581.10","-0.65","01/24"
"南非股市","24104.88","1326.73","5.82","01/24"
"摩洛哥","27776.45","253.89","0.92","01/24"
"約旦指數","7671.33","-23.16","-0.30","01/24"
"杜拜指數","5602.37","-152.84","-2.66","01/24"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","12378.61","108.44","0.88","16:30"
"NASDAQ","2360.92","44.51","1.92","17:16"
"羅素2000","692.72","-0.71","-0.10","01/24"
"S&P 500","1352.07","13.47","1.01","01/24"
"費城金銀","185.89","10.24","5.83","01/24"
"DJ貴金屬","373.79","20.83","5.90","17:31"
"CBOE黃金","194.98","9.72","5.25","01/24"
"AMEX金蟲","462.67","23.16","5.27","16:56"
"AMEX能源","700.97","23.06","3.40","16:56"
"NYSE能源","13478.82","453.34","3.48","17:05"
"費城油業","264.06","8.84","3.46","01/24"
"AMEX石油","1347.91","55.92","4.33","16:57"
"費城半導","361.06","8.80","2.50","01/24"
"NSDQ金融","2694.16","17.89","0.67","17:16"
"NYSE金融","7805.39","121.51","1.58","17:05"
"NBI生技","799.98","-5.86","-0.73","17:16"
"AMEX生技","746.69","-2.43","-0.32","16:56"
"費城藥物","191.93","0.15","0.08","01/24"
"加拿大","12907.27","249.87","1.97","01/24"
"巴西指數","57463.31","3228.49","5.95","01/24"
"墨西哥","27905.13","284.80","1.03","15:06"
"阿根廷","1966.46","75.21","3.98","01/24"
"智利","2671.16","146.54","5.80","01/24"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"波海乾貨航運","6246.00","-191.00","-2.97","01/23"
"波海海峽航運","7848.00","-223.00","-2.76","01/23"
"波海巴拿馬航運","6353.00","-232.00","-3.52","01/23"
"VIX波動率","27.78","-1.24","-4.27","16:14"
"DJ交通運輸","4473.00","8.43","0.19","16:30"
"道瓊公用事業","491.99","-11.78","-2.34","16:30"
"歐洲公用事業","323.47","19.27","6.33","17:45"
"全球公用事業","7454.97","210.51","2.91","16:15"
"ISE水指數","77.64","0.10","0.13","16:44"
"道瓊水指數","633.67","-1.33","-0.21","16:04"
"NSDQ純淨優勢","492.14","10.19","2.11","16:44"
"純淨科技","1308.62","25.67","2.00","16:44"
"WH創新能源","233.18","4.34","1.90","16:44"
"WH乾淨能源","223.13","4.06","1.85","16:44"
"全球乾淨能源","2918.37","124.01","4.44","16:34"
"ISE替代能源","51.63","0.29","0.56","16:44"
"全球替代能源","3060.21","121.57","4.14","16:33"
"生物能源","562.12","15.58","2.85","16:33"
