"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","6071.21","49.24","0.82%","11/04"
"澳洲股市","5294.80","3.60","0.07%","16:36"
"日經225","18926.91","243.67","1.30%","11/04"
"東證一部","1540.43","13.46","0.88%","11/04"
"東證二部","4653.01","-20.70","-0.44%","21:20"
"JASDAQ","110.42","-0.16","-0.14%","21:20"
"韓國股市","2052.77","4.37","0.21%","11/04"
"台灣加權","8857.02","143.83","1.65%","11/04"
"台灣店頭","129.15","1.52","1.19%","11/04"
"上海綜合","3459.64","142.94","4.31%","11/04"
"上海A股","3622.98","149.86","4.31%","11/04"
"上海B股","364.08","10.82","3.06%","20:20"
"深圳A股","2185.84","106.77","5.14%","20:20"
"深圳B股","1175.86","29.24","2.55%","20:20"
"滬深300","3628.538","163.04","4.70%","11/04"
"深證成指","11884.9","596.76","5.29%","11/04"
"中小板指","8039.35","408.67","5.36%","11/04"
"創業板指","2584.32","155.05","6.38%","11/04"
"香港恆生","23053.57","485.14","2.15%","11/04"
"香港國企","10560.74","277.32","2.70%","11/04"
"香港紅籌","4240.85","103.68","2.51%","11/04"
"香港創業板","474.48","4.97","1.06%","11/04"
"蒙古股市","12885.31","-126.51","-0.97%","11/04"
"新加坡","3040.48","40.92","1.36%","11/04"
"越南股市","610.6","-1.11","-0.18%","11/04"
"泰國股市","1423.42","10.80","0.76%","17:07"
"菲律賓","7201.02","-9.71","-0.13%","11/04"
"馬來西亞","1685.62","8.06","0.48%","11/04"
"印尼股市","4612.565","79.48","1.75%","11/04"
"印度股市","26552.92","-37.67","-0.14%","17:19"
"巴基斯坦","24083.61","151.66","0.63%","16:58"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","886.36","32.59","3.82%","11/03"
"英國股市","6412.88","29.27","0.46%","16:35"
"法國股市","4948.29","12.11","0.25%","18:05"
"德國股市","10845.24","-105.91","-0.97%","18:30"
"土耳其","83684.06","770.21","0.93%","11/04"
"匈牙利","22057.82","429.35","1.99%","17:25"
"烏克蘭","790.27","2.93","0.37%","19:05"
"奧地利","2432.56","-10.98","-0.45%","17:45"
"波蘭股市","50466.34","98.81","0.20%","17:15"
"捷克股市","980.91","0.72","0.07%","16:45"
"瑞典股市","1529.431","21.98","1.46%","17:35"
"芬蘭股市","8609.176","81.25","0.95%","18:34"
"挪威股市","569.43","10.76","1.93%","16:37"
"希臘股市","708.59","-9.55","-1.33%","17:19"
"義大利","24009.84","-133.59","-0.55%","17:35"
"比利時","3609.71","-0.09","-0.00%","18:05"
"盧森堡","1483.856","5.96","0.40%","17:35"
"荷蘭股市","468.84","1.99","0.43%","18:05"
"冰島股市","1286.13","-11.16","-0.86%","16:35"
"丹麥股市","963.226","7.29","0.76%","17:05"
"瑞士股市","8951.76","16.26","0.18%","17:30"
"西班牙","1057.02","2.14","0.20%","17:38"
"葡萄牙","2572.8","9.77","0.38%","17:05"
"愛爾蘭","6541.19","36.65","0.56%","17:00"
"以色列","1583","0.28","0.02%","17:24"
"埃及股市","665.440","1.40","0.21%","00:27"
"南非股市","49081.01","532.80","1.10%","17:00"
"約旦股市","2046.92","-0.84","-0.04%","11/04"
"杜拜股市","3426.74","-95.16","-2.70%","11/04"
"阿布達比","4263.63","-58.53","-1.35%","11/04"
"奈及利亞","29032.44","-20.43","-0.07%","11/04"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","17867.58","-50.57","-0.28%","16:15"
"NASDAQ","5142.48","-2.65","-0.05%","16:38"
"NYSE綜合","10563.97","-45.95","-0.43%","16:38"
"S&P 500","2102.31","-7.48","-0.35%","16:20"
"羅素3000","1244.769","-3.88","-0.31%","16:09"
"羅素3000成長","834.70","-1.86","-0.22%","16:30"
"羅素3000價值","1315.27","-5.33","-0.40%","16:30"
"羅素1000","1166.685","-3.84","-0.33%","16:09"
"羅素2000","1190.385","-1.19","-0.10%","16:09"
"費城金銀","50.49","-1.36","-2.63%","11/04"
"AMEX金蟲","119.38","-3.65","-2.97%","11/04"
"道瓊貴金屬","110.26","-2.39","-2.12%","11/04"
"AMEX能源","709.25","-7.04","-0.98%","11/04"
"NYSE能源","10962.36","-120.73","-1.09%","16:06"
"費城油業","186.96","-1.76","-0.93%","11/04"
"AMEX石油","1246.99","-7.99","-0.64%","11/04"
"費城半導體","673.48","1.79","0.27%","11/04"
"NBI生技","3532.94","-12.23","-0.35%","11/04"
"AMEX生技","3734.50","22.62","0.61%","11/04"
"加拿大","13661.82","-48.49","-0.35%","16:20"
"巴西股市","47710.1","-343.57","-0.71%","17:19"
"墨西哥","45373.17","18.58","0.04%","15:06"
"阿根廷","12799.1","-14.25","-0.11%","18:00"
"智利股市","3865.68","-7.42","-0.19%","17:18"
"委內瑞拉","11941.63","540.78","4.74%","11/04"
"哥倫比亞","1218.39","0.46","0.04%","15:59"
"百慕達","1246.19","5.41","0.44%","18:14"
"牙買加","132115","-575","-0.43%","11/04"
"秘魯股市","13366.86","129.20","0.98%","04/30"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波羅的海乾散貨","657.00","-23.00","-3.38%","11/04"
"波羅的海海岬型","1043.00","-56.00","-5.10%","11/04"
"波羅的海巴拿馬","636.00","-17.00","-2.60%","11/04"
"波羅的海輕便型","596.00","-13.00","-2.13%","11/04"
"VIX波動率","15.51","0.97","6.67%","16:14"
"VXD道瓊波動","15.27","0.73","5.02%","11/04"
"VXN納指波動","17.22","0.45","2.68%","11/04"
"羅素大中華","2159.76","58.38","2.78%","17:31"
"道瓊歐洲","3439.16","-3.52","-0.10%","11/04"
