"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","17371.97","-295.36","-1.67","close"
"東證一部","1706.93","-23.78","-1.37","close"
"東證二部","4071.44","-10.57","-0.26","close"
"JASDAQ","80.27","-0.20","-0.25","close"
"上海綜合","3449.02","-163.38","-4.52","04/19"
"上海A股","3624.90","-171.79","-4.52","04/19"
"上海B股","192.62","-8.51","-4.23","04/19"
"香港恆生","20299.71","-477.38","-2.30","04/19"
"香港國企","10029.35","-332.05","-3.20","04/19"
"香港紅籌","3485.50","-124.46","-3.45","04/19"
"台灣指數","7888.63","-114.68","-1.43","13:46"
"韓國指數","1513.66","-20.92","-1.36","18:11"
"新加坡","3291.28","-109.13","-3.21","17:05"
"馬來西亞","1306.36","-22.27","-1.68","17:00"
"菲律賓","3238.06","-57.22","-1.74","12:11"
"印尼股市","1918.35","-41.32","-2.11","17:09"
"越南股市","998.09","-3.03","-0.30","14:26"
"泰國股市","687.23","-5.04","-0.73","17:01"
"印度股市","13619.70","-52.49","-0.38","16:28"
"澳洲股市","6148.30","-66.70","-1.07","17:47"
"日本不動產","4180.68","-1.82","-0.04","15:45"
"東證REIT","2434.85","1.81","0.07","15:01"
"澳洲不動產","1911.31","-18.37","-0.95","19:15"
"新加坡不動產","1536.66","-16.92","-1.09","04/18"
"恆生地產","24082.46","-561.75","-2.28","17:01"
"亞洲REIT","190.76","0.33","0.17","16:30"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"英國指數","6440.60","-8.80","-0.14","15:36"
"法國指數","5829.04","-6.91","-0.12","17:10"
"德國指數","7242.73","-39.61","-0.54","18:37"
"俄羅斯","1926.38","-38.71","-1.97","18:00"
"道瓊歐洲","4339.93","-19.02","-0.44","17:15"
"土耳其","46308.10","674.08","1.48","15:44"
"匈牙利","25410.28","181.74","0.72","15:36"
"奧地利","4669.31","6.38","0.14","16:35"
"波蘭股市","59268.34","-413.69","-0.69","15:40"
"捷克股市","1777.20","-17.20","-0.96","16:13"
"愛沙尼亞","906.67","-13.18","-1.43","13:05"
"拉托維亞","656.12","-2.33","-0.35","13:05"
"立陶宛","488.84","-7.71","-1.55","13:05"
"盧森堡","2386.86","-11.51","-0.48","15:10"
"義大利","33443.00","-205.00","-0.61","16:43"
