"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","12752.21","-99.48","-0.77","close"
"東證一部","1224.53","-8.84","-0.72","close"
"東證二部","2578.31","-0.81","-0.03","close"
"JASDAQ","57.62","0.11","0.19","close"
"上海綜合","2431.72","-91.57","-3.63","close"
"上海A股","2552.64","-96.11","-3.63","close"
"上海B股","156.90","-6.01","-3.69","close"
"深圳A股","722.48","-25.10","-3.36","close"
"深圳B股","379.66","-11.28","-2.89","close"
"滬深300","2443.98","-88.96","-3.51","close"
"香港恆生","20392.06","-539.20","-2.58","close"
"香港國企","10916.50","-262.66","-2.35","close"
"香港紅籌","4110.75","-101.41","-2.41","close"
"台灣加權","6918.48","-122.42","-1.74","close"
"台灣店頭","112.44","-1.27","-1.12","close"
"韓國指數","1512.59","-28.12","-1.83","18:03"
"越南股市","525.98","17.51","3.44","11:01"
"泰國股市","676.53","-13.52","-1.96","17:00"
"菲律賓","2656.92","-24.74","-0.92","12:11"
"馬來西亞","1071.43","-1.78","-0.17","17:00"
"印尼股市","2088.25","18.55","0.90","17:09"
"印度股市","14243.73","-434.50","-2.96","16:28"
"孟加拉","2706.61","85.88","3.28","21:23"
"巴基斯坦","7355.24","-191.22","-2.53","12:15"
"澳洲股市","4949.60","-47.90","-0.96","17:47"
"紐西蘭","3332.06","0.03","0.00","14:31"
"新加坡","2713.47","-38.28","-1.39","17:10"
"龍籌股","106.87","-3.92","-3.54","08/21"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1722.41","8.91","0.52","08/21"
"英國指數","5370.20","-1.60","-0.03","08/21"
"法國指數","4304.61","-61.26","-1.40","08/21"
"德國指數","6236.96","-80.84","-1.28","08/21"
"土耳其","39569.58","-231.77","-0.58","08/21"
"匈牙利","20114.38","-192.40","-0.95","08/21"
"奧地利","3481.18","-14.19","-0.41","08/21"
"波蘭股市","39903.25","15.11","0.04","08/21"
"捷克股市","1440.30","0.30","0.02","08/21"
"瑞典股市","837.07","-5.37","-0.64","08/21"
"芬蘭股市","8359.86","-11.82","-0.14","08/21"
"挪威股市","368.93","8.17","2.27","08/21"
"希臘指數","3268.81","-43.74","-1.32","08/21"
"義大利","21427.00","-232.00","-1.07","16:43"
"盧森堡","1774.89","-16.39","-0.91","08/21"
"荷蘭","400.23","-2.36","-0.59","08/21"
"冰島","4242.87","-34.03","-0.80","08/21"
"丹麥","409.54","1.07","0.26","08/21"
"瑞士股市","7000.53","-99.48","-1.40","08/21"
"西班牙","1206.23","-17.70","-1.45","08/21"
"葡萄牙","2805.81","3.97","0.14","08/21"
"愛爾蘭","4203.63","-93.74","-2.18","08/21"
"以色列","1027.98","-5.34","-0.52","08/21"
"埃及股市","699.81","13.97","2.04","08/21"
"南非股市","25043.91","282.63","1.14","08/21"
"摩洛哥","28213.08","0.00","0.00","08/21"
"卡達指數","10878.93","-222.69","-2.01","08/21"
"杜拜指數","4891.15","-65.08","-1.31","08/21"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","當地"
"道瓊工業","11430.21","12.78","0.11","08/21"
"那斯達克","2380.38","-8.70","-0.36","08/21"
"羅素兩千","725.25","-6.35","-0.87","08/21"
"S&P 五百","1277.72","3.18","0.25","08/21"
"費城金銀","153.77","8.42","5.79","08/21"
"DJ貴金屬","313.35","16.05","5.40","17:19"
"CBOE黃金","154.61","10.31","7.14","08/21"
"AMEX金蟲","353.14","22.67","6.86","08/21"
"AMEX能源","762.40","17.03","2.29","08/21"
"NYSE能源","14217.69","309.17","2.22","08/21"
"費城油業","303.10","6.20","2.09","08/21"
"AMEX石油","1344.14","27.07","2.06","08/21"
"費城半導","361.45","-1.22","-0.34","08/21"
"NSDQ金融","2449.94","-19.24","-0.78","08/21"
"NYSE金融","6032.78","-51.98","-0.85","08/21"
"NBI生技","891.00","-7.59","-0.84","08/21"
"AMEX生技","845.86","-5.88","-0.69","08/21"
"費城藥物","187.58","0.29","0.15","08/21"
"加拿大","13539.22","189.08","1.42","08/21"
"巴西指數","55934.69","557.54","1.01","08/21"
"墨西哥","26534.97","-330.07","-1.23","08/21"
"阿根廷","1746.12","5.86","0.34","08/21"
"智利","2839.65","14.96","0.53","08/21"
"秘魯","12653.71","375.67","3.06","08/21"
"哥倫比亞","9041.72","68.68","0.77","08/21"
"委內瑞拉","39901.32","-49.20","-0.12","08/21"
"百慕達","4566.14","10.24","0.22","08/21"
