"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","5870.54","-4.69","-0.08%","03/24"
"澳洲股市","5934.50","13.50","0.23%","16:37"
"日經225","19713.45","-40.91","-0.21%","03/24"
"東證一部","1587.59","-4.66","-0.29%","03/24"
"東證二部","4708.02","-17.92","-0.38%","21:20"
"JASDAQ","111.20","0.13","0.12%","21:20"
"韓國股市","2041.37","4.78","0.23%","18:02"
"台灣加權","9731.66","-26.43","-0.27%","03/24"
"台灣店頭","146.86","-0.45","-0.31%","03/24"
"上海綜合","3691.41","3.68","0.10%","03/24"
"上海A股","3868.90","3.85","0.10%","03/24"
"上海B股","309.23","0.49","0.16%","20:20"
"深圳A股","2011.22","20.20","1.01%","20:20"
"深圳B股","1138.63","-1.50","-0.13%","20:20"
"滬深300","3973.05","0.99","0.02%","03/24"
"深證成指","12801.20","20.88","0.16%","03/24"
"香港恆生","24399.60","-94.91","-0.39%","03/24"
"香港國企","12005.02","-172.80","-1.42%","03/24"
"香港紅籌","4489.28","4.86","0.11%","03/24"
"蒙古股市","13299.46","187.40","1.43%","03/24"
"新加坡","3413.26","3.13","0.09%","17:10"
"海峽中國","232.27","0.21","0.09%","17:10"
"越南股市","567.43","-3.46","-0.61%","03/24"
"泰國股市","1514.45","-5.56","-0.37%","17:07"
"菲律賓","7828.94","-11.55","-0.15%","17:51"
"馬來西亞","1814.04","18.19","1.01%","03/24"
"印尼股市","5447.65","10.55","0.19%","16:05"
"印度股市","28161.72","-30.30","-0.11%","17:19"
"巴基斯坦","22385.41","-272.99","-1.20%","15:59"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","880.28","21.14","2.46%","18:50"
"英國股市","7019.68","-17.99","-0.26%","16:35"
"法國股市","5088.28","33.76","0.67%","18:05"
"德國股市","12005.69","109.85","0.92%","18:30"
"土耳其","82032.59","-1709.40","-2.04%","17:55"
"匈牙利","19533.20","205.82","1.06%","03/24"
"奧地利","2537.75","5.34","0.21%","03/24"
"波蘭股市","54437.39","-127.15","-0.23%","17:15"
"捷克股市","1048.75","3.51","0.34%","03/24"
"瑞典股市","1701.29","2.90","0.17%","17:35"
"芬蘭股市","9263.15","43.71","0.47%","03/24"
"挪威股市","562.56","-1.85","-0.33%","17:18"
"希臘股市","794.57","28.06","3.66%","17:19"
"義大利","24882.41","290.30","1.18%","03/24"
"比利時","3765.41","13.83","0.37%","03/24"
"盧森堡","1764.89","22.80","1.31%","03/24"
"荷蘭股市","498.66","1.11","0.22%","18:05"
"冰島股市","1036.41","-0.54","-0.05%","03/24"
"丹麥股市","923.92","8.59","0.94%","17:05"
"瑞士股市","9292.68","-73.52","-0.78%","17:31"
"西班牙","1174.21","13.15","1.13%","17:38"
"葡萄牙","2664.73","17.40","0.66%","17:05"
