"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3080.97","11.98","0.39%","18:31"
"澳洲股市","4309.20","6.10","0.14%","17:47"
"日經225","10524.26","112.17","1.08%","16:00"
"東證一部","969.24","12.48","1.30%","15:00"
"東證二部","2268.93","21.83","0.97%","15:00"
"JASDAQ","50.08","0.38","0.76%","15:00"
"韓國股市","1576.11","0.11","0.01%","18:04"
"台灣加權","6882.87","14.22","0.21%","13:46"
"台灣店頭","113.32","0.41","0.36%","13:46"
"上海綜合","3249.76","-10.93","-0.34%","15:15"
"上海A股","3411.18","-11.64","-0.34%","15:15"
"上海B股","212.71","1.83","0.87%","15:15"
"深圳A股","1147.77","5.27","0.46%","15:00"
"深圳B股","538.27","1.09","0.20%","15:00"
"滬深300","3544.54","-10.56","-0.30%","15:01"
"深證成指","12973.65","-1.61","-0.01%","15:00"
"香港恆生","20929.52","554.15","2.72%","16:01"
"香港國企","11901.65","289.47","2.49%","16:01"
"香港紅籌","4433.96","116.26","2.69%","16:01"
"新加坡","2549.35","-52.15","-2.00%","08/07"
"龍籌股","95.41","-0.28","-0.29%","08/07"
"越南股市","491.20","10.55","2.19%","11:01"
"泰國股市","643.75","-0.45","-0.07%","16:59"
"菲律賓","2850.58","67.60","2.43%","12:11"
"馬來西亞","1188.00","3.12","0.26%","17:05"
"印尼股市","2389.56","40.43","1.72%","16:00"
"印度股市","15009.77","-150.47","-0.99%","15:58"
"巴基斯坦","5766.44","140.88","2.50%","13:42"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1065.14","-14.94","-1.38%","08/10"
"英國股市","4722.20","-9.36","-0.20%","08/10"
"法國股市","3504.54","-16.60","-0.47%","08/10"
"德國股市","5418.12","-40.84","-0.75%","08/10"
"土耳其","44685.62","-81.96","-0.18%","08/10"
"匈牙利","18475.14","654.99","3.68%","08/10"
"奧地利","2348.69","-13.42","-0.57%","08/10"
"波蘭股市","35821.48","398.56","1.13%","08/10"
"捷克股市","1152.90","11.50","1.01%","08/10"
"瑞典股市","883.14","-9.05","-1.01%","08/10"
"芬蘭股市","5882.77","-59.57","-1.00%","08/10"
"挪威股市","271.50","-2.71","-0.99%","08/10"
"希臘股市","2339.66","-40.92","-1.72%","08/10"
"義大利","22033.99","155.73","0.71%","08/10"
"盧森堡","1239.52","36.48","3.03%","08/10"
"荷蘭股市","288.61","-1.89","-0.65%","08/10"
"冰島股市","450.21","-0.55","-0.12%","08/10"
"丹麥股市","323.11","0.13","0.04%","08/10"
"瑞士股市","6007.55","-18.85","-0.31%","08/10"
"西班牙","1138.58","-1.73","-0.15%","08/10"
"葡萄牙","2564.43","1.41","0.06%","08/10"
"愛爾蘭","2866.60","-14.62","-0.51%","08/10"
"以色列","954.87","-16.07","-1.66%","08/10"
"埃及股市","604.65","-5.67","-0.93%","08/10"
"南非股市","22652.41","21.96","0.10%","08/07"
"摩洛哥","22687.63","-68.74","-0.30%","08/10"
"約旦股市","2540.26","-18.69","-0.73%","08/10"
"阿聯杜拜","1930.71","13.01","0.68%","08/10"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","9337.95","-32.12","-0.34%","08/10"
"那斯達克","1992.24","-8.01","-0.40%","08/10"
"羅素兩千","571.87","-0.53","-0.09%","08/10"
"S&P 五百","1007.10","-3.38","-0.33%","08/10"
"費城金銀","145.91","-3.03","-2.03%","08/10"
"DJ貴金屬","293.19","-6.10","-2.04%","16:02"
"CBOE黃金","173.86","-3.32","-1.87%","08/10"
"AMEX金蟲","357.20","-9.07","-2.48%","08/10"
"AMEX能源","511.78","2.06","0.40%","08/10"
"NYSE能源","10228.99","-5.68","-0.06%","08/10"
"費城油業","171.93","0.72","0.42%","08/10"
"AMEX石油","958.29","0.48","0.05%","08/10"
"費城半導","294.95","-3.58","-1.20%","08/10"
"NSDQ金融","1986.82","-7.22","-0.36%","08/10"
"NYSE金融","4635.58","-45.28","-0.97%","08/10"
"NBI生技","792.26","-0.21","-0.03%","08/10"
"AMEX生技","859.28","-1.08","-0.13%","08/10"
"費城藥物","165.36","0.24","0.14%","08/10"
"加拿大","10793.67","-91.66","-0.84%","08/10"
"巴西股市","56830.01","500.50","0.89%","08/10"
"墨西哥","28305.32","125.77","0.45%","08/10"
"阿根廷","1793.31","-6.22","-0.35%","08/10"
"智利股市","3276.45","-4.73","-0.14%","08/10"
"秘魯股市","13834.68","-52.32","-0.38%","08/10"
"哥倫比亞","10517.47","79.91","0.77%","08/10"
"委內瑞拉","46149.24","-23.36","-0.05%","08/10"
"百慕達","2279.25","0.00","0.00%","08/07"
"牙買加","79889.92","-275.80","-0.34%","08/10"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","2689.00","-83.00","-2.99%","08/10"
"波海海峽航運","4351.00","-93.00","-2.09%","08/10"
"波海巴拿馬航","2489.00","-110.00","-4.23%","08/10"
"VIX波動率","24.99","0.23","0.93%","16:14"
"VXD道瓊波動","22.41","0.15","0.67%","16:29"
"VXN納指波動","25.66","0.64","2.56%","16:14"
"道瓊歐洲","2693.61","-12.61","-0.47%","19:00"
"道瓊交通運輸","3710.97","-38.61","-1.03%","16:30"
"道瓊公用事業","372.52","1.30","0.35%","16:30"
"全球公用事業","5161.90","-13.23","-0.26%","16:20"
"ISE水指數","68.24","0.05","0.07%","17:00"
"道瓊水指數","591.47","7.54","1.29%","16:04"
"純淨科技","962.21","-0.87","-0.09%","17:39"
"WH創新能源","192.28","0.87","0.46%","17:37"
"WH乾淨能源","108.49","1.18","1.10%","17:37"
"全球乾淨能源","1474.68","6.74","0.46%","18:00"
"ISE替代能源","30.02","0.30","1.01%","17:00"
"全球替代能源","1861.30","8.22","0.44%","16:13"
"ET50環境科技","153.24","0.22","0.14%","21:20"
"生物能源","251.79","3.49","1.41%","16:13"
"環境服務","743.80","18.75","2.59%","17:37"
"Clvrt社會責任","62.53","-0.21","-0.34%","16:03"
"ISE邪惡指數","101.28","-0.47","-0.46%","17:00"
"道瓊美國博奕","318.98","-6.39","-1.96%","16:09"
"snet全球博奕","2768.78","-16.67","-0.60%","17:00"
"道瓊美國礦產","149.52","-1.97","-1.30%","16:02"
"道瓊世界原料","249.46","-2.15","-0.85%","16:31"
"msci世界能源","199.13","-0.24","-0.12%","08/10"
"msci世界原料","196.34","-2.11","-1.06%","08/10"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"羅素大中華","1692.13","-37.91","-2.19%","08/07"
"Dax全球農金","392.71","-0.66","-0.17%","08/10"
"Rogers商品","3034.81","-2.84","-0.09%","14:30"
"Rogers能源","733.26","-11.47","-1.54%","08/07"
"Rogers金屬","1993.42","24.42","1.24%","08/07"
"Rogers農產","909.10","-4.53","-0.50%","08/07"
"澳洲不動產","610.40","13.15","2.20%","19:14"
"日本不動產","1822.52","24.28","1.35%","15:45"
"東證REIT","1002.77","1.63","0.16%","08/10"
"恆生地產","26958.68","479.03","1.81%","08/10"
"星國不動產","786.19","1.29","0.16%","05:17"
"亞洲REIT","114.83","-0.88","-0.76%","16:30"
"英國不動產","1055.56","21.91","2.12%","16:35"
"歐陸不動產","1502.15","3.78","0.25%","17:00"
"歐洲不動產","1615.74","7.18","0.45%","18:00"
"道權益reit","159.86","-4.08","-2.49%","16:49"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","264.77","0.00","0.00%","08/10"
"MS商品指數","658.52","-6.63","-1.00%","08/10"
"高盛商品指數","4356.50","-6.20","-0.14%","08/10"
"高盛農產品","310.77","4.13","1.35%","08/10"
"高盛家畜指數","197.10","-1.20","-0.61%","08/10"
"高盛貴金屬","1266.30","-17.90","-1.39%","08/10"
"高盛工業金屬","335.42","-2.95","-0.87%","08/10"
"高盛能源指數","238.90","0.49","0.21%","08/10"
"天然氣","467.89","4.77","1.03%","08/10"
"AMEX航空","22.88","-0.58","-2.47%","08/10"
"銀行","45.53","0.08","0.18%","08/10"
"醫療服務","431.54","5.45","1.28%","08/10"
"電腦科技","740.51","-4.01","-0.54%","08/10"
"電腦硬體","254.57","-0.80","-0.31%","08/10"
"保險","3358.21","14.73","0.44%","08/10"
"美國紙業","68.63","-1.44","-2.06%","08/10"
"零售業","365.30","-7.40","-1.99%","08/10"
"券商指數","110.59","-1.45","-1.29%","08/10"
"美元指數","79.22","0.25","0.32%","08/10"
"歐元指數","141.35","-0.52","-0.37%","08/10"
"英鎊指數","164.80","-2.03","-1.22%","08/10"
"日圓指數","102.94","0.34","0.33%","08/10"
"澳幣指數","83.70","-0.01","-0.01%","08/10"
"30年債券價格","116.41","1.09","0.95%","08/10"
"30年債殖利率","45.26","-0.77","-1.67%","08/10"
"10年期票利率","37.71","-0.83","-2.15%","08/10"
"5年期票利率","27.31","-0.94","-3.33%","08/10"
"3月期票利率","1.60","-0.10","-5.88%","08/10"
"Put/Call比例","0.75","0.02","2.74%","08/10"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","台北"
"黃金  (盎司)","946.60","-9.80","-1.03%","5:12"
"銀  (盎司)","14.38","-0.26","-1.78%","5:14"
"白金  (盎司)","1255.00","-18.00","-1.43%","4:52"
"鈀  (盎司)","278.00","-1.00","-0.36%","4:09"
"銅  (磅)","2.7550","-0.00","-0.16%","4:09"
"鎳  (磅)","9.0552","0.05","0.61%","4:09"
"鋁  (磅)","0.8705","0.01","0.74%","4:09"
"鋅  (磅)","0.8218","0.00","0.28%","4:09"
"鉛  (磅)","0.8314","0.00","0.00%","4:09"
"鈾  (磅)","48.50","1.50","3.19%","4:09"
"黃金期貨","946.900","-12.600","-1.31%","5:14"
"銀期貨","14.355","-0.313","-2.13%","5:12"
"銅期貨","277.050","-1.500","-0.54%","5:14"
"天然氣期","3.641","-0.033","-0.90%","5:14"
"布蘭特油期","73.640","0.050","0.07%","5:13"
"紐約輕原油","70.600","-0.330","-0.47%","5:14"
"燃油期貨","192.760","1.540","0.81%","5:13"
"玉米期貨","330.500","4.000","1.23%","2:28"
"小麥期貨","520.000","3.250","0.63%","2:28"
"可可粉期","2938.000","66.000","2.30%","5:19"
"黃豆期貨","1010.000","-28.500","-2.74%","2:29"
"黃豆油期貨","37.200","-0.290","-0.77%","2:29"
"咖啡C期","135.850","-2.050","-1.49%","5:18"
"十一號糖","22.000","1.190","5.72%","5:19"
"二號棉期","63.750","1.320","2.11%","5:18"
"活牛期貨","88.300","-0.825","-0.93%","4:57"
"瘦豬期貨","45.650","0.750","1.67%","4:59"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","台北"
"歐元/美元","1.4145","0.0005","0.04","5:53"
"英鎊/美元","1.6485","0.0004","0.02","5:53"
"美元/瑞士法郎","1.0850","-0.0005","-0.05","5:53"
"美元/俄盧布","31.8560","0.2006","0.63","08/10"
"美元/匈牙利幣","190.8960","0.0812","0.04","5:53"
"美元/土耳其幣","1.4820","0.0183","1.25","08/10"
"美元/南非幣","8.0896","-0.0132","-0.16","5:53"
"美元/以色列幣","3.8645","-0.0580","-1.48","08/10"
"美元/摩洛哥","7.9995","0.0056","0.07","5:53"
"美元/日圓","97.1450","-0.0050","-0.01","5:54"
"美元/人民幣","6.8343","0.0024","0.04","08/10"
"美元/港幣","7.7502","-0.0002","-0.00","5:53"
"美元/台幣","32.8050","0.0265","0.08","08/10"
"美元/韓圜","1228.05","3.15","0.26","08/10"
"美元/泰銖","34.0300","-0.0025","-0.01","5:53"
"美元/新元","1.4444","0.0001","0.01","5:53"
"美元/菲披索","47.7000","-0.0500","-0.10","08/10"
"美元/馬來幣","3.5035","0.0030","0.09","08/10"
"美元/印尼盾","9913.75","13.75","0.14","08/10"
"美元/印度盧比","47.8120","-0.0225","-0.05","08/10"
"澳幣/美元","0.8378","0.0004","0.05","5:53"
"紐幣/美元","0.6765","-0.0002","-0.02","5:53"
"美元/加幣","1.0880","-0.0008","-0.08","5:53"
"美元/巴西幣","1.8407","0.0204","1.12","08/10"
"美元/墨披索","12.9200","-0.0027","-0.02","5:53"
"美元/阿根廷","3.8296","0.0028","0.07","08/10"
"美元/智利","547.2000","4.2000","0.77","08/10"

"MSCI 指數"
"MSCI","指數","單日","本月","今年"
"世界指數","1060.15","-0.29","1.47","15.21"
"中華指數","314.94","2.30","-0.25","49.83"
"金龍指數","126.83","1.65","-1.02","48.16"
"遠東指數","2365.49","1.37","-0.64","10.04"
"太平洋","1909.93","1.04","0.02","15.32"
"AC亞太","111.78","0.94","-0.10","24.77"
"歐洲","1287.90","-0.83","1.80","17.21"
"金磚四國","285.49","0.58","1.83","62.20"
"新興市場","854.78","0.22","1.27","50.74"
"新興亞洲","354.95","0.74","-0.34","50.50"
"新興東歐","171.73","-1.09","3.26","47.51"
"新興拉美","3400.78","-0.01","5.21","63.68"
"歐非中東","276.42","-0.96","1.71","39.44"
"中國","61.49","2.43","0.64","50.68"
"印度","384.37","-0.62","-3.37","64.51"
"俄羅斯","633.21","-2.04","3.57","59.49"
"巴西","2914.70","-0.10","5.34","77.92"
"台灣","218.39","0.10","-2.89","44.80"
"韓國","283.81","-0.47","0.65","46.99"
"泰國","202.57","-0.23","3.38","52.57"
"馬來西亞","316.82","0.11","1.64","36.99"
"印尼","567.81","2.17","3.92","97.51"
"土耳其","458.85","-0.75","3.63","66.83"
"未開發市場","525.92","0.00","2.27","11.60"
"以色列","241.80","-2.01","-2.32","32.57"
"埃及","801.79","-0.13","5.70","35.52"
"南非","401.11","-0.51","0.92","31.48"

