"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","5139.98","-2.92","-0.06%","03/31"
"澳洲股市","5403.00","26.20","0.49%","16:36"
"日經225","14827.83","131.80","0.90%","03/31"
"東證一部","1202.89","16.37","1.38%","03/31"
"東證二部","3551.15","18.80","0.53%","15:00"
"JASDAQ","96.24","0.76","0.80%","15:00"
"韓國股市","1985.61","4.61","0.23%","18:00"
"台灣加權","8849.28","74.64","0.85%","03/31"
"台灣店頭","144.50","1.49","1.04%","03/31"
"上海綜合","2033.31","-8.41","-0.41%","03/31"
"上海A股","2128.79","-8.76","-0.41%","03/31"
"上海B股","224.98","-1.81","-0.80%","15:29"
"深圳A股","1085.68","-4.53","-0.41%","15:00"
"深圳B股","820.35","2.66","0.33%","15:00"
"滬深300","2146.31","-5.66","-0.26%","03/31"
"深證成指","7189.58","24.01","0.34%","03/31"
"香港恆生","22151.06","85.53","0.39%","03/31"
"香港國企","10075.10","73.28","0.73%","03/31"
"香港紅籌","4161.24","28.20","0.68%","03/31"
"蒙古股市","16304.02","12.51","0.08%","03/31"
"新加坡","3188.62","16.45","0.52%","17:10"
"海峽中國","225.22","-0.01","-0.00%","17:10"
"越南股市","591.57","-2.72","-0.46%","03/31"
"泰國股市","1376.26","7.36","0.54%","17:07"
"菲律賓","6428.71","69.09","1.09%","03/31"
"馬來西亞","1849.21","-1.52","-0.08%","03/31"
"印尼股市","4768.28","45.22","0.96%","03/28"
"印度股市","22386.27","46.30","0.21%","17:34"
"巴基斯坦","20396.67","17.45","0.09%","15:59"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1226.10","39.82","3.36%","03/31"
"英國股市","6598.37","-17.21","-0.26%","03/31"
"法國股市","4391.50","-19.76","-0.45%","03/31"
"德國股市","9555.91","-31.28","-0.33%","03/31"
"土耳其","69736.34","619.02","0.90%","03/31"
"匈牙利","17529.99","139.68","0.80%","03/31"
"奧地利","2523.82","41.98","1.69%","03/31"
