"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","13690.19","-322.01","-2.30","close"
"東證一部","1344.18","-32.51","-2.36","close"
"東證二部","2997.90","-16.69","-0.55","close"
"JASDAQ","65.10","0.41","0.63","close"
"上海綜合","3364.54","-108.55","-3.13","close"
"上海A股","3530.58","-113.81","-3.12","close"
"上海B股","236.18","-9.02","-3.68","close"
"深圳A股","1072.72","-32.34","-2.93","close"
"深圳B股","528.54","-7.44","-1.39","close"
"滬深300","3559.22","-115.93","-3.15","close"
"香港恆生","24127.31","-586.76","-2.37","16:10"
"香港國企","13221.28","-415.13","-3.04","16:10"
"香港紅籌","5299.27","-296.77","-5.30","16:10"
"台灣加權","8707.83","-126.90","-1.44","close"
"台灣店頭","150.11","-6.26","-4.00","close"
"韓國指數","1800.58","-27.36","-1.50","18:03"
"越南股市","420.51","-7.54","-1.76","11:01"
"泰國股市","856.80","-18.79","-2.15","17:01"
"菲律賓","2840.52","-8.76","-0.31","12:11"
"馬來西亞","1273.37","-1.41","-0.11","17:00"
"印尼股市","2419.73","-46.23","-1.87","17:09"
"印度股市","16348.50","-301.14","-1.81","16:28"
"孟加拉","3114.84","23.88","0.77","05/25"
"巴基斯坦","9019.30","-297.66","-3.19","13:15"
"澳洲股市","5807.50","-58.70","-1.00","17:47"
"紐西蘭","3573.75","-15.72","-0.44","14:31"
"新加坡","3103.30","-18.85","-0.60","17:10"
"龍籌股","157.09","-1.80","-1.13","05/26"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2436.56","1.36","0.06","05/26"
"英國指數","6087.30","-94.30","-1.53","05/23"
"法國指數","4937.84","4.07","0.08","05/26"
"德國指數","6953.84","9.79","0.14","05/26"
"土耳其","39439.35","-521.64","-1.31","05/26"
"匈牙利","22208.47","-253.16","-1.13","05/26"
"奧地利","4344.88","-26.59","-0.61","05/26"
"波蘭股市","46620.03","46.13","0.10","05/26"
"捷克股市","1657.90","-13.40","-0.80","05/26"
"瑞典股市","997.56","3.33","0.33","05/26"
"芬蘭股市","9590.35","-62.18","-0.64","05/26"
"挪威股市","442.64","-13.07","-2.87","05/26"
"希臘指數","4021.85","-44.18","-1.09","05/26"
"義大利","25314.00","-60.00","-0.24","16:43"
"盧森堡","2280.18","3.30","0.14","05/26"
"荷蘭","478.29","-0.10","-0.02","05/26"
"冰島","4782.59","-45.40","-0.94","05/26"
"丹麥","450.15","-2.16","-0.48","05/26"
"瑞士股市","7363.90","-96.04","-1.29","05/26"
"西班牙","1459.90","0.67","0.05","05/26"
"葡萄牙","3538.65","-19.71","-0.55","05/26"
"愛爾蘭","6114.26","48.62","0.80","05/26"
"以色列","1088.66","1.45","0.13","05/26"
"埃及股市","93617.28","196.06","0.21","05/26"
"南非股市","30801.38","199.03","0.65","05/26"
"摩洛哥","29496.99","-164.77","-0.56","05/26"
