"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","6834.953","-89.32","-1.29%","18:46"
"澳洲股市","5282.50","-109.10","-2.02%","17:40"
"日經225","15859","-160.18","-1.00%","15:15"
"東證一部","1271.93","-12.61","-0.98%","15:00"
"東證二部","4197.59","-110.28","-2.56%","15:00"
"JASDAQ","109.36","-3.09","-2.75%","15:00"
"韓國股市","1972.03","-7.03","-0.36%","18:03"
"台灣加權","8576.12","39.90","0.47%","13:49"
"台灣店頭","126.63","0.88","0.70%","13:49"
"上海綜合","2842.188","9.12","0.32%","15:29"
"上海A股","2974.844","9.59","0.32%","15:29"
"上海B股","340.531","-0.11","-0.03%","15:29"
"深圳A股","1916.998","5.55","0.29%","15:00"
"深圳B股","1068.099","-1.70","-0.16%","15:00"
"滬深300","3075.98","9.64","0.31%","15:01"
"深證成指","9895.15","32.57","0.33%","15:00"
"中小板指","6518.61","23.00","0.35%","15:00"
"創業板指","2058.31","3.60","0.18%","15:00"
"香港恆生","20387.53","-125.46","-0.61%","16:01"
"香港國企","8583.09","-36.83","-0.43%","16:01"
"香港紅籌","3519.15","-30.67","-0.86%","06/14"
"香港創業板","407.39","2.34","0.58%","16:05"
"蒙古股市","11029.9","-31.14","-0.28%","13:10"
"新加坡","2768.33","-17.10","-0.61%","17:10"
"越南股市","625.43","1.85","0.30%","15:02"
"泰國股市","1428.1","6.24","0.44%","17:07"
"菲律賓","7460.12","-94.28","-1.25%","15:20"
"馬來西亞","1626.11","-3.66","-0.22%","17:05"
"印尼股市","4821.59","14.36","0.30%","16:00"
"印度股市","26395.71","-1.06","-0.00%","17:33"
"巴基斯坦","25016.87","278.02","1.12%","14:06"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","900.19","-24.46","-2.65%","18:50"
"英國股市","5923.53","-121.44","-2.01%","16:35"
"法國股市","4130.33","-96.69","-2.29%","06:05"
"德國股市","9519.2","-138.24","-1.43%","06:30"
"土耳其","75759.56","-774.67","-1.01%","17:40"
"匈牙利","25831","0.41","0.00%","17:25"
"烏克蘭","673.18","11.44","1.73%","17:05"
"奧地利","2095.02","-43.37","-2.03%","17:45"
"波蘭股市","44729.08","-388.77","-0.86%","17:15"
"捷克股市","808.2","-10.18","-1.24%","16:45"
"瑞典股市","1273.97","-20.54","-1.59%","17:35"
"芬蘭股市","7693.836","-127.78","-1.63%","18:35"
"挪威股市","525.10","-7.85","-1.47%","16:38"
"希臘股市","593.45","-1.13","-0.19%","17:19"
"義大利","17920.53","-372.93","-2.04%","17:38"
"比利時","3306.59","-60.04","-1.78%","06:05"
"盧森堡","1410.975","-24.47","-1.70%","17:35"
"荷蘭股市","419.08","-9.12","-2.13%","06:05"
"冰島股市","1256.9","0.56","0.04%","16:35"
"丹麥股市","919.199","-34.98","-3.67%","17:05"
"瑞士股市","7638.77","-143.58","-1.84%","17:30"
"西班牙","819.19","-17.06","-2.04%","17:38"
"葡萄牙","2331.4","-54.46","-2.28%","05:05"
"愛爾蘭","5977.21","-108.21","-1.78%","05:00"
"以色列","1410.09","-2.35","-0.17%","16:24"
"埃及股市","667.120","-2.87","-0.43%","19:57"
"南非股市","45396.9","-1034.61","-2.23%","17:00"
"約旦股市","2113.65","-0.01","-0.00%","15:00"
"杜拜股市","3329.71","6.28","0.19%","14:00"
"阿布達比","4386.42","21.33","0.49%","14:00"
"奈及利亞","27034.05","-69.84","-0.26%","15:30"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","17674.82","-57.66","-0.33%","16:15"
"NASDAQ","4843.551","-4.89","-0.10%","17:16"
"NYSE綜合","10294.59","-54.59","-0.53%","18:33"
"S&P 500","2075.32","-3.74","-0.18%","16:51"
"羅素3000","1223.548","-2.56","-0.21%","16:30"
"羅素3000成長","812.17","-0.60","-0.07%","17:35"
"羅素3000價值","1306.71","-4.56","-0.35%","17:35"
"羅素1000","1148.643","-2.36","-0.21%","16:30"
"羅素2000","1147.824","-2.88","-0.25%","16:30"
"費城金銀","88.52","-2.07","-2.28%","06/14"
"AMEX金蟲","224.81","-4.76","-2.07%","06/14"
"道瓊貴金屬","194.17","-4.51","-2.27%","06/14"
"AMEX能源","669.78","-0.34","-0.05%","06/14"
"NYSE能源","10284.17","-69.05","-0.67%","17:00"
"費城油業","169.45","-0.62","-0.37%","06/14"
"AMEX石油","1108.41","-4.41","-0.40%","06/14"
"費城半導體","695.47","0.05","0.01%","06/14"
"NBI生技","2747.59","-16.22","-0.59%","06/14"
"AMEX生技","3071.96","-14.24","-0.46%","06/14"
"加拿大","13884.23","-109.65","-0.78%","18:05"
"巴西股市","48648.29","-1012.50","-2.04%","17:20"
"墨西哥","44570.59","-359.66","-0.80%","15:06"
"阿根廷","13038.32","-135.85","-1.03%","17:00"
"智利股市","3939.66","-1.22","-0.03%","17:07"
"委內瑞拉","14922.02","-237.14","-1.56%","00:59"
"哥倫比亞","1303.33","-11.90","-0.90%","15:00"
"百慕達","1176.55","-4.50","-0.38%","close"
"牙買加","158948","-618","-0.39%","14:04"
"秘魯股市","13366.86","129.20","0.98%","04/30"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波羅的海乾散貨","608.00","-1.00","-0.16%","06/14"
