"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3461.32","16.04","0.47%","18:31"
"澳洲股市","5064.90","28.40","0.56%","17:40"
"日經225","9719.70","-48.38","-0.50%","15:28"
"東證一部","852.34","-0.79","-0.09%","15:00"
"東證二部","2243.22","11.11","0.50%","15:00"
"JASDAQ","50.78","0.22","0.44%","15:11"
"韓國股市","2122.39","-5.58","-0.26%","18:06"
"台灣加權","8880.27","-14.27","-0.16%","13:46"
"台灣店頭","141.55","-0.52","-0.37%","13:46"
"上海綜合","3022.75","-7.27","-0.24%","15:15"
"上海A股","3165.13","-7.66","-0.24%","15:15"
"上海B股","325.43","0.05","0.02%","15:15"
"深圳A股","1334.64","-11.11","-0.83%","15:00"
"深圳B股","833.73","0.53","0.06%","15:00"
"滬深300","3333.43","-19.93","-0.59%","15:01"
"深證成指","12925.00","-111.19","-0.85%","15:00"
"香港恆生","24303.10","-93.00","-0.38%","16:01"
"香港國企","13684.10","31.14","0.23%","16:01"
"香港紅籌","4408.33","-29.34","-0.66%","16:01"
"新加坡","3160.44","-26.87","-0.84%","17:10"
"海峽中國","308.60","-2.79","-0.90%","16:40"
"越南股市","464.29","0.80","0.17%","04/08"
"泰國股市","1076.33","-6.36","-0.59%","17:01"
"菲律賓","4227.99","-13.02","-0.31%","14:00"
"馬來西亞","1544.00","-13.49","-0.87%","16:05"
"印尼股市","3745.84","4.03","0.11%","16:00"
"印度股市","19262.50","-188.91","-0.97%","17:59"
"巴基斯坦","8274.05","-20.73","-0.25%","16:12"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2113.55","-10.01","-0.47%","04/11"
"英國股市","6053.44","-2.31","-0.04%","04/11"
"法國股市","4038.70","-23.21","-0.57%","04/11"
"德國股市","7204.86","-12.16","-0.17%","04/11"
"土耳其","68194.70","101.46","0.15%","04/11"
"匈牙利","24375.50","-56.97","-0.23%","04/11"
"奧地利","2896.06","-7.15","-0.25%","04/11"
"波蘭股市","49986.00","-0.16","-0.00%","04/11"
"捷克股市","1263.70","-7.20","-0.57%","04/11"
"瑞典股市","1148.69","-2.68","-0.23%","04/11"
"芬蘭股市","7591.23","20.02","0.26%","04/11"
"挪威股市","417.31","-0.59","-0.14%","04/11"
"希臘股市","1491.83","-39.29","-2.57%","04/11"
"義大利","23065.80","-27.80","-0.12%","04/11"
"盧森堡","1461.61","-13.22","-0.90%","04/11"
"荷蘭股市","366.47","-0.47","-0.13%","04/11"
"冰島股市","621.98","-0.12","-0.02%","04/11"
"丹麥股市","470.04","-0.93","-0.20%","04/11"
"瑞士股市","6440.11","-17.82","-0.28%","04/11"
"西班牙","1111.37","-3.46","-0.31%","04/11"
"葡萄牙","2848.22","2.48","0.09%","04/11"
"愛爾蘭","2930.73","-34.39","-1.16%","04/11"
"以色列","1332.30","1.76","0.13%","04/11"
"埃及股市","521.87","-6.07","-1.15%","04/11"
"南非股市","29594.80","33.71","0.11%","04/11"
"約旦股市","2227.69","-11.23","-0.50%","04/11"
"杜拜股市","1572.98","3.18","0.20%","04/11"
"阿布達比","2619.34","10.84","0.42%","04/11"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12381.10","1.06","0.01%","04/11"
"那斯達克","2771.51","-8.91","-0.32%","04/11"
"羅素兩千","833.86","-7.03","-0.84%","16:49"
"S&P 五百","1324.46","-3.71","-0.28%","04/11"
"費城金銀","222.70","-6.25","-2.73%","04/11"
"DJ貴金屬","454.21","-11.58","-2.49%","16:05"
"CBOE黃金","258.71","-7.09","-2.67%","04/11"
"AMEX金蟲","590.17","-16.11","-2.66%","04/11"
"AMEX能源","784.19","-15.94","-1.99%","04/11"
"NYSE能源","14221.63","-237.75","-1.64%","17:53"
"費城油業","286.67","-5.43","-1.86%","04/11"
"AMEX石油","1367.23","-25.54","-1.83%","04/11"
"費城半導","435.88","-3.70","-0.84%","04/11"
"NSDQ金融","2260.17","-3.07","-0.14%","04/11"
"NYSE金融","5207.67","-5.69","-0.11%","04/11"
"NBI生技","1062.39","0.15","0.01%","04/11"
"AMEX生技","1389.41","5.62","0.41%","04/11"
"費城藥物","184.61","1.00","0.55%","04/11"
"加拿大","13996.90","-211.57","-1.49%","04/11"
"巴西股市","68164.40","-553.65","-0.81%","04/11"
"墨西哥","37590.70","118.95","0.32%","04/11"
"阿根廷","3448.12","-32.27","-0.93%","04/11"
"智利股市","4694.00","-18.97","-0.40%","04/11"
"秘魯股市","20588.70","-667.14","-3.14%","04/11"
"哥倫比亞","14482.00","-74.06","-0.51%","04/11"
"委內瑞拉","70366.00","0.00","0.00%","04/11"
"百慕達","1149.67","-4.79","-0.41%","04/08"
"牙買加","85455.50","348.47","0.41%","04/11"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","1359.00","-17.00","-1.24%","04/11"
"波海海峽航運","1590.00","-22.00","-1.36%","04/11"
"波海巴拿馬航","1664.00","-32.00","-1.89%","04/11"
"VIX波動率","16.59","-1.28","-7.16%","16:14"
"VXD道瓊波動","14.71","-0.82","-5.28%","16:29"
"VXN納指波動","19.09","-0.67","-3.39%","16:14"
"羅素大中華","2234.30","5.87","0.26%","04/08"
"道瓊歐洲","2974.58","-10.08","-0.34%","23:03"
"道瓊交通運輸","5223.27","-5.03","-0.10%","16:30"
"AMEX航空","41.01","0.32","0.79%","04/11"
"美國紙業","112.40","-3.37","-2.91%","04/11"
"道瓊公用事業","408.51","-5.94","-1.43%","16:30"
"全球公用事業","5660.76","50.08","0.89%","02/28"
"Dax奢侈品","104.24","-0.09","-0.09%","04/11"
"ISE水指數","90.84","-0.69","-0.75%","17:06"
"道瓊水指數","759.39","-4.94","-0.65%","16:05"
"純淨科技","1238.50","-8.30","-0.67%","17:43"
"WH創新能源","271.14","-4.58","-1.66%","17:43"
"WH乾淨能源","103.73","-1.16","-1.11%","17:43"
"全球乾淨能源","1025.91","-3.48","-0.34%",""
"ISE替代能源","26.66","0.00","0.00%","09/20"
"全球替代能源","1691.77","-12.93","-0.76%","17:24"
"ET50環境科技","164.99","-0.39","-0.24%","21:20"
"道瓊美國礦產","255.44","-7.17","-2.73%","16:00"
"道瓊世界原料","393.06","-1.01","-0.26%","17:22"
"FTSE金礦","3982.56","-69.43","-1.71%","16:30"
"HSBC礦業","780.80","-4.61","-0.59%","04/07"
"msci世界能源","278.40","-3.69","-1.31%","04/11"
"msci世界原料","290.10","-0.35","-0.12%","04/11"

"債券指數其他更多債券指數"
"指數","收盤","比例","殖利率","利差","日期"
"ML高收益指數","273.44","0.09%","6.84%","453","04/11"
"ML美國高收益","1179.73","0.09%","6.77%","446","04/11"
"ML全球高收益","242.07","0.09%","7.00%","458","04/11"
"ML歐洲高收益","191.15","0.07%","7.62%","470","04/11"
"ML高收益100","1970.88","0.10%","6.20%","417","04/11"
"ML CCC債券","272.07","0.17%","9.77%","769","04/11"
"ML美國公司債","2081.64","0.07%","4.12%","145","04/11"
"BC美國機構債","1422.55","0.02%","1.68%","n/a","04/11"
"BC美國房貸債","1636.59","0.05%","3.87%","n/a","04/11"
"ML美國房利美","560.07","0.10%","4.29%","22","04/11"
"ML美國房地美","349.28","0.08%","4.33%","29","04/11"
"ML美國吉利美","595.11","0.21%","4.06%","26","04/11"
"JP全球政府債","426.57","0.01%","2.86%","...","04/11"
"JP新興政府債","531.07","0.04%","6.29%","...","04/08"
"JP歐盟政府債","263.34","0.05%","4.42%","...","04/11"
"JP法國政府債","513.97","-0.04%","3.67%","...","04/11"
"JP德國政府債","384.61","-0.07%","3.41%","...","04/11"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","366.00","-2.70","-0.73%","04/11"
"CRB農業","6409.51","-39.77","-0.62%","04/11"
"CRB工業金屬","3144.15","-12.61","-0.40%","04/11"
"CRB能源開採","3318.38","-104.87","-3.06%","04/11"
"高盛綜合商品","464.75","-4.88","-1.04%","04/11"
"高盛商品","553.09","-7.58","-1.35%","04/11"
"高盛農產品","86.44","0.16","0.18%","04/11"
"高盛牲畜","228.53","0.15","0.07%","04/11"
"高盛貴金屬","232.32","-0.76","-0.33%","04/11"
"高盛基本金屬","308.72","-0.95","-0.31%","04/11"
"高盛能源","333.65","-6.61","-1.94%","04/11"
"天然氣","675.53","-11.62","-1.69%","04/11"
"Dax全球農金","572.14","-3.93","-0.68%","04/11"
"Rogers商品","4397.00","-42.75","-0.96%","04/11"
"Rogers能源","942.50","22.43","2.44%","04/08"
"Rogers金屬","3158.87","60.37","1.95%","04/08"
"Rogers農產","1453.09","9.74","0.67%","04/08"
"券商指數","120.75","-0.24","-0.20%","04/11"
"美元指數","75.06","0.19","0.26%","04/11"
"歐元指數","144.36","-0.47","-0.32%","04/11"
"英鎊指數","163.45","-0.39","-0.24%","04/11"
"日圓指數","118.11","0.12","0.10%","04/11"
"澳幣指數","104.99","-0.67","-0.63%","04/11"
"30年債券價格","118.50","-0.03","-0.03%","04/11"
"30年債殖利率","46.34","0.04","0.09%","04/11"
"10年期票利率","35.70","0.00","0.00%","04/11"
"5年期票利率","22.98","-0.02","-0.09%","04/11"
"3月期票利率","0.35","0.00","0.00%","04/11"
"Put/Call比例","0.95","0.08","9.20%","04/11"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","台北"
"黃金","1464.20","-11.80","-0.80%","04/11"
"銀","40.24","-0.71","-1.73%","04/11"
"白金","1789.00","-30.00","-1.66%","04/11"
"鈀","781.00","-19.00","-2.39%","04/11"
"銅","4.4423","0.00","0.05%","02:00"
"鎳","12.5760","0.00","0.00%","02:00"
"鋁","1.1935","0.00","0.00%","02:00"
"鋅","1.1345","0.00","0.11%","02:00"
"鉛","1.3175","-0.00","-0.09%","02:00"
"鈾","59.00","-3.50","-5.60%","04/04"
"黃金期貨","1468.100","-6.000","-0.41%","05:15"
"銀期貨","40.612","0.004","0.01%","05:15"
"銅期貨","446.000","-4.150","-0.92%","05:15"
"天然氣期","4.108","0.067","1.66%","04/11"
"布蘭特油期","123.220","-3.430","-2.71%","05:34"
"紐約輕原油","109.920","-2.870","-2.54%","05:15"
"燃油期貨","325.250","-6.720","-2.02%","05:15"
"玉米期貨","781.250","7.250","0.94%","04/11"
"小麥期貨","831.750","-0.500","-0.06%","04/11"
"可可粉期","3028.000","43.000","1.44%","02:00"
"黃豆期貨","1379.750","-24.000","-1.71%","04/11"
"黃豆油期貨","59.440","-0.950","-1.57%","04/11"
"咖啡C期","277.600","-0.250","-0.09%","02:00"
"十一號糖","24.840","-0.040","-0.16%","02:09"
"二號棉期","190.910","1.010","0.53%","02:36"
"活牛期貨","116.900","-0.050","-0.04%","04:59"
"瘦豬期貨","101.050","0.400","0.40%","04:53"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","台北"
"歐元/美元","1.4431","-0.0005","-0.03","05:48"
"英鎊/美元","1.6345","-0.0001","-0.01","05:48"
"美元/瑞士法郎","0.9068","0.0002","0.02","05:48"
"美元/瑞典克朗","6.2641","0.0022","0.03","05:48"
"美元/俄盧布","28.0313","-0.0056","-0.02","04/11"
"美元/匈牙利幣","183.7550","0.0658","0.04","05:49"
"美元/土耳其幣","1.5163","0.0057","0.38","04/11"
"美元/南非幣","6.6854","-0.0019","-0.03","05:48"
"美元/以色列幣","3.4438","0.0089","0.26","04/11"
"美元/日圓","84.6415","0.0415","0.05","05:45"
"美元/人民幣","6.5382","0.0026","0.04","04/11"
"美元/港幣","7.7694","-0.0001","-0.00","05:47"
"美元/台幣","28.9380","-0.0035","-0.01","04/11"
"美元/韓圜","1084.21","1.19","0.11","04/11"
"美元/泰銖","30.0900","0.0000","0.00","05:47"
"美元/新元","1.2563","-0.0001","-0.01","05:47"
"美元/菲披索","43.1200","0.1650","0.38","04/11"
"美元/馬來幣","3.0205","-0.0010","-0.03","04/11"
"美元/印尼盾","8652.50","0.00","0.00","04/11"
"美元/印度盧比","44.3950","0.3181","0.72","04/11"
"澳幣/美元","1.0493","-0.0002","-0.02","05:47"
"紐幣/美元","0.7809","0.0011","0.14","05:47"
"美元/加幣","0.9564","-0.0003","-0.03","05:47"
"美元/巴西幣","1.5833","0.0144","0.92","04/11"
"美元/墨披索","11.7680","0.0184","0.16","05:47"
"美元/阿根廷","4.0491","-0.0006","-0.01","04/11"
"美元/智利","472.0050","2.1000","0.45","04/11"

"MSCI 指數"
"MSCI","指數","單日","本月","今年"
"世界指數","1348.65","-0.21","1.03","5.36"
