"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","12214.76","112.26","0.93","close"
"東證一部","1177.20","14.48","1.25","close"
"東證二部","2479.98","9.82","0.40","close"
"JASDAQ","55.58","-0.46","-0.82","close"
"上海綜合","2079.67","0.69","0.03","close"
"上海A股","2183.02","0.91","0.04","close"
"上海B股","135.19","-2.67","-1.93","close"
"深圳A股","606.62","3.84","0.64","close"
"深圳B股","326.56","-4.29","-1.30","close"
"滬深300","2077.85","5.72","0.28","close"
"香港恆生","19352.90","-35.82","-0.18","close"
"香港國企","9975.00","-77.03","-0.77","close"
"香港紅籌","3537.20","-15.65","-0.44","close"
"台灣加權","6310.68","58.73","0.94","close"
"台灣店頭","95.35","-0.29","-0.30","close"
"韓國指數","1477.92","34.68","2.40","18:04"
"越南股市","476.00","-21.01","-4.23","11:00"
"泰國股市","654.34","7.54","1.17","16:59"
"菲律賓","2646.12","-26.44","-0.99","12:11"
"馬來西亞","1044.03","2.96","0.28","17:00"
"印尼股市","1804.06","-66.07","-3.53","17:09"
"印度股市","14000.81","-323.48","-2.26","16:28"
"孟加拉","2850.17","-9.36","-0.33","09/11"
"巴基斯坦","6688.56","-6.35","-0.09","11:00"
"澳洲股市","4957.10","85.60","1.76","17:47"
"紐西蘭","3361.69","28.14","0.84","14:34"
"新加坡","2570.67","29.52","1.16","17:10"
"龍籌股","89.14","-0.47","-0.52","19:00"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1341.75","43.67","3.36","09/12"
"英國指數","5416.70","98.30","1.85","09/12"
"法國指數","4332.66","83.59","1.97","09/12"
"德國指數","6234.89","55.99","0.91","09/12"
"土耳其","37033.87","-354.26","-0.95","09/12"
"匈牙利","19632.66","116.46","0.60","09/12"
"奧地利","3321.20","65.65","2.02","09/12"
"波蘭股市","39121.03","82.07","0.21","09/12"
"捷克股市","1290.80","-1.40","-0.11","09/12"
"瑞典股市","847.79","20.13","2.43","09/12"
"芬蘭股市","7800.92","166.69","2.18","09/12"
"挪威股市","326.45","11.64","3.70","09/12"
"希臘指數","3110.57","-21.03","-0.67","09/12"
"義大利","21749.00","329.00","1.54","16:43"
"盧森堡","1754.56","2.01","0.11","09/12"
"荷蘭","399.57","7.01","1.79","09/12"
"冰島","3967.05","-1.96","-0.05","09/12"
"丹麥","391.83","6.36","1.65","09/12"
"瑞士股市","7215.50","144.25","2.04","09/12"
"西班牙","1227.40","28.23","2.35","09/12"
"葡萄牙","2776.49","45.51","1.67","09/12"
"愛爾蘭","4345.00","35.25","0.82","09/12"
"以色列","944.31","-24.31","-2.51","09/11"
"埃及股市","718.32","-4.46","-0.62","09/11"
"南非股市","23957.74","619.74","2.66","09/12"
"摩洛哥","26787.09","-311.07","-1.15","09/12"
"卡達指數","9421.24","-204.24","-2.12","09/11"
"杜拜指數","4258.79","-107.05","-2.45","09/11"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","當地"
"道瓊工業","11421.99","-11.72","-0.10","09/12"
"那斯達克","2261.27","3.05","0.14","09/12"
"羅素兩千","720.26","1.26","0.18","09/12"
"S&P 五百","1251.70","2.65","0.21","09/12"
"費城金銀","127.10","11.78","10.22","09/12"
"DJ貴金屬","260.96","24.27","10.25","17:17"
"CBOE黃金","129.34","12.63","10.82","09/12"
"AMEX金蟲","290.45","27.48","10.45","09/12"
"AMEX能源","687.37","19.87","2.98","09/12"
"NYSE能源","12835.87","371.74","2.98","09/12"
"費城油業","264.61","8.07","3.15","09/12"
"AMEX石油","1246.97","36.98","3.06","09/12"
"費城半導","322.13","-1.76","-0.54","09/12"
"NSDQ金融","2641.07","17.81","0.68","09/12"
"NYSE金融","6267.57","4.96","0.08","09/12"
"NBI生技","864.46","-4.56","-0.52","09/12"
"AMEX生技","809.92","-4.83","-0.59","09/12"
"費城藥物","184.06","0.75","0.41","09/12"
"加拿大","12769.58","156.82","1.24","09/12"
"巴西指數","52392.86","1122.46","2.19","09/12"
"墨西哥","25588.41","35.92","0.14","09/12"
"阿根廷","1647.65","34.41","2.13","09/12"
"智利","2827.81","60.20","2.18","09/12"
"秘魯","12291.60","229.36","1.90","09/12"
