"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","17527.45","-100.85","-0.57","close"
"東證一部","1716.11","-9.49","-0.55","close"
"東證二部","4095.50","-15.21","-0.37","close"
"JASDAQ","80.80","-0.31","-0.38","close"
"上海綜合","3611.87","15.43","0.43","04/17"
"上海A股","3796.37","15.76","0.42","04/17"
"上海B股","199.24","4.47","2.30","04/17"
"香港恆生","20788.61","31.08","0.15","04/17"
"香港國企","10346.22","32.42","0.31","04/17"
"香港紅籌","3622.70","15.13","0.42","04/17"
"台灣指數","7959.29","-84.25","-1.05","13:46"
"韓國指數","1528.66","-3.38","-0.22","18:03"
"新加坡","3415.32","1.17","0.03","17:05"
"馬來西亞","1330.26","7.35","0.56","17:00"
"菲律賓","3318.17","50.31","1.54","12:11"
"印尼股市","1965.44","1.62","0.08","17:09"
"越南股市","965.72","-17.28","-1.76","14:20"
"泰國股市","695.03","2.57","0.37","17:01"
"印度股市","13607.04","-88.54","-0.65","16:28"
"澳洲股市","6168.90","-14.70","-0.24","17:47"
"日本不動產","4069.65","-16.67","-0.41","15:45"
"東證REIT","2423.13","-2.73","-0.11","15:01"
"澳洲不動產","1922.33","14.28","0.75","19:15"
"新加坡不動產","1564.56","-0.73","-0.05","04/16"
"恆生地產","24764.70","-32.12","-0.13","17:01"
"亞洲REIT","189.75","-0.25","-0.13","16:30"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"英國指數","6497.80","-18.40","-0.28","15:36"
"法國指數","5858.14","-3.83","-0.07","17:10"
"德國指數","7348.83","10.77","0.15","18:27"
"俄羅斯","1990.57","-17.85","-0.89","18:00"
"道瓊歐洲","4384.38","5.13","0.12","17:32"
"土耳其","46621.49","-75.58","-0.16","15:39"
"匈牙利","24991.25","-190.00","-0.76","15:36"
"奧地利","4707.44","-34.60","-0.73","16:33"
"波蘭股市","59353.79","-70.77","-0.12","15:40"
"捷克股市","1804.00","-10.10","-0.56","16:13"
"愛沙尼亞","926.61","-4.27","-0.46","13:05"
"拉托維亞","655.25","-2.75","-0.42","13:05"
"立陶宛","499.20","-0.44","-0.09","13:05"
"盧森堡","2408.15","-3.35","-0.14","15:10"
"義大利","33775.00","-11.00","-0.03","16:43"
"西班牙","1661.03","-4.66","-0.28","16:39"
"瑞士股市","9228.00","-41.90","-0.45","16:30"
"瑞典股市","1278.27","0.63","0.05","16:45"
"芬蘭股市","10601.70","6.01","0.06","17:32"
"挪威股市","394.11","0.11","0.03","15:24"
"英國不動產","3049.11","-57.06","-1.84","16:36"
