"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","18157.93","41.36","0.23","7/20"
"東證一部","1776.17","8.17","0.46","7/20"
"東證二部","4217.94","2.73","0.06","7/20"
"JASDAQ","79.07","-0.39","-0.49","7/20"
"上海綜合","4058.85","145.91","3.73","07/20"
"上海A股","4258.09","153.02","3.73","07/20"
"上海B股","286.57","10.78","3.91","07/20"
"香港恆生","23291.90","275.70","1.20","07/20"
"香港國企","13152.25","268.22","2.08","07/20"
"香港紅籌","4552.80","113.60","2.56","07/20"
"台灣加權","9585.90","112.59","1.19","13:46"
"台灣店頭","222.68","4.39","2.01","13:46"
"韓國指數","1983.54","45.64","2.35","18:03"
"新加坡","3651.38","46.76","1.30","17:05"
"馬來西亞","1382.36","5.96","0.43","17:00"
"菲律賓","3738.28","35.37","0.95","12:11"
"印尼股市","2366.40","32.71","1.40","17:09"
"越南股市","981.31","-3.12","-0.32","10:57"
"泰國股市","850.54","3.28","0.39","17:01"
"印度股市","15565.55","15.42","0.10","16:28"
"斯里蘭卡","2384.05","18.28","0.77","14:16"
"澳洲股市","6456.70","37.70","0.59","17:47"
"紐西蘭","4320.27","26.01","0.61","14:31"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2069.93","-1.15","-0.06","07/20"
"英國指數","6585.20","-55.00","-0.83","15:35"
"法國指數","5957.16","-108.34","-1.79","17:10"
"德國指數","7874.85","-116.36","-1.46","18:37"
"道瓊歐洲","4445.23","-77.41","-1.71","17:15"
"土耳其","52935.75","-389.54","-0.73","15:40"
"匈牙利","29790.75","-193.64","-0.65","15:36"
"奧地利","4834.23","-53.83","-1.10","16:35"
"波蘭股市","65257.29","-658.14","-1.00","15:40"
"捷克股市","1854.90","-15.40","-0.82","16:13"
"盧森堡","2513.73","9.75","0.39","16:40"
"義大利","32687.00","-431.00","-1.30","16:43"
"西班牙","1644.38","-27.72","-1.66","16:41"
"瑞士股市","9105.46","-83.85","-0.91","16:30"
"瑞典股市","1283.17","-19.79","-1.52","16:47"
"芬蘭股市","11551.85","-90.88","-0.78","17:32"
"挪威股市","440.73","-3.39","-0.76","15:25"
"以色列","1161.21","9.38","0.81","07/19"
"埃及股市","74311.30","168.61","0.23","07/19"
"南非股市","26911.52","68.49","0.26","16:00"
"摩洛哥","23786.31","-37.84","-0.16","19:18"
