"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","13849.56","-7.91","-0.06","close"
"東證一部","1349.19","1.26","0.09","close"
"東證二部","2941.61","-3.27","-0.11","close"
"JASDAQ","62.20","-0.52","-0.83","close"
"上海綜合","2803.02","42.60","1.54","close"
"上海A股","2940.59","44.61","1.54","close"
"上海B股","207.67","4.39","2.16","close"
"深圳A股","838.84","22.76","2.79","close"
"深圳B股","483.30","8.13","1.71","close"
"滬深300","2851.92","61.97","2.22","15:00"
"香港恆生","22456.02","-258.94","-1.14","close"
"香港國企","12018.51","-217.80","-1.78","close"
"香港紅籌","4799.81","-28.11","-0.58","close"
"台灣加權","7738.12","-138.37","-1.76","close"
"台灣店頭","128.99","-1.95","-1.49","close"
"韓國指數","1710.84","-4.75","-0.28","18:03"
"越南股市","375.97","7.02","1.90","11:00"
"泰國股市","763.75","-5.15","-0.67","17:01"
"菲律賓","2474.87","-24.51","-0.98","12:11"
"馬來西亞","1200.28","4.87","0.41","17:00"
"印尼股市","2365.38","2.63","0.11","17:09"
"印度股市","14106.58","-186.74","-1.31","16:28"
"孟加拉","3036.02","71.67","2.42","21:59"
"巴基斯坦","8702.11","663.72","8.26","12:15"
"澳洲股市","5418.80","9.90","0.18","17:47"
"紐西蘭","3298.18","10.63","0.32","14:31"
"新加坡","2962.16","-16.99","-0.57","17:10"
"龍籌股","141.62","-2.70","-1.87","06/24"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2308.88","-33.51","-1.43","06/24"
"英國指數","5634.70","-32.50","-0.57","06/24"
"法國指數","4473.76","-37.61","-0.83","06/24"
"德國指數","6536.06","-53.40","-0.81","06/24"
"土耳其","37275.87","-307.80","-0.82","06/24"
"匈牙利","20385.56","-86.46","-0.42","06/24"
"奧地利","4017.02","-40.34","-0.99","06/24"
"波蘭股市","42006.23","-265.92","-0.63","06/24"
"捷克股市","1513.70","-38.10","-2.46","06/24"
"瑞典股市","897.72","-16.68","-1.82","06/24"
"芬蘭股市","8594.50","-41.70","-0.48","06/24"
"挪威股市","416.89","-4.08","-0.97","06/24"
"希臘指數","3482.01","-42.84","-1.22","06/24"
"義大利","22873.00","-186.00","-0.81","16:43"
"盧森堡","2091.55","-25.54","-1.21","06/24"
"荷蘭","437.38","-0.06","-0.01","06/24"
"冰島","4499.76","-13.29","-0.29","06/24"
"丹麥","430.67","-7.45","-1.70","06/24"
"瑞士股市","7026.08","-0.84","-0.01","06/24"
"西班牙","1315.04","-20.11","-1.51","06/24"
"葡萄牙","3107.85","-75.35","-2.37","06/24"
"愛爾蘭","5289.11","-105.45","-1.95","06/24"
"以色列","1115.21","-12.29","-1.09","06/24"
"埃及股市","90264.73","-1.93","-0.00","06/24"
"南非股市","28534.60","-235.64","-0.82","06/24"
"摩洛哥","28842.37","87.56","0.30","06/24"
"卡達指數","12136.50","-157.95","-1.28","06/24"
"杜拜指數","5459.09","-62.84","-1.14","06/24"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","當地"
"道瓊工業","11807.43","-34.93","-0.29","06/24"
"NASDAQ","2368.28","-17.46","-0.73","06/24"
"羅素2000","707.92","-11.89","-1.65","06/24"
"S&P 500","1314.29","-3.71","-0.28","06/24"
"費城金銀","179.62","-0.91","-0.50","06/24"
"DJ貴金屬","368.28","-1.48","-0.40","17:18"
"CBOE黃金","179.17","0.04","0.02","06/24"
"AMEX金蟲","413.44","-4.27","-1.02","06/24"
"AMEX能源","878.51","-15.38","-1.72","06/24"
"NYSE能源","16190.55","-257.97","-1.57","06/24"
"費城油業","351.85","-7.76","-2.16","06/24"
"AMEX石油","1514.63","-19.03","-1.24","06/24"
"費城半導","380.32","1.61","0.43","06/24"
"NSDQ金融","2345.73","6.46","0.28","06/24"
"NYSE金融","6556.10","61.79","0.95","06/24"
"NBI生技","789.53","-2.68","-0.34","06/24"
"AMEX生技","738.47","-3.32","-0.45","06/24"
"費城藥物","175.80","2.06","1.19","06/24"
"加拿大","14409.60","-282.22","-1.92","06/24"
"巴西指數","64167.77","-472.68","-0.73","06/24"
"墨西哥","29291.61","-172.93","-0.59","06/24"
"阿根廷","2067.59","-23.96","-1.15","06/24"
"智利","3045.98","-1.31","-0.04","06/24"
"秘魯","16558.18","-164.78","-0.99","06/24"
"哥倫比亞","9287.92","-18.67","-0.20","06/24"
"委內瑞拉","36643.48","67.84","0.19","06/23"
"百慕達","4663.98","-37.54","-0.80","06/24"
"牙買加","110859.59","816.44","0.74","06/24"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","9211.00","-217.00","-2.30","06/23"
"波海海峽航運","13112.00","-746.00","-5.38","06/23"
"波海巴拿馬航","8796.00","97.00","1.11","06/23"
"VIX波動率","22.42","-0.22","-0.97","16:14"
"道瓊歐洲","3404.52","-22.81","-0.67","19:00"
"DJ交通運輸","4998.35","-95.10","-1.87","16:30"
