"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","16435.74","34.01","0.21","16:00"
"東證一部","1576.02","9.19","0.59","15:01"
"東證二部","3543.82","48.68","1.39","15:01"
"JASDAQ","71.18","1.61","2.31","15:00"
"上海綜合","5338.52","-87.36","-1.61","15:15"
"上海A股","5602.80","-92.48","-1.62","15:15"
"上海B股","357.48","1.33","0.37","15:15"
"香港恆生","26430.29","-121.65","-0.46","09/25"
"香港國企","16262.84","-143.20","-0.87","09/25"
"香港紅籌","5528.60","59.97","1.10","09/25"
"台灣加權","9257.47","152.19","1.67","13:46"
"台灣店頭","190.04","2.29","1.22","13:46"
"韓國指數","1919.26","10.29","0.54","09/21"
"新加坡","3650.09","25.27","0.70","17:05"
"馬來西亞","1320.89","4.46","0.34","17:00"
"菲律賓","3475.75","35.08","1.02","12:11"
"印尼股市","2361.01","30.65","1.32","17:09"
"越南股市","1015.91","6.03","0.60","10:56"
"泰國股市","844.40","9.22","1.10","17:01"
"印度股市","16921.39","21.85","0.13","17:13"
"斯里蘭卡","2582.28","-4.83","-0.19","09/25"
"澳洲股市","6491.40","0.50","0.01","17:47"
"紐西蘭","4275.97","34.29","0.81","14:31"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2049.45","40.48","2.01","09/26"
"英國指數","6433.00","36.10","0.56","09/26"
"法國指數","5690.77","49.18","0.87","09/26"
"德國指數","7804.15","34.71","0.45","09/26"
"道瓊歐洲","4364.40","35.51","0.82","09/26"
"土耳其","54245.83","1352.65","2.56","09/26"
"匈牙利","27848.19","114.90","0.41","09/26"
"奧地利","4532.23","-4.82","-0.11","09/26"
"波蘭股市","61230.87","198.83","0.33","09/26"
"捷克股市","1825.30","22.40","1.24","09/26"
"盧森堡","2439.06","27.16","1.13","09/26"
"義大利","31079.00","265.00","0.86","16:43"
"西班牙","1594.08","20.95","1.33","09/26"
"瑞士股市","8859.71","30.56","0.35","09/26"
"瑞典股市","1196.66","12.17","1.03","09/26"
"芬蘭股市","12208.09","211.07","1.76","09/26"
"挪威股市","421.06","2.54","0.61","09/26"
"以色列","1130.42","9.95","0.89","09/25"
"埃及股市","75099.62","910.06","1.23","09/26"
"南非股市","27158.44","26.82","0.10","09/26"
"摩洛哥","25594.72","-155.63","-0.60","09/26"
"約旦指數","5730.46","20.86","0.37","09/26"
"杜拜指數","4222.48","-44.72","-1.05","09/26"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13878.15","99.50","0.72","16:30"
"NASDAQ","2699.03","15.58","0.58","17:17"
"羅素2000","809.12","6.12","0.76","16:59"
"S&P 500","1525.42","8.21","0.54","16:59"
"DJ貴金屬","340.79","-5.34","-1.54","17:28"
"CBOE黃金","165.78","-2.72","-1.61","16:49"
"AMEX金蟲","382.26","-9.21","-2.35","16:47"
"費城金銀","165.01","-2.89","-1.72","09/26"
"費城油業","294.37","0.00","0.00","09/26"
"AMEX石油","1445.98","1.16","0.08","16:47"
"NYSE能源","14598.58","3.75","0.03","17:06"
"AMEX能源","749.38","1.59","0.21","16:47"
"費城半導","495.66","-1.54","-0.31","09/26"
"NSDQ金融","3022.08","25.48","0.85","17:17"
"NYSE金融","9201.98","50.47","0.55","17:06"
"NBI生技","858.21","7.96","0.94","17:17"
"AMEX生技","824.16","4.08","0.50","16:47"
"費城藥物","207.92","0.81","0.39","09/26"
"加拿大","14034.97","37.35","0.27","09/26"
"巴西指數","59714.83","857.05","1.46","09/26"
"墨西哥","30303.18","8.41","0.03","15:05"
"阿根廷","2177.24","31.40","1.46","09/26"
"智利","3190.73","16.06","0.51","18:31"

