"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","18049.51","-203.16","-1.11","close"
"東證一部","1767.72","-21.48","-1.20","close"
"東證二部","4267.69","-6.36","-0.15","close"
"JASDAQ","81.32","-0.79","-0.96","close"
"上海綜合","3865.72","12.70","0.33","07/11"
"上海A股","4057.03","13.39","0.33","07/11"
"上海B股","259.57","0.34","0.13","07/11"
"香港恆生","22607.02","-278.82","-1.22","07/11"
"香港國企","13003.25","-217.87","-1.65","07/11"
"香港紅籌","4268.70","-55.41","-1.28","07/11"
"台灣加權","9290.95","-93.78","-1.00","13:46"
"台灣店頭","215.44","0.00","0.00","13:46"
"韓國指數","1889.96","-4.57","-0.24","18:06"
"新加坡","3594.94","-25.38","-0.70","17:05"
"馬來西亞","1359.27","-12.18","-0.89","17:00"
"菲律賓","3704.22","-16.74","-0.45","12:11"
"印尼股市","2273.42","-8.96","-0.39","17:09"
"越南股市","1029.85","6.81","0.67","14:14"
"泰國股市","846.28","-12.17","-1.42","17:01"
"印度股市","14910.62","-99.26","-0.66","16:28"
"斯里蘭卡","2471.85","-6.84","-0.28","14:18"
"澳洲股市","6363.20","-34.60","-0.54","17:47"
"紐西蘭","4229.69","-7.16","-0.17","14:31"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","1995.58","17.73","0.90","07/11"
"英國指數","6615.10","-15.80","-0.24","15:35"
"法國指數","6001.09","-18.13","-0.30","17:10"
"德國指數","7898.54","-66.22","-0.83","18:21"
"道瓊歐洲","4447.52","-26.63","-0.59","17:15"
"土耳其","50055.54","-502.08","-0.99","15:42"
"匈牙利","28831.40","-154.57","-0.53","15:36"
"奧地利","4868.09","-68.85","-1.40","16:35"
"波蘭股市","65815.13","-404.31","-0.61","15:40"
"捷克股市","1863.20","-16.50","-0.88","16:13"
"盧森堡","2491.34","-23.19","-0.92","16:40"
"義大利","32890.00","-148.00","-0.45","16:43"
"西班牙","1626.52","-6.10","-0.37","16:39"
"瑞士股市","9214.39","-33.99","-0.37","16:30"
"瑞典股市","1284.58","-0.40","-0.03","16:50"
"芬蘭股市","11545.41","-56.40","-0.49","17:32"
"挪威股市","432.64","0.08","0.02","15:25"
