"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","2497.51","34.80","1.41%","17:31"
"澳洲股市","3199.10","55.90","1.78%","16:47"
"日經225","7376.12","321.14","4.55%","16:00"
"東證一部","722.28","18.78","2.67%","15:00"
"東證二部","1762.75","4.99","0.28%","15:00"
"JASDAQ","38.49","0.04","0.10%","15:00"
"韓國指數","1127.51","35.31","3.23%","18:02"
"台灣加權","4759.96","88.94","1.90%","13:46"
"台灣店頭","70.87","0.11","0.16%","13:46"
"上海綜合","2139.02","-19.54","-0.91%","15:15"
"上海A股","2245.28","-20.58","-0.91%","15:15"
"上海B股","139.87","-0.23","-0.16%","15:15"
"深圳A股","732.03","-4.42","-0.60%","15:00"
"深圳B股","318.46","0.71","0.22%","15:00"
"滬深300","2220.38","-20.40","-0.91%","15:01"
"深證成指","7941.51","-104.15","-1.29%","15:00"
"香港恆生","11930.66","236.61","2.02%","16:10"
"香港國企","7007.74","127.07","1.85%","16:10"
"香港紅籌","2871.74","59.00","2.10%","16:10"
"新加坡","1505.51","19.76","1.33%","17:10"
"龍籌股","44.64","-0.05","-0.11%","03/11"
"越南股市","255.85","3.97","1.58%","11:02"
"泰國股市","414.41","-3.00","-0.72%","17:00"
"菲律賓","1901.42","28.20","1.51%","12:11"
"馬來西亞","850.37","-4.88","-0.57%","19:21"
"印尼股市","1314.52","14.30","1.10%","16:00"
"印度股市","8160.40","-165.42","-1.99%","03/09"
"巴基斯坦","4083.55","-79.50","-1.91%","14:44"

"歐洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"俄羅斯","627.60","-7.32","-1.15%","03/11"
"英國指數","3693.81","-21.42","-0.58%","03/11"
"法國指數","2674.20","10.52","0.39%","03/11"
"德國指數","3914.10","27.12","0.70%","03/11"
"土耳其","23282.57","-32.86","-0.14%","03/11"
"匈牙利","9735.93","-134.38","-1.36%","03/11"
"奧地利","1450.07","-6.03","-0.41%","03/11"
"波蘭股市","23232.40","196.18","0.85%","03/11"
"捷克股市","675.60","15.40","2.33%","03/11"
"瑞典股市","666.58","15.98","2.46%","03/11"
"芬蘭股市","4498.79","129.28","2.96%","03/11"
"挪威股市","190.13","-3.34","-1.73%","03/11"
"希臘指數","1538.17","-13.11","-0.85%","03/11"
"義大利","11175.00","0.00","0.00%","17:51"
"盧森堡","852.32","13.53","1.61%","03/11"
"荷蘭","210.33","-0.11","-0.05%","03/11"
"冰島","222.90","-1.15","-0.51%","03/11"
"丹麥","225.33","3.73","1.68%","03/11"
"瑞士股市","4576.97","64.42","1.43%","03/11"
"西班牙","758.26","5.97","0.79%","03/11"
"葡萄牙","1990.57","16.06","0.81%","03/11"
"愛爾蘭","1947.41","-38.22","-1.92%","03/11"
"以色列","652.27","14.24","2.23%","03/11"
"埃及股市","352.54","6.80","1.97%","03/11"
"南非股市","17314.11","519.79","3.10%","03/11"
"摩洛哥","22980.19","0.00","0.00%","03/11"
"約旦指數","2607.96","-0.38","-0.01%","03/11"
"杜拜指數","1515.69","-2.89","-0.19%","03/11"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","6930.40","3.91","0.06%","03/11"
"那斯達克","1371.64","13.36","0.98%","03/11"
"羅素兩千","366.30","-1.45","-0.39%","03/11"
"S&P 五百","721.36","1.76","0.24%","03/11"
"費城金銀","115.94","5.97","5.43%","03/11"
"DJ貴金屬","233.61","11.86","5.35%","17:23"
"CBOE黃金","140.38","7.37","5.54%","03/11"
"AMEX金蟲","271.84","12.33","4.75%","03/11"
"AMEX能源","405.16","-3.58","-0.88%","03/11"
"NYSE能源","7962.27","-59.19","-0.74%","03/11"
"費城油業","115.46","-2.30","-1.95%","03/11"
"AMEX石油","819.62","-4.11","-0.50%","03/11"
"費城半導","210.02","4.18","2.03%","03/11"
"NSDQ金融","1392.08","11.24","0.81%","03/11"
"NYSE金融","2428.83","18.98","0.79%","03/11"
"NBI生技","619.56","-12.18","-1.93%","03/11"
"AMEX生技","555.97","-9.17","-1.62%","03/11"
"費城藥物","130.95","-2.41","-1.81%","03/11"
"加拿大","8011.02","130.61","1.66%","03/11"
"巴西指數","38804.80","10.25","0.03%","03/11"
"墨西哥","17790.69","247.17","1.41%","15:05"
"阿根廷","1004.33","0.15","0.01%","03/11"
"智利","2428.41","-11.53","-0.47%","03/11"
"秘魯","7094.88","-43.57","-0.61%","03/11"
"哥倫比亞","7735.41","-40.02","-0.51%","03/11"
"委內瑞拉","37685.46","197.55","0.53%","03/11"
"百慕達","2566.80","-8.74","-0.34%","03/11"
"牙買加","81771.88","219.39","0.27%","03/11"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","2298.00","36.00","1.59%","03/10"
"波海海峽航運","2807.00","-24.00","-0.85%","03/10"
"波海巴拿馬航","2417.00","101.00","4.36%","03/10"
"VIX波動率","43.61","-0.76","-1.71%","16:15"
"VXD道瓊波動","39.19","-0.21","-0.53%","16:30"
"VXN納指波動","42.81","-1.02","-2.33%","16:15"
"道瓊歐洲","1932.79","13.26","0.69%","20:00"
"道瓊交通運輸","2346.80","45.06","1.96%","16:30"
"道瓊公用事業","295.55","-2.37","-0.80%","16:30"
"全球公用事業","4079.07","-28.00","-0.68%","16:20"
"ISE水指數","48.02","0.27","0.56%","17:00"
"道瓊水指數","545.94","-14.50","-2.59%","17:22"
"純淨科技","623.13","10.31","1.68%","16:48"
"WH創新能源","112.45","1.85","1.67%","16:41"
"WH乾淨能源","65.02","0.45","0.70%","16:41"
"全球乾淨能源","917.32","-4.27","-0.46%","17:13"
"ISE替代能源","16.68","-0.06","-0.36%","17:00"
"全球替代能源","1176.43","9.10","0.78%","17:25"
"ET50環境科技","102.68","1.11","1.09%","21:20"
"生物能源","212.57","3.66","1.75%","17:25"
"環境服務","527.44","3.26","0.62%","16:41"
"Clvrt社會責任","42.69","0.44","1.04%","17:23"
"ISE邪惡指數","52.32","0.17","0.33%","17:00"
