"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","4538.98","22.48","0.50%","04/24"
"澳洲股市","5084.17","81.54","1.63%","17:55"
"日經225","13843.46","313.81","2.32%","04/24"
"東證一部","1164.35","20.57","1.80%","04/24"
"東證二部","3270.59","20.76","0.64%","04/24"
"JASDAQ","90.52","2.10","2.38%","04/24"
"韓國股市","1935.31","16.68","0.87%","18:03"
"台灣加權","8023.71","80.94","1.02%","04/24"
"台灣店頭","114.54","0.72","0.63%","04/24"
"上海綜合","2218.32","33.78","1.55%","04/24"
"上海A股","2321.73","35.37","1.55%","04/24"
"上海B股","262.32","3.68","1.42%","15:15"
"深圳A股","984.25","21.33","2.22%","15:00"
"深圳B股","824.70","10.93","1.34%","15:00"
"滬深300","2495.58","46.11","1.88%","04/24"
"深證成指","8911.65","118.52","1.35%","04/24"
"香港恆生","22183.05","376.44","1.73%","04/24"
"香港國企","10634.37","209.28","2.01%","04/24"
"香港紅籌","4376.38","71.12","1.65%","16:01"
"新加坡","3322.71","38.36","1.17%","17:10"
"海峽中國","245.52","1.37","0.56%","17:10"
"越南股市","472.89","-0.80","-0.17%","04/24"
"泰國股市","1553.85","4.50","0.29%","17:07"
"菲律賓","6972.69","-9.67","-0.14%","04/24"
"馬來西亞","1707.35","6.96","0.41%","04/24"
"印尼股市","5011.61","36.28","0.73%","16:11"
"印度股市","19179.36","9.52","0.05%","04/23"
"巴基斯坦","13301.59","95.52","0.72%","15:59"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1375.40","41.51","3.11%","04/24"
"英國股市","6431.76","25.64","0.40%","04/24"
"法國股市","3842.94","59.89","1.58%","04/24"
"德國股市","7759.03","100.82","1.32%","04/24"
"土耳其","84780.38","757.02","0.90%","04/24"
"匈牙利","17880.56","64.87","0.36%","04/24"
"奧地利","2413.03","20.94","0.88%","04/24"
"波蘭股市","43356.73","197.16","0.46%","04/24"
"捷克股市","966.15","7.47","0.78%","04/24"
"瑞典股市","1176.91","4.12","0.35%","04/24"
"芬蘭股市","6020.18","50.30","0.84%","04/24"
"挪威股市","438.79","3.51","0.81%","16:44"
"希臘股市","950.84","8.66","0.92%","04/24"
"義大利","17580.15","94.17","0.54%","04/24"
"比利時","2657.60","16.59","0.63%","04/24"
"盧森堡","1189.14","13.95","1.19%","04/24"
"荷蘭股市","352.94","3.79","1.09%","04/24"
"冰島股市","771.35","0.45","0.06%","04/24"
"丹麥股市","536.14","5.58","1.05%","04/24"
"瑞士股市","7859.63","57.15","0.73%","04/24"
"西班牙","846.41","9.67","1.16%","04/24"
