"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","4416.96","23.36","0.53%","06/27"
"澳洲股市","4784.83","77.00","1.64%","17:59"
"日經225","13213.55","379.54","2.96%","06/27"
"東證一部","1098.83","29.55","2.76%","06/27"
"東證二部","2931.71","13.75","0.47%","06/27"
"JASDAQ","83.96","0.47","0.56%","06/27"
"韓國股市","1834.70","51.25","2.87%","18:03"
"台灣加權","7883.90","99.10","1.27%","06/27"
"台灣店頭","116.43","1.53","1.33%","06/27"
"上海綜合","1950.01","-1.48","-0.08%","06/27"
"上海A股","2040.67","-1.45","-0.07%","06/27"
"上海B股","235.86","-2.30","-0.96%","15:15"
"深圳A股","925.14","-15.67","-1.66%","15:00"
"深圳B股","761.15","2.60","0.34%","15:00"
"滬深300","2160.74","-7.56","-0.35%","06/27"
"深證成指","7544.33","-22.07","-0.29%","06/27"
"香港恆生","20440.08","101.53","0.50%","06/27"
"香港國企","9158.61","-6.03","-0.07%","06/27"
"香港紅籌","3925.36","53.70","1.39%","16:01"
"新加坡","3118.03","13.63","0.44%","17:10"
"海峽中國","224.14","1.56","0.70%","17:10"
"越南股市","482.95","9.42","1.99%","06/27"
"泰國股市","1446.45","22.07","1.55%","17:07"
"菲律賓","6328.00","209.06","3.42%","06/27"
"馬來西亞","1751.57","10.81","0.62%","06/27"
"印尼股市","4675.75","88.02","1.92%","16:05"
"印度股市","18875.95","323.83","1.75%","16:00"
"巴基斯坦","14931.86","-16.91","-0.11%","15:59"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1262.77","1.64","0.13%","06/27"
"英國股市","6243.40","77.92","1.26%","06/27"
"法國股市","3762.19","36.15","0.97%","06/27"
"德國股市","7990.75","49.76","0.63%","06/27"
"土耳其","75761.56","1910.03","2.59%","06/27"
"匈牙利","18633.55","67.90","0.37%","06/27"
"奧地利","2243.83","16.31","0.73%","06/27"
"波蘭股市","43667.37","-1226.62","-2.73%","06/27"
"捷克股市","871.97","10.19","1.18%","06/27"
"瑞典股市","1161.00","16.22","1.42%","06/27"
"芬蘭股市","5940.43","31.68","0.54%","06/27"
"挪威股市","432.98","-0.61","-0.14%","16:55"
"希臘股市","826.81","-9.77","-1.17%","06/27"
"義大利","16431.89","84.58","0.52%","06/27"
"比利時","2545.88","13.16","0.52%","06/27"
"盧森堡","1137.31","12.36","1.10%","06/27"
"荷蘭股市","344.75","3.93","1.15%","06/27"
"冰島股市","731.49","-3.95","-0.54%","06/27"
"丹麥股市","518.67","7.87","1.54%","06/27"
"瑞士股市","7671.70","117.81","1.56%","06/27"
"西班牙","789.67","1.17","0.15%","06/27"
"葡萄牙","2422.75","-0.23","-0.01%","06/27"
"愛爾蘭","3957.89","31.15","0.79%","06/27"
"以色列","1189.67","-4.00","-0.34%","06/27"
"埃及股市","481.670","5.41","1.14%","14:30"
"南非股市","34655.32","77.35","0.22%","06/27"
"約旦股市","1986.11","-1.08","-0.05%","06/27"
"杜拜股市","2222.46","8.25","0.37%","06/27"
"阿布達比","3540.47","33.57","0.96%","06/27"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","15024.49","114.35","0.77%","06/27"
"那斯達克","3401.86","25.64","0.76%","17:16"
"羅素兩千","979.92","16.09","1.67%","19:56"
"S&P 五百","1613.20","9.94","0.62%","06/27"
"費城金銀","84.35","2.00","2.43%","17:16"
"道瓊貴金屬","182.59","3.51","1.97%","17:44"
"CBOE黃金","92.52","2.64","2.94%","16:49"
"AMEX金蟲","211.52","4.64","2.25%","19:56"
"AMEX能源","789.39","1.26","0.16%","16:15"
"NYSE能源","12863.16","54.39","0.42%","19:57"
"費城油業","253.42","1.28","0.51%","17:16"
"AMEX石油","1335.34","5.24","0.39%","19:51"
"費城半導","466.74","1.80","0.39%","17:16"
"NSDQ金融","2693.06","34.37","1.29%","17:16"
"NYSE金融","5683.69","61.16","1.09%","19:56"
"NBI生技","1819.53","13.70","0.76%","17:16"
"AMEX生技","1965.54","23.20","1.19%","19:57"
"費城藥物","260.84","0.35","0.14%","17:16"
"加拿大","12005.78","53.88","0.45%","18:05"
"巴西股市","47609.46","437.48","0.93%","06/27"
"墨西哥","39650.75","845.48","2.18%","06/27"
"阿根廷","2941.08","-25.43","-0.86%","06/27"
"智利股市","3961.88","58.57","1.50%","06/27"
"秘魯股市","15166.67","32.42","0.21%","06/27"
"哥倫比亞","12543.98","-0.53","0.00%","06/27"
"委內瑞拉","1090042.00","55887.94","5.40%","06/27"
"百慕達","1151.26","0.35","0.03%","06/20"
"牙買加","87085.87","-50.04","-0.06%","06/27"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","1151.00","26.00","2.31%","06/27"
"波海海峽航運","2120.00","59.00","2.86%","12:01"
"波海巴拿馬航","994.00","18.00","1.84%","14:15"
