"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","16381.54","579.74","3.67","9/19"
"東證一部","1567.58","56.63","3.75","9/19"
"東證二部","3536.77","36.14","1.03","9/19"
"JASDAQ","70.36","0.54","0.77","9/19"
"上海綜合","5395.27","-29.94","-0.55","09/19"
"上海A股","5662.53","-31.78","-0.56","09/19"
"上海B股","359.63","1.12","0.31","09/19"
"香港恆生","25554.64","977.79","3.98","09/19"
"香港國企","15255.49","521.87","3.54","09/19"
"香港紅籌","5209.20","255.44","5.16","09/19"
"台灣加權","8926.38","26.47","0.30","13:46"
"台灣店頭","186.66","-5.57","-2.90","13:46"
"韓國指數","1902.65","64.04","3.48","18:03"
"新加坡","3594.36","116.61","3.35","17:05"
"馬來西亞","1297.16","19.83","1.55","17:00"
"菲律賓","3362.98","73.23","2.23","12:11"
"印尼股市","2313.34","73.48","3.28","17:09"
"越南股市","946.22","11.05","1.18","11:17"
"泰國股市","811.79","9.25","1.15","17:01"
"印度股市","16322.75","653.63","4.17","16:28"
"斯里蘭卡","2588.62","-18.29","-0.70","14:23"
"澳洲股市","6362.00","154.00","2.48","17:47"
"紐西蘭","4177.64","54.12","1.31","14:31"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2015.36","76.84","3.96","09/19"
"英國指數","6460.00","176.70","2.81","09/19"
"法國指數","5730.82","181.47","3.27","09/19"
"德國指數","7750.84","175.63","2.32","09/19"
"道瓊歐洲","4389.33","124.91","2.93","09/19"
"土耳其","53884.08","3383.15","6.70","09/19"
"匈牙利","27382.17","545.20","2.03","09/19"
"奧地利","4622.00","164.95","3.70","09/19"
"波蘭股市","62572.56","1993.54","3.29","09/19"
"捷克股市","1780.70","29.90","1.71","09/19"
"盧森堡","2451.43","73.07","3.07","09/19"
"義大利","31172.00","640.00","2.10","16:43"
"西班牙","1590.99","46.19","2.99","09/19"
"瑞士股市","9006.76","230.82","2.63","09/19"
"瑞典股市","1221.77","42.80","3.63","09/19"
"芬蘭股市","12105.17","459.83","3.95","09/19"
"挪威股市","421.94","13.19","3.23","09/19"
"以色列","1093.06","24.49","2.29","09/19"
"埃及股市","75918.68","789.37","1.05","09/19"
"南非股市","27116.04","1049.03","4.02","09/19"
"摩洛哥","25731.11","-260.96","-1.00","09/19"
"約旦指數","5585.58","-31.36","-0.56","09/19"
"杜拜指數","4244.04","53.27","1.27","09/19"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13815.56","76.17","0.55","16:30"
"NASDAQ","2666.48","14.82","0.56","17:16"
"羅素2000","817.40","10.77","1.33","17:00"
"S&P 500","1529.03","9.25","0.61","16:59"
"DJ貴金屬","343.12","3.63","1.07","17:31"
"CBOE黃金","168.05","2.73","1.65","16:49"
"AMEX金蟲","383.63","5.28","1.40","16:49"
"費城金銀","166.15","1.37","0.83","09/19"
"費城油業","293.10","4.59","1.59","09/19"
"AMEX石油","1454.42","5.03","0.35","16:49"
"NYSE能源","14642.25","68.14","0.47","17:05"
"AMEX能源","753.81","5.86","0.78","16:49"
"費城半導","498.74","0.68","0.14","09/19"
"NSDQ金融","3107.58","24.32","0.79","17:16"
"NYSE金融","9295.54","69.40","0.75","17:05"
"NBI生技","847.90","2.38","0.28","17:16"
"AMEX生技","819.28","0.33","0.04","16:49"
"費城藥物","208.17","1.65","0.80","09/19"
"加拿大","13939.78","-65.62","-0.47","09/19"
"巴西指數","57264.22","597.92","1.05","09/19"
"墨西哥","30512.64","-90.78","-0.30","09/19"
"阿根廷","2116.49","26.23","1.25","09/19"
"智利","3167.87","34.31","1.09","09/14"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"DJ交通運輸","4905.56","-27.30","-0.55","16:30"
"DJ建商","407.93","-2.29","-0.56","16:01"
"S&P建商","484.02","3.49","0.73","16:40"
"道瓊公用事業","511.50","6.63","1.31","16:30"
"歐洲公用事業","320.32","5.40","1.72","17:45"
"全球公用事業","7543.08","100.75","1.35","16:15"
"ISE水指數","89.42","0.66","0.74","16:44"
"道瓊水指數","809.86","-4.63","-0.57","16:02"
"NSDQ純淨優勢","526.74","2.48","0.47","16:44"
"純淨科技","1352.79","20.61","1.55","16:44"
"WH革新能源","266.79","4.62","1.76","16:44"
"WH乾淨能源","230.27","1.10","0.48","16:44"
"全球乾淨能源","3014.48","92.34","3.16","16:34"
"ISE替代能源","53.11","0.05","0.09","16:44"
"全球替代能源","3185.27","94.96","3.07","16:33"
