"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3414.92","-26.09","-0.76%","18:31"
"澳洲股市","4579.80","56.60","1.25%","17:38"
"日經225","9797.26","148.28","1.54%","15:28"
"東證一部","844.11","13.77","1.66%","15:00"
"東證二部","2327.40","12.23","0.53%","15:00"
"JASDAQ","51.97","0.58","1.13%","15:11"
"韓國股市","2094.42","31.51","1.53%","18:05"
"台灣加權","8573.38","94.52","1.11%","13:46"
"台灣店頭","133.39","0.75","0.57%","13:46"
"上海綜合","2728.48","-30.72","-1.11%","15:15"
"上海A股","2858.35","-32.16","-1.11%","15:15"
"上海B股","267.78","-3.36","-1.24%","15:15"
"深圳A股","1193.28","-12.75","-1.06%","15:00"
"深圳B股","716.19","-5.68","-0.79%","15:00"
"滬深300","3000.17","-41.56","-1.37%","15:01"
"深證成指","11913.20","-133.89","-1.11%","15:00"
"香港恆生","22061.20","-0.60","-0.00%","16:01"
"香港國企","12404.50","-82.27","-0.66%","16:01"
"香港紅籌","4132.10","30.33","0.74%","16:01"
"新加坡","3079.74","28.95","0.95%","17:10"
"海峽中國","287.72","0.52","0.18%","16:40"
"越南股市","434.60","2.29","0.53%","11:01"
"泰國股市","1033.26","19.76","1.95%","17:01"
"菲律賓","4249.35","-40.64","-0.95%","14:00"
"馬來西亞","1575.01","4.99","0.32%","16:05"
"印尼股市","3830.27","16.85","0.44%","06/28"
"印度股市","18693.90","201.41","1.09%","18:00"
"巴基斯坦","8616.54","42.03","0.49%","16:13"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1894.58","20.24","1.08%","06/29"
"英國股市","5855.95","89.07","1.54%","06/29"
"法國股市","3924.23","72.34","1.88%","06/29"
"德國股市","7294.14","123.71","1.73%","06/29"
"土耳其","63002.90","183.80","0.29%","06/29"
"匈牙利","22701.80","91.13","0.40%","06/29"
"奧地利","2724.81","62.48","2.35%","06/29"
"波蘭股市","48469.50","493.35","1.03%","06/29"
"捷克股市","1216.30","22.60","1.89%","06/29"
"瑞典股市","1100.03","27.67","2.58%","06/29"
"芬蘭股市","6583.29","220.90","3.47%","06/29"
"挪威股市","382.58","10.35","2.78%","06/29"
"希臘股市","1264.85","6.01","0.48%","06/29"
"義大利","20594.30","439.38","2.18%","06/29"
"盧森堡","1397.40","23.67","1.72%","06/29"
"荷蘭股市","335.28","5.38","1.63%","06/29"
"冰島股市","602.72","-1.44","-0.24%","06/29"
"丹麥股市","423.87","8.28","1.99%","06/29"
"瑞士股市","6101.55","99.15","1.65%","06/29"
"西班牙","1027.80","20.21","2.01%","06/29"
"葡萄牙","2693.62","59.68","2.27%","06/29"
"愛爾蘭","2942.05","30.00","1.03%","06/29"
"以色列","1229.18","4.37","0.36%","06/29"
"埃及股市","528.30","-10.65","-1.98%","06/29"
"南非股市","28428.70","426.70","1.52%","06/29"
"約旦股市","2086.47","-6.63","-0.32%","06/29"
"杜拜股市","1516.93","9.32","0.62%","06/29"
"阿布達比","2704.19","-7.11","-0.26%","06/29"

