"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3265.10","0.59","0.02%","17:31"
"澳洲股市","4676.80","0.40","0.01%","16:56"
"日經225","9988.05","51.01","0.51%","15:28"
"東證一部","866.07","5.13","0.60%","15:00"
"東證二部","2075.41","1.51","0.07%","15:00"
"JASDAQ","49.41","0.33","0.67%","15:11"
"韓國股市","1929.32","24.69","1.30%","18:03"
"台灣加權","8520.11","147.63","1.76%","13:46"
"台灣店頭","138.61","1.78","1.30%","13:46"
"上海綜合","2823.45","3.27","0.12%","15:15"
"上海A股","2956.84","3.52","0.12%","15:15"
"上海B股","296.89","-1.41","-0.47%","15:15"
"深圳A股","1365.59","-3.91","-0.29%","15:00"
"深圳B股","821.29","10.88","1.34%","15:00"
"滬深300","3136.02","-0.96","-0.03%","15:01"
"深證成指","12310.40","-25.90","-0.21%","15:00"
"香港恆生","23249.80","241.81","1.05%","16:01"
"香港國企","12949.80","132.26","1.03%","16:01"
"香港紅籌","4153.01","43.03","1.05%","16:01"
"新加坡","3181.94","37.24","1.18%","17:10"
"海峽中國","327.12","3.85","1.19%","16:40"
"越南股市","449.93","-1.66","-0.37%","11:02"
"泰國股市","1017.64","12.52","1.25%","16:59"
"菲律賓","4002.88","49.18","1.24%","14:00"
"馬來西亞","1485.42","0.19","0.01%","17:05"
"印尼股市","3619.09","87.88","2.49%","16:00"
"印度股市","19850.00","328.75","1.68%","15:59"
"巴基斯坦","7811.46","-6.64","-0.08%","15:47"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1633.71","36.36","2.28%","12/01"
"英國股市","5642.50","114.23","2.07%","12/01"
"法國股市","3669.29","58.85","1.63%","12/01"
"德國股市","6866.63","178.14","2.66%","12/01"
"土耳其","66156.20","805.34","1.23%","12/01"
"匈牙利","21291.80","652.20","3.16%","12/01"
"奧地利","2705.14","97.64","3.74%","17:35"
"波蘭股市","46145.30","784.27","1.73%","12/01"
"捷克股市","1148.50","41.30","3.73%","12/01"
"瑞典股市","1134.27","27.23","2.46%","12/01"
"芬蘭股市","7243.94","171.99","2.43%","12/01"
"挪威股市","373.61","12.36","3.42%","12/01"
"希臘股市","1474.35","54.68","3.85%","17:19"
"義大利","20251.20","468.54","2.37%","12/01"
"盧森堡","1456.29","35.06","2.47%","12/01"
"荷蘭股市","335.80","8.39","2.56%","12/01"
"冰島股市","577.80","1.63","0.28%","12/01"
"丹麥股市","434.07","9.30","2.19%","12/01"
"瑞士股市","6409.70","97.27","1.54%","12/01"
"西班牙","987.95","43.04","4.55%","12/01"
"葡萄牙","2667.46","75.62","2.92%","12/01"
"愛爾蘭","2694.62","48.62","1.84%","12/01"
"以色列","1255.21","8.76","0.70%","12/01"
"埃及股市","632.72","-1.95","-0.31%","12/01"
"南非股市","27354.90","510.40","1.90%","12/01"
"約旦股市","2345.21","-9.39","-0.40%","12/01"
"杜拜股市","1687.92","19.10","1.14%","12/01"
"阿布達比","2745.58","15.71","0.58%","12/01"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","11255.80","249.76","2.27%","12/01"
"那斯達克","2549.43","51.20","2.05%","12/01"
"羅素兩千","743.14","16.13","2.22%","16:49"
"S&P 五百","1206.07","25.52","2.16%","12/01"
"費城金銀","217.47","4.30","2.02%","12/01"
"DJ貴金屬","440.47","8.39","1.94%","16:05"
"CBOE黃金","247.31","3.38","1.39%","12/01"
"AMEX金蟲","557.08","7.08","1.29%","12/01"
"AMEX能源","644.92","18.43","2.94%","12/01"
"NYSE能源","11728.94","312.26","2.73%","16:14"
"費城油業","232.73","7.05","3.12%","12/01"
"AMEX石油","1125.47","31.61","2.89%","12/01"
"費城半導","403.07","12.95","3.32%","12/01"
"NSDQ金融","2054.56","51.19","2.56%","12/01"
"NYSE金融","4691.91","118.08","2.58%","12/01"
"NBI生技","920.16","12.62","1.39%","12/01"
"AMEX生技","1159.55","17.05","1.49%","12/01"
"費城藥物","174.80","2.85","1.66%","12/01"
"加拿大","13148.30","195.47","1.51%","12/01"
"巴西股市","69345.90","1640.45","2.42%","12/01"
"墨西哥","37277.60","460.24","1.25%","15:06"
"阿根廷","3367.15","105.66","3.24%","12/01"
"智利股市","4956.79","-0.17","-0.00%","12/01"
"秘魯股市","21366.20","511.72","2.45%","12/01"
"哥倫比亞","15081.80","146.20","0.98%","12/01"
"委內瑞拉","66220.50","113.86","0.17%","12/01"
"百慕達","1190.59","2.99","0.25%","11/30"
"牙買加","84217.70","-248.76","-0.29%","12/01"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","2099.00","-46.00","-2.15%","11/30"
"波海海峽航運","2910.00","-185.00","-5.98%","11/30"
"波海巴拿馬航","2377.00","21.00","0.89%","11/30"
"VIX波動率","21.36","-2.18","-9.26%","16:14"
"VXD道瓊波動","18.78","-2.21","-10.53%","16:28"
"VXN納指波動","23.09","-2.30","-9.06%","16:14"
"羅素大中華","2032.43","-8.13","-0.40%","11/30"
"道瓊歐洲","2721.87","70.88","2.67%","17:50"
"道瓊交通運輸","4971.57","115.79","2.38%","16:30"
"AMEX航空","49.67","0.86","1.76%","12/01"
"美國紙業","100.60","2.43","2.48%","12/01"
"道瓊公用事業","396.23","4.83","1.23%","16:30"
"全球公用事業","5165.43","74.60","1.47%","16:20"
"Dax奢侈品","108.85","1.65","1.54%","12/01"
"ISE水指數","82.00","0.76","0.94%","16:15"
"道瓊水指數","700.20","8.08","1.17%","16:05"
"純淨科技","1068.04","27.41","2.63%","16:44"
"WH創新能源","244.86","5.79","2.42%","16:44"
"WH乾淨能源","99.43","2.01","2.06%","16:44"
"全球乾淨能源","961.89","17.70","1.88%","16:14"
"ISE替代能源","26.66","0.00","0.00%","09/20"
"全球替代能源","1534.99","22.36","1.48%","16:13"
"ET50環境科技","145.06","2.40","1.68%","21:20"
"道瓊美國礦產","232.79","5.56","2.45%","16:06"
"道瓊世界原料","345.26","7.90","2.34%","16:16"
"FTSE金礦","3837.79","48.97","1.29%","16:30"
"HSBC礦業","682.49","1.31","0.19%","11/30"
"msci世界能源","228.17","5.56","2.50%","12/01"
