"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","當地"
"日經225","14251.74","133.19","0.94","close"
"東證一部","1392.87","19.83","1.44","close"
"東證二部","2970.23","25.90","0.88","close"
"JASDAQ","65.28","-0.05","-0.08","close"
"上海綜合","3637.32","-20.11","-0.55","close"
"上海A股","3816.50","-21.24","-0.55","close"
"上海B股","259.99","0.59","0.23","close"
"深圳A股","1191.00","-6.56","-0.55","close"
"深圳B股","559.48","4.26","0.77","close"
"滬深300","3948.09","-27.69","-0.70","close"
"香港恆生","25513.71","-19.77","-0.08","close"
"香港國企","14027.55","47.31","0.34","close"
"香港紅籌","5777.12","-19.34","-0.33","close"
"台灣加權","9157.18","138.76","1.54","close"
"台灣店頭","161.19","1.66","1.04","close"
"韓國指數","1885.71","41.96","2.28","18:03"
"越南股市","466.67","-8.83","-1.86","11:01"
"泰國股市","855.61","6.67","0.79","17:01"
"菲律賓","2878.26","15.73","0.55","12:11"
"馬來西亞","1294.15","6.41","0.50","17:00"
"印尼股市","2449.81","0.47","0.02","17:09"
"印度股市","17353.54","375.19","2.21","16:28"
"孟加拉","3052.61","32.86","1.09","20:52"
"巴基斯坦","10343.09","-70.22","-0.67","13:16"
"澳洲股市","5964.90","24.60","0.41","17:47"
"紐西蘭","3614.23","-14.32","-0.39","14:31"
"新加坡","3207.43","8.92","0.28","17:10"
"龍籌股","163.27","1.38","0.85","05/15"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2411.95","5.90","0.25","05/15"
"英國指數","6251.80","35.80","0.58","05/15"
"法國指數","5057.51","2.27","0.04","05/15"
"德國指數","7081.05","-2.19","-0.03","05/15"
"土耳其","42624.17","101.43","0.24","05/15"
"匈牙利","23230.94","-276.92","-1.18","05/15"
"奧地利","4410.70","7.99","0.18","05/15"
"波蘭股市","47760.75","-560.60","-1.16","05/15"
"捷克股市","1668.40","13.20","0.80","05/15"
"瑞典股市","1018.13","5.27","0.52","05/15"
"芬蘭股市","9743.05","-73.32","-0.75","05/15"
"挪威股市","442.81","9.65","2.23","05/15"
"希臘指數","4252.51","-24.05","-0.56","05/15"
"義大利","26147.00","-8.00","-0.03","05/15"
"盧森堡","2334.59","-30.02","-1.27","05/15"
"荷蘭","489.90","1.51","0.31","05/15"
"冰島","4797.70","-31.99","-0.66","05/15"
"丹麥","457.66","13.25","2.98","05/15"
"瑞士股市","7683.43","88.82","1.17","05/15"
"西班牙","1520.02","-2.29","-0.15","05/15"
"葡萄牙","3608.43","-29.87","-0.82","05/15"
"愛爾蘭","6424.17","31.67","0.50","05/15"
"以色列","1099.03","-1.38","-0.13","05/15"
"埃及股市","88102.07","-3963.35","-4.30","05/15"
"南非股市","30665.72","262.73","0.86","05/15"
"摩洛哥","30120.69","-77.66","-0.26","05/15"
"約旦指數","9269.39","-62.67","-0.67","05/15"
"杜拜指數","5685.46","-1.31","-0.02","05/15"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12992.66","94.28","0.73","05/15"
"NASDAQ","2533.73","37.03","1.48","05/15"
"羅素2000","743.38","7.31","0.99","05/15"
"S&P 500","1423.57","14.91","1.06","05/15"
"費城金銀","182.33","6.81","3.88","05/15"
"DJ貴金屬","374.07","14.35","3.99","17:18"
"CBOE黃金","188.99","6.57","3.60","05/15"
"AMEX金蟲","422.66","15.65","3.85","05/15"
"AMEX能源","862.50","15.38","1.82","05/15"
"NYSE能源","16380.43","248.73","1.54","05/15"
"費城油業","336.34","9.34","2.86","05/15"
"AMEX石油","1557.20","25.54","1.67","05/15"
"費城半導","419.72","8.43","2.05","05/15"
"NSDQ金融","2718.99","28.10","1.04","05/15"
"NYSE金融","7729.61","100.17","1.31","05/15"
"NBI生技","801.50","2.72","0.34","05/15"
"AMEX生技","753.59","5.06","0.68","05/15"
"費城藥物","181.57","1.39","0.77","05/15"
"加拿大","14828.06","201.75","1.38","05/15"
"巴西指數","71492.36","1465.74","2.09","05/15"
"墨西哥","31542.97","206.40","0.66","05/15"
"阿根廷","2122.12","33.34","1.60","05/15"
"智利","2918.57","9.26","0.32","05/15"
"秘魯","17724.27","199.27","1.14","05/14"
"哥倫比亞","10165.81","-45.11","-0.44","05/15"
"委內瑞拉","36268.71","-138.52","-0.38","05/15"
"百慕達","4971.08","-36.30","-0.72","05/15"
"牙買加","111451.05","-828.32","-0.74","05/15"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","10649.00","295.00","2.85","05/14"
"波海海峽航運","16357.00","588.00","3.73","05/14"
"波海巴拿馬航運","9949.00","239.00","2.46","05/14"
"VIX波動率","16.30","-1.36","-7.70","16:14"
"道瓊歐洲","3854.86","-2.60","-0.07","19:00"
"DJ交通運輸","5400.28","52.87","0.99","16:30"
"道瓊公用事業","512.94","-1.02","-0.20","16:30"
"歐洲公用事業","339.10","0.08","0.02","17:45"
"全球公用事業","7752.23","-2.02","-0.03","16:15"
"ISE水指數","91.88","0.59","0.65","17:00"
"道瓊水指數","560.95","-4.30","-0.76","17:17"
"純淨科技","1538.88","23.83","1.57","16:43"
"WH創新能源","270.37","3.86","1.45","16:43"
"WH乾淨能源","236.51","4.51","1.94","16:43"
"全球乾淨能源","3503.95","20.52","0.59","17:00"
"ISE替代能源","56.12","0.24","0.43","17:00"
"全球替代能源","3791.81","26.01","0.69","17:19"
"ET50環境科技","264.83","2.06","0.78","21:15"
"生物能源","513.79","14.36","2.88","17:20"
"AMEX環境服務","1069.64","11.25","1.06","16:43"
"歐洲環境控制","174.21","1.13","0.65","17:45"
"美國環境控制","109.72","0.73","0.67","16:15"
"Clvrt社會責任","83.58","1.03","1.25","17:18"
"ISE邪惡指數","115.38","0.99","0.86","17:00"
"DJ美國礦產","282.43","12.70","4.71","17:17"
"DJ世界基本原料","417.88","7.29","1.77","17:17"
"MSCI世界能源","318.76","-1.04","-0.33","00:00"
"MSCI世界原料","327.24","4.37","1.35","00:00"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"Dax全球農金","642.40","8.14","1.28","20:53"
"Rogers商品","5268.77","4.58","0.09","14:30"
"Rogers能源","1761.15","-18.57","-1.04","5/14"
"Rogers金屬","2467.22","-26.07","-1.05","5/14"
"Rogers農產","1383.02","-17.74","-1.27","5/14"
"日本不動產","2969.71","-8.88","-0.30","05:48"
