"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","16122.16","-134.84","-0.83","9/7"
"東證一部","1557.02","-11.50","-0.73","9/7"
"東證二部","3701.37","-2.94","-0.08","9/7"
"JASDAQ","73.22","-0.05","-0.07","9/7"
"上海綜合","5277.18","-116.48","-2.16","09/07"
"上海A股","5540.72","-123.24","-2.18","09/07"
"上海B股","332.89","0.97","0.29","09/07"
"香港恆生","23982.61","-67.79","-0.28","09/07"
"香港國企","14489.40","66.27","0.46","09/07"
"香港紅籌","4747.60","-60.63","-1.26","09/07"
"台灣加權","9018.08","1.00","0.01","13:46"
"台灣店頭","196.71","1.71","0.88","13:46"
"韓國指數","1884.90","-3.91","-0.21","18:03"
"新加坡","3488.97","22.91","0.66","17:05"
"馬來西亞","1304.90","6.05","0.47","17:00"
"菲律賓","3332.97","6.44","0.19","12:11"
"印尼股市","2239.90","19.12","0.86","17:09"
"越南股市","934.13","5.77","0.62","10:57"
"泰國股市","801.46","-8.36","-1.03","17:01"
"印度股市","15590.42","-25.89","-0.17","16:28"
"斯里蘭卡","2546.69","14.76","0.58","14:20"
"澳洲股市","6296.50","31.20","0.50","17:47"
"紐西蘭","4151.98","11.88","0.29","14:31"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","1898.19","-22.69","-1.18","09/07"
"英國指數","6191.20","-122.10","-1.93","09/07"
"法國指數","5430.10","-146.52","-2.63","09/07"
"德國指數","7436.63","-185.09","-2.43","09/07"
"道瓊歐洲","4162.42","-93.70","-2.20","09/07"
"土耳其","49050.42","-550.97","-1.11","09/07"
"匈牙利","26593.72","-565.17","-2.08","09/07"
"奧地利","4487.09","-80.82","-1.77","09/07"
"波蘭股市","59197.36","-723.49","-1.21","09/07"
"捷克股市","1762.40","-13.80","-0.78","09/07"
"盧森堡","2370.22","-14.11","-0.59","09/07"
"義大利","30193.00","-637.00","-2.07","16:43"
"西班牙","1534.06","-33.67","-2.15","09/07"
"瑞士股市","8676.13","-153.97","-1.74","09/07"
"瑞典股市","1159.95","-30.72","-2.58","09/07"
"芬蘭股市","11572.81","-172.22","-1.47","09/07"
"挪威股市","402.43","-6.35","-1.55","09/07"
"以色列","1052.22","-15.28","-1.43","09/06"
"埃及股市","72645.26","467.90","0.65","09/06"
"南非股市","25620.47","-548.72","-2.10","09/07"
"摩洛哥","26455.04","83.43","0.32","09/07"
"約旦指數","5574.61","2.67","0.05","09/06"
"杜拜指數","4244.89","-20.48","-0.48","09/06"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13113.38","-249.97","-1.87","16:30"
"NASDAQ","2565.70","-48.62","-1.86","17:16"
"羅素2000","775.79","-17.13","-2.16","16:59"
"S&P 500","1453.55","-25.00","-1.69","16:59"
"DJ貴金屬","311.41","0.49","0.16","17:31"
"CBOE黃金","153.57","-0.83","-0.54","16:49"
"AMEX金蟲","358.13","0.86","0.24","16:45"
"費城金銀","151.53","-0.26","-0.17","09/07"
"費城油業","280.44","-3.04","-1.07","09/07"
"AMEX石油","1378.92","-20.63","-1.47","16:45"
"NYSE能源","13767.14","-178.14","-1.28","17:05"
"AMEX能源","705.51","-10.53","-1.47","16:45"
"費城半導","492.95","-12.66","-2.50","09/07"
"NSDQ金融","2903.74","-53.26","-1.80","17:16"
"NYSE金融","8802.96","-134.75","-1.51","17:05"
"NBI生技","827.59","-9.21","-1.10","17:16"
"AMEX生技","790.49","-10.62","-1.33","16:45"
"費城藥物","200.88","-2.61","-1.28","09/07"
"加拿大","13651.21","-144.48","-1.05","09/07"
"巴西指數","54569.00","161.17","0.30","09/06"
"墨西哥","30252.77","-564.18","-1.83","09/07"
"阿根廷","2041.04","-37.89","-1.82","09/07"
"智利","3200.85","-64.77","-1.98","18:31"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"DJ交通運輸","4732.93","-100.80","-2.08","16:30"
"DJ建商","382.15","-14.13","-3.57","16:07"
"S&P建商","452.77","-15.64","-3.34","16:40"
"道瓊公用事業","485.23","-8.52","-1.73","16:30"
"歐洲公用事業","304.03","-2.49","-0.81","17:45"
"全球公用事業","7158.69","-70.68","-0.98","16:15"
"ISE水指數","84.56","-1.76","-2.04","16:44"
"道瓊水指數","786.72","-21.82","-2.70","16:02"
"NSDQ純淨優勢","510.25","-14.70","-2.80","16:44"
"純淨科技","1280.24","-30.77","-2.35","16:44"
"WH革新能源","256.43","-6.09","-2.32","16:44"
"WH乾淨能源","220.49","-6.31","-2.78","16:44"
"全球乾淨能源","2858.76","-69.34","-2.37","16:34"
"ISE替代能源","52.12","-1.44","-2.69","16:44"
"全球替代能源","3047.82","-62.03","-2.00","16:33"
"生物能源","606.45","-12.08","-1.95","16:33"
