"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","7427.277","16.98","0.23%","18:51"
"澳洲股市","5631.40","-22.20","-0.39%","17:38"
"日經225","16555.95","-41.35","-0.25%","15:15"
"東證一部","1304.27","-2.44","-0.19%","15:00"
"東證二部","4313.93","20.38","0.47%","15:00"
"JASDAQ","110.99","-0.07","-0.06%","11:07"
"韓國股市","2042.92","-0.84","-0.04%","18:03"
"台灣加權","9115.47","98.09","1.09%","13:49"
"台灣店頭","130.39","0.62","0.48%","13:49"
"上海綜合","3068.329","-17.55","-0.57%","15:29"
"上海A股","3212.09","-18.42","-0.57%","15:29"
"上海B股","353.512","-0.43","-0.12%","15:29"
"深圳A股","2123.89","6.53","0.31%","15:00"
"深圳B股","1164.228","1.02","0.09%","15:00"
"滬深300","3308.97","-20.89","-0.63%","15:01"
"深證成指","10679.15","-81.29","-0.76%","15:00"
"中小板指","6925.74","-43.32","-0.62%","15:00"
"創業板指","2180.66","-11.51","-0.53%","15:00"
"香港恆生","22814.95","-5.83","-0.03%","18:15"
"香港國企","9504.78","-2.31","-0.02%","18:15"
"香港紅籌","3882.03","-17.38","-0.45%","08/25"
"香港創業板","375.05","-2.82","-0.75%","16:15"
"蒙古股市","12152.19","1.10","0.01%","13:47"
"新加坡","2876.93","7.36","0.26%","17:10"
"越南股市","658.5","-2.27","-0.34%","15:01"
"泰國股市","1544.1","-3.45","-0.22%","17:08"
"菲律賓","7854.54","-11.59","-0.15%","15:20"
"馬來西亞","1680.3","-1.76","-0.10%","17:05"
"印尼股市","5454.117","50.12","0.93%","16:00"
"印度股市","27835.91","-224.03","-0.80%","16:11"
"巴基斯坦","26659.63","120.51","0.45%","14:36"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","967.45","9.41","0.98%","18:40"
"英國股市","6816.9","-18.88","-0.28%","16:35"
"法國股市","4406.61","-28.86","-0.65%","06:05"
"德國股市","10529.59","-93.38","-0.88%","06:30"
"土耳其","76789.88","673.57","0.88%","17:40"
"匈牙利","27779.62","-169.65","-0.61%","17:25"
"烏克蘭","687.95","-4.38","-0.63%","17:05"
"奧地利","2294.3","-13.80","-0.60%","17:45"
"波蘭股市","47464.07","-14.76","-0.03%","17:15"
"捷克股市","855.79","-2.27","-0.26%","16:45"
"瑞典股市","1405.081","-7.86","-0.56%","17:35"
"芬蘭股市","8400.359","-58.06","-0.69%","18:35"
"挪威股市","548.19","-2.38","-0.43%","16:46"
"希臘股市","565.83","-2.11","-0.37%","17:19"
"義大利","18343.96","-186.16","-1.00%","17:35"
"比利時","3534.84","-19.89","-0.56%","06:05"
"盧森堡","1555.315","-4.00","-0.26%","17:35"
"荷蘭股市","449.94","-2.23","-0.49%","06:05"
"冰島股市","1244.73","-11.49","-0.91%","16:35"
"丹麥股市","937.72","-6.02","-0.64%","17:05"
"瑞士股市","8141.28","-58.55","-0.71%","17:30"
"西班牙","866.54","-5.04","-0.58%","17:38"
"葡萄牙","2499.18","-9.83","-0.39%","05:05"
"愛爾蘭","6118","-10.95","-0.18%","05:00"
"以色列","1451.43","-16.45","-1.12%","14:56"
"埃及股市","667.120","-2.87","-0.43%","19:57"
"南非股市","46759.58","-98.99","-0.21%","17:00"
"約旦股市","2085.63","-3.50","-0.17%","15:00"
"杜拜股市","3492.22","11.76","0.34%","14:00"
"阿布達比","4519.83","6.67","0.15%","14:00"
"奈及利亞","27379.95","-500.51","-1.80%","15:30"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","18448.41","-33.07","-0.18%","16:15"
"NASDAQ","5212.203","-5.49","-0.11%","17:16"
"NYSE綜合","10784.37","-6.81","-0.06%","17:51"
"S&P 500","2172.47","-2.97","-0.14%","16:45"
"羅素3000","1285.33","-0.98","-0.08%","16:30"
"羅素3000成長","853.58","-1.66","-0.19%","16:30"
"羅素3000價值","1372.19","0.59","0.04%","16:30"
"羅素1000","1203.909","-1.21","-0.10%","16:30"
"羅素2000","1240.005","2.75","0.22%","16:30"
"費城金銀","96.51","1.17","1.23%","08/25"
"AMEX金蟲","239.66","2.43","1.02%","08/25"
"道瓊貴金屬","207.34","2.03","0.99%","08/25"
"AMEX能源","695.51","-1.92","-0.28%","08/25"
"NYSE能源","10636.87","-24.86","-0.23%","16:15"
"費城油業","162.01","0.13","0.08%","08/25"
"AMEX石油","1144.19","0.51","0.04%","08/25"
"費城半導體","797.47","3.13","0.39%","08/25"
"NBI生技","2961.78","-32.28","-1.08%","08/25"
"AMEX生技","3268.36","-38.25","-1.16%","08/25"
"加拿大","14630.72","4.48","0.03%","16:40"
"巴西股市","57722.14","4.26","0.01%","17:21"
"墨西哥","47734.2","-9.41","-0.02%","15:06"
"阿根廷","15900.77","85.65","0.54%","17:00"
"智利股市","4153.02","-6.84","-0.16%","17:30"
"委內瑞拉","11975.02","60.65","0.51%","13:00"
"哥倫比亞","1370.82","1.17","0.09%","15:00"
"百慕達","1276.3","2.22","0.17%","15:59"
"牙買加","157312","-1116","-0.70%","13:59"
"秘魯股市","13366.86","129.20","0.98%","04/30"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波羅的海乾散貨","683.00","1.00","0.15%","08/19"
"波羅的海海岬型","843.00","-9.00","-1.06%","08/19"
"波羅的海巴拿馬","727.00","0.00","0.00%","08/19"
"波羅的海輕便型","686.00","9.00","1.33%","08/19"
"VIX波動率","13.63","0.18","1.34%","16:14"
"VXD道瓊波動","12.94","0.22","1.73%","08/25"
"VXN納指波動","15.36","0.10","0.66%","08/25"
"羅素大中華","1985.96","20.29","101.03%","18:31"
"道瓊歐洲","2987.69","-20.90","-0.69%","17:50"
"道瓊交通運輸","7868.03","-50.62","-0.64%","08/25"
"AMEX航空","88.67","0.14","0.16%","08/25"
"道瓊公用事業","681.51","-0.09","-0.01%","08/25"
"美國紙業","110.96","3.19","2.96%","08/25"
"美林科技100","745.84","2.46","0.33%","08/25"
"電腦科技","1809.12","1.06","0.06%","08/25"
"電腦碟片","83.42","0.57","0.69%","08/25"
"電腦硬體","584.81","2.98","0.51%","08/25"
"Dax奢侈品","183.03","0.21","0.11%","09:14"
"msci必需消費","214.71","-0.32","-0.15%","17:04"
"美元指數","94.68","-0.05","-0.05%","16:59"
"歐元指數","112.79","0.14","0.13%","08/25"
"英鎊指數","131.88","-0.46","-0.34%","08/25"
"日圓指數","99.46","-0.10","-0.10%","08/25"
"澳幣指數","76.18","0.02","0.03%","08/25"
"瑞郎指數","103.31","-0.11","-0.10%","08/25"
"30年債殖利率","22.64","0.21","0.94%","15:00"
"10年期票利率","15.77","0.18","1.15%","15:00"
"5年期票利率","11.57","0.14","1.22%","15:00"
"3月期票利率","3.05","0.00","0.00%","15:00"
"JP新興當地債","269.9580","-4.0690","-1.48%","08/24"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","186.2427","0.50","0.27%","16:07"
"高盛商品","221.19","0.99","0.45%","08/25"
"高盛綜合商品","204.21","0.32","0.16%","08/25"
"Rogers商品","2210.57","3.82","0.17%","08/25"
"CRB工業金屬","1203.28","-5.41","-0.45%","08/25"
"高盛貴金屬","182.74","-0.71","-0.38%","08/25"
"高盛基本金屬","148.88","-0.05","-0.04%","08/25"
"Rogers金屬","1882.17","-3.15","-0.17%","08/25"
"FTSE金礦","1793.09","0.00","0.00%","08/24"
"道瓊世界原料","247.13","-0.39","-0.16%","08/25"
"msci世界原料","192.99","-0.90","-0.46%","17:04"
"道瓊美國礦產","86.25","0.83","0.97%","08/25"
"CRB能源開採","838.35","12.12","1.47%","08/25"
"高盛能源","107.02","1.21","1.15%","08/25"
"天然氣","627.06","-0.93","-0.15%","08/25"
"Rogers能源","314.05","3.70","1.19%","08/25"
"msci世界能源","188.42","-1.51","-0.80%","17:04"
"WH乾淨能源","39.95","0.09","0.22%","16:02"
"生物能源","116.98","-0.83","-0.70%","08/25"
"全球替代能源","1353.69","-2.44","-0.18%","17:04"
"ET50環境科技","166.29","-0.28","-0.17%","08/25"
"純淨科技","1408.38","0.83","0.06%","08/25"
"WH創新能源","222.38","0.08","0.03%","08/25"
"ISE水指數","147.15","-1.20","-0.81%","17:09"
"道瓊水指數","1739.09","-0.81","-0.05%","08/25"
"CRB農業","4629.65","-17.06","-0.37%","08/25"
":Dax全球農金","400.26","","%",""
"Rogers農產","828.37","-7.33","-0.88%","08/25"
"高盛農產品","42.89","-0.29","-0.67%","08/25"
"高盛牲畜","164.58","-1.80","-1.08%","08/25"

"商品價格"
"商品","買價","漲跌","比例","台北"
"黃金","1321.94","-0.03","-0.00%","05:00"
"銀","18.5565","0.0069","0.04%","05:00"
"白金","1073.75","0.25","0.02%","05:00"
"鈀","688.15","-1.35","-0.20%","05:00"
"銅","2.0948","0.00","0.13%","01:59"
"鎳","4.4923","-0.00","-0.05%","01:59"
"鋁","0.7403","-0.00","-0.20%","01:59"
"鋅","1.0498","0.01","0.84%","01:59"
"鉛","0.8407","0.00","0.41%","01:59"
"鈾","26.00","0.00","0.00%","08/19"
"黃金期貨","1324.6","-5.1","-0.38%","04:59"
"銀期貨","18.489","-0.067","-0.36%","04:59"
"銅期貨","208.3","-0.2","-0.10%","04:59"
"天然氣期","2.846","0.05","1.79%","04:59"
"布蘭特油期","49.68","0.63","1.28%","05:37"
"紐約輕原油","47.33","0.56","1.20%","04:59"
"燃油期貨","150.94","1.31","0.88%","04:55"
"玉米期貨","332","-4.25","-1.26%","02:19"
"小麥期貨","423.75","-2.5","-0.59%","02:19"
"可可豆期","3028","11","0.36%","01:30"
"黃豆期貨","975.5","-29.75","-2.96%","02:19"
"黃豆油期貨","33.32","-0.67","-1.97%","02:19"
"咖啡C期","144.45","1.35","0.94%","01:29"
"十一號糖","20.55","0.33","1.63%","12:59"
"二號棉期","68.04","0.25","0.37%","02:19"
"活牛期貨","108.525","-0.375","-0.34%","02:04"
"瘦豬期貨","58.7","-1.625","-2.69%","02:04"

"全球匯率"
"貨幣","匯率","漲跌","比例","台北"
"歐元/美元","1.1284","-0.0001","-0.01","05:53"
"英鎊/美元","1.3188","-0.0004","-0.03","05:53"
"美元/瑞士法郎","0.9677","0","0.00","05:53"
"美元/瑞典克朗","8.4071","0.0007","0.01","05:53"
"美元/俄盧布","64.7166","-0.3261","-0.50","05:50"
"美元/匈牙利幣","274.08","-0.04","-0.01","05:53"
"美元/土耳其幣","2.9356","0.0008","0.03","05:53"
"美元/南非幣","14.2091","-0.0022","-0.02","05:53"
"美元/以色列幣","3.7592","-0.0054","-0.14","03:58"
"美元/日圓","100.55","0.02","0.02","05:53"
"美元/人民幣","6.6595","0.0005","0.01","23:29"
"美元/港幣","7.7552","0.0002","0.00","05:53"
"美元/台幣","31.677","-0.093","-0.29","15:59"
"美元/韓圜","1115.74","-6.26","-0.56","14:29"
"美元/泰銖","34.54","-0.021","-0.06","05:52"
