"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","17875.75","287.49","1.63","close"
"東證一部","1755.68","21.93","1.26","close"
"東證二部","4036.52","25.94","0.65","close"
"JASDAQ","80.78","0.12","0.15","close"
"上海綜合","4109.65","56.56","1.40","05/31"
"上海A股","4309.97","59.97","1.41","05/31"
"上海B股","301.62","-1.33","-0.44","05/31"
"香港恆生","20634.47","340.71","1.68","05/31"
"香港國企","10739.32","335.88","3.23","05/31"
"香港紅籌","3619.30","98.93","2.81","05/31"
"台灣指數","8144.95","-2.39","-0.03","13:46"
"韓國指數","1700.91","38.19","2.30","18:03"
"新加坡","3511.13","-15.95","-0.45","05/30"
"馬來西亞","1346.89","7.71","0.58","17:00"
"菲律賓","3474.67","76.12","2.24","12:11"
"印尼股市","2084.32","28.93","1.41","17:09"
"越南股市","1081.48","3.60","0.33","14:33"
"泰國股市","737.40","9.61","1.32","05/30"
"印度股市","14544.46","133.08","0.92","16:28"
"澳洲股市","6341.80","70.10","1.12","17:47"
"日本不動產","4436.29","108.32","2.50","15:44"
"東證REIT","2612.98","36.67","1.42","15:00"
"澳洲不動產","1979.52","78.69","4.14","19:14"
"新加坡不動產","1584.38","5.67","0.36","05/30"
"恆生地產","24825.30","336.12","1.37","17:01"
"亞洲REIT","199.16","2.03","1.03","16:30"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","1780.33","55.64","3.23","05/31"
"英國指數","6621.40","19.30","0.29","05/31"
"法國指數","6104.00","61.85","1.02","05/31"
"德國指數","7883.04","118.07","1.52","05/31"
"道瓊歐洲","4512.65","43.93","0.98","05/31"
"土耳其","47081.49","806.80","1.74","05/31"
"匈牙利","26706.18","724.25","2.79","05/31"
"奧地利","4885.38","61.58","1.28","05/31"
"波蘭股市","63566.15","1252.19","2.01","05/31"
"捷克股市","1833.20","13.00","0.71","05/31"
"愛沙尼亞","904.92","-2.95","-0.33","05/31"
"拉托維亞","666.36","3.11","0.47","05/31"
"立陶宛","492.22","2.22","0.45","05/31"
"盧森堡","2524.38","37.30","1.50","05/31"
"義大利","33724.00","185.00","0.55","16:43"
"西班牙","1690.28","19.57","1.17","05/31"
"瑞士股市","9450.85","68.08","0.73","05/31"
"瑞典股市","1276.32","15.05","1.19","05/31"
"芬蘭股市","11443.58","155.66","1.38","05/31"
"挪威股市","414.55","7.58","1.86","05/31"
"英國不動產","2900.65","62.62","2.21","21:53"
"歐陸不動產","3225.28","118.89","3.83","21:53"
"歐洲不動產","3900.56","124.37","3.29","21:53"
"以色列","1126.37","8.40","0.75","05/31"
"埃及股市","69472.88","429.08","0.62","05/31"
"南非股市","25701.40","198.84","0.78","05/31"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13627.64","-5.44","-0.04","16:30"
"NASDAQ","2604.52","11.93","0.46","17:16"
"羅素2000","847.18","3.83","0.45","17:00"
"S&P 500","1530.62","0.39","0.03","17:00"
"DJ貴金屬","279.94","7.05","2.58","17:30"
"CBOE黃金","144.08","4.87","3.50","16:49"
"AMEX金蟲","334.20","11.68","3.62","17:10"
"費城金銀","139.76","3.71","2.73","05/31"
"費城油業","251.11","-1.76","-0.70","05/31"
"AMEX石油","1367.86","-2.01","-0.15","17:10"
"NYSE能源","13338.02","-43.56","-0.33","17:06"
"AMEX能源","682.57","-4.64","-0.68","17:10"
"費城半導","488.26","6.84","1.42","05/31"
"NSDQ金融","3261.11","13.68","0.42","17:16"
"NYSE金融","9933.90","-4.59","-0.05","17:06"
"ISE水指數","82.78","0.58","0.71","17:00"
"道瓊水指數","744.16","0.66","0.09","17:22"
"道瓊權益REIT","323.07","-0.84","-0.26","16:49"
"NBI生技","835.21","3.60","0.43","17:16"
"AMEX生技","825.22","2.06","0.25","17:10"
"費城藥物","216.31","0.31","0.14","05/31"
"加拿大","14056.78","-24.93","-0.18","05/31"
"巴西指數","52268.46","-259.19","-0.49","05/31"
"墨西哥","31398.96","18.96","0.06","15:05"
"阿根廷","2243.03","20.81","0.94","05/31"
"智利","3279.53","18.66","0.57","18:31"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","時間"
"黃金","661.70","-0.40","-0.06","5:15"
"銀","13.48","+0.04","+0.30","5:10"
"白金","1287.00","-1.00","-0.08","4:11"
"鈀","374.00","-2.00","-0.54","4:44"
"銅","3.3868","+0.0000","+0.00","5:01"
"鎳","22.8739","+0.0000","+0.00","5:01"
"鋁","1.2527","-0.0014","-0.11","5:01"
"鋅","1.7075","+0.0000","+0.00","5:01"
"鉛","1.0603","+0.0000","+0.00","5:01"
"黃金期貨","666.700","7.400","01.12","1:45"
"銀期貨","13.470","0.250","01.89","1:59"
"銅期貨","7270.000","-60.000","-00.82","05/30"
"天然氣期","7.935","-0.006","-00.08","05/31"
"布蘭特油期","68.040","0.200","00.29","3:06"
"WTI原油期","64.010","0.520","00.82","05/31"
"玉米期貨","390.250","8.000","02.09","05/31"
"小麥期貨","517.000","6.250","01.22","2:15"
"可可粉期","1883.000","5.000","00.27","0:33"
"大豆期貨","806.250","-2.000","-00.25","05/31"
"咖啡C期","111.900","0.550","00.49","1:20"
"十一號糖","9.340","-0.030","-00.32","1:28"
"二號棉期","51.050","0.670","01.33","2:29"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","時間"
"歐元/美元","1.3455","0.0026","0.1936","4:53"
"英鎊/美元","1.9800","0.0042","0.2123","4:53"
"美元/瑞士法郎","1.2251","-0.0006","-0.0449","4:53"
"美元/俄盧布","25.8850","-0.0230","-0.0888","4:53"
"美元/匈牙利幣","186.0950","-0.4850","-0.2599","4:53"
"美元/土耳其幣","1.3160","-0.0098","-0.7392","4:46"
"美元/南非幣","7.1173","-0.0152","-0.2131","4:53"
"美元/日圓","121.7300","0.0710","0.0584","4:53"
"美元/人民幣","7.6516","0.0048","0.0628","3:48"
"美元/港幣","7.8082","0.0020","0.0256","4:53"
"美元/台幣","33.0190","0.0400","0.1213","23:23"
"美元/韓圜","928.2000","-1.2000","-0.1291","3:03"
"美元/泰銖","33.0700","0.1900","0.5778","4:02"
"美元/新元","1.5288","-0.0010","-0.0686","4:53"
"美元/馬來幣","3.3970","-0.0055","-0.1617","3:41"
"美元/印尼盾","8825.0000","12.0000","0.1362","3:03"
"美元/印度盧比","40.5700","-0.2650","-0.6490","19:51"
"澳幣/美元","0.8278","0.0044","0.5343","4:53"
"紐幣/美元","0.7368","0.0067","0.9177","4:53"
"美元/巴西幣","1.9180","-0.0230","-1.1850","4:53"
"美元/墨披索","10.7400","-0.0066","-0.0619","4:53"
"美元/加幣","1.0689","-0.0053","-0.4943","4:53"

"MSCI 指數"
"MSCI","指數","漲跌","YTD","日期"
"金磚四國","306.28","2.25","7.95","5/31"
"中國","56.17","3.00","7.90","5/31"
"印度","450.94","1.74","15.44","5/31"
"俄羅斯","1106.04","3.63","-11.54","5/31"
"巴西","2742.01","0.75","24.33","5/31"
"新興市場","1014.78","1.55","11.19","5/31"
"新興亞洲","411.97","1.57","10.90","5/31"
"新興東歐","292.39","3.25","-5.51","5/31"
"新興拉美","3657.38","0.82","22.09","5/31"
"世界","401.52","0.60","9.17","5/31"
"歐洲","585.41","1.04","10.13","5/31"
"遠東ex日本","467.53","1.36","9.85","5/31"
"中華","306.34","2.18","5.86","5/31"
"歐洲小型","342.70","1.15","14.17","5/31"
"日本小型","102.14","0.98","0.04","5/31"
"美國小型","324.86","0.51","8.59","5/31"
"世界小型","261.50","0.95","10.63","5/31"
"日本","3289.89","1.07","2.54","5/31"
"香港","7488.09","1.12","3.29","5/31"
"阿拉伯市場","681.53","0.28","12.71","5/31"
"世界能源","265.01","-0.20","-0.07","05/31"
"世界原料","269.66","4.02","1.51","05/31"

