"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","17092.49","-107.40","-0.62","16:00"
"東證一部","1655.60","-8.41","-0.51","15:01"
"東證二部","3644.88","-1.57","-0.04","15:01"
"JASDAQ","76.43","1.03","1.37","15:00"
"上海綜合","5552.30","142.90","2.64","09/28"
"上海A股","5827.66","150.46","2.65","09/28"
"上海B股","367.35","5.23","1.44","09/28"
"香港恆生","26973.98","-505.96","-1.84","16:01"
"香港國企","16727.05","-590.48","-3.41","16:01"
"香港紅籌","5696.39","-182.26","-3.10","16:02"
"台灣加權","9627.39","-72.68","-0.75","13:46"
"台灣店頭","198.19","0.42","0.21","13:46"
"韓國指數","2003.60","-10.49","-0.52","18:03"
"新加坡","3783.81","29.19","0.78","17:05"
"馬來西亞","1369.84","2.88","0.21","17:00"
"菲律賓","3775.46","5.64","0.15","12:11"
"印尼股市","2473.16","21.57","0.88","17:09"
"越南股市","1087.76","-18.84","-1.70","10:56"
"泰國股市","848.95","-1.63","-0.19","17:01"
"印度股市","17777.14","-69.90","-0.39","17:13"
"斯里蘭卡","2589.78","11.53","0.45","14:20"
"澳洲股市","6579.90","-85.50","-1.28","17:47"
"紐西蘭","4299.98","-27.89","-0.64","13:31"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2090.08","-2.90","-0.14","10/04"
"英國指數","6547.90","12.70","0.19","10/04"
"法國指數","5804.39","-1.79","-0.03","10/04"
"德國指數","7944.99","-10.31","-0.13","10/04"
"道瓊歐洲","4420.39","-1.19","-0.03","10/04"
"土耳其","54915.90","751.00","1.39","10/04"
"匈牙利","27845.20","-199.72","-0.71","10/04"
"奧地利","4753.29","66.20","1.41","10/04"
"波蘭股市","61048.09","101.13","0.17","10/04"
"捷克股市","1862.70","27.60","1.50","10/04"
"盧森堡","2515.07","40.30","1.63","10/04"
"義大利","31492.00","114.00","0.36","16:43"
"西班牙","1612.98","-3.28","-0.20","10/04"
