"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3155.65","-0.81","-0.03%","18:31"
"澳洲股市","4684.10","-9.60","-0.20%","17:47"
"日經225","10370.54","-73.26","-0.70%","09/18"
"東證一部","939.44","-0.08","-0.01%","09/18"
"東證二部","2270.28","-4.83","-0.21%","09/18"
"JASDAQ","49.93","-0.18","-0.36%","09/18"
"韓國股市","1695.50","-4.21","-0.25%","18:03"
"台灣加權","7502.46","-24.09","-0.32%","13:46"
"台灣店頭","125.82","2.39","1.94%","13:46"
"上海綜合","2967.01","4.34","0.15%","15:15"
"上海A股","3113.68","4.51","0.14%","15:15"
"上海B股","205.02","1.11","0.54%","15:15"
"深圳A股","1091.75","9.80","0.91%","15:00"
"深圳B股","524.83","1.74","0.33%","15:00"
"滬深300","3208.60","8.92","0.28%","15:01"
"深證成指","12045.20","67.80","0.57%","15:00"
"香港恆生","21472.85","-150.60","-0.70%","16:01"
"香港國企","12418.34","-196.23","-1.56%","16:01"
"香港紅籌","4016.98","-13.01","-0.32%","16:01"
"新加坡","2647.91","-24.69","-0.92%","09/18"
"海峽中國","281.13","-1.77","-0.63%","09/18"
"越南股市","577.97","6.96","1.22%","11:01"
"泰國股市","713.16","-0.51","-0.07%","16:59"
"菲律賓","2789.33","17.36","0.63%","09/18"
"馬來西亞","1221.20","2.40","0.20%","09/18"
"印尼股市","2456.99","17.63","0.72%","09/17"
"印度股市","16741.30","30.19","0.18%","09/18"
"巴基斯坦","6675.60","144.16","2.21%","09/18"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1210.57","-34.99","-2.81%","09/21"
"英國股市","5134.36","-38.53","-0.74%","09/21"
"法國股市","3812.16","-15.68","-0.41%","09/21"
"德國股市","5668.65","-35.18","-0.62%","09/21"
"土耳其","47161.22","195.66","0.42%","09/18"
"匈牙利","20343.91","-385.16","-1.86%","09/21"
"奧地利","2560.39","-28.41","-1.10%","09/21"
"波蘭股市","36680.84","-189.53","-0.51%","09/21"
"捷克股市","1139.90","-15.70","-1.36%","09/21"
"瑞典股市","913.05","-7.17","-0.78%","09/21"
"芬蘭股市","6567.33","-45.39","-0.69%","09/21"
"挪威股市","291.75","-3.88","-1.31%","09/21"
"希臘股市","2527.90","-27.47","-1.07%","09/21"
"義大利","23517.35","-446.89","-1.86%","09/21"
"盧森堡","1342.59","-21.62","-1.59%","09/21"
"荷蘭股市","311.34","-2.29","-0.73%","09/21"
"冰島股市","474.15","-0.68","-0.14%","09/21"
"丹麥股市","336.42","-0.62","-0.18%","09/21"
"瑞士股市","6306.23","-18.92","-0.30%","09/21"
"西班牙","1224.91","-5.86","-0.48%","09/21"
"葡萄牙","2851.76","-27.83","-0.97%","09/21"
"愛爾蘭","3369.89","-84.89","-2.46%","09/21"
"以色列","967.90","-5.63","-0.58%","09/21"
"埃及股市","637.83","9.90","1.58%","09/17"
"南非股市","22773.21","-416.80","-1.80%","09/21"
"摩洛哥","22478.92","93.80","0.42%","09/18"
"約旦股市","2647.75","0.00","0.00%","09/20"
"阿聯杜拜","2127.62","43.28","2.08%","09/17"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","9778.86","-41.34","-0.42%","09/21"
"那斯達克","2138.04","5.18","0.24%","09/21"
"羅素兩千","615.97","-1.91","-0.31%","09/21"
"S&P 五百","1064.66","-3.64","-0.34%","09/21"
"費城金銀","166.02","-2.01","-1.20%","09/21"
"DJ貴金屬","330.13","-4.44","-1.33%","16:05"
"CBOE黃金","202.31","-3.61","-1.75%","09/21"
"AMEX金蟲","417.57","-6.44","-1.52%","09/21"
"AMEX能源","548.64","-5.15","-0.93%","09/21"
"NYSE能源","11025.81","-103.98","-0.93%","09/21"
"費城油業","193.83","-2.44","-1.24%","09/21"
"AMEX石油","1040.28","-8.00","-0.76%","09/21"
"費城半導","326.40","-0.08","-0.02%","09/21"
"NSDQ金融","1970.00","-8.11","-0.41%","09/21"
"NYSE金融","4937.77","-59.77","-1.20%","09/21"
"NBI生技","863.13","11.30","1.33%","09/21"
"AMEX生技","964.97","7.92","0.83%","09/21"
"費城藥物","171.37","1.00","0.59%","09/21"
"加拿大","11424.61","-21.34","-0.19%","09/21"
"巴西股市","60928.02","225.01","0.37%","09/21"
"墨西哥","29607.16","-334.84","-1.12%","09/21"
"阿根廷","1986.34","-21.26","-1.06%","09/21"
"智利股市","3297.27","0.09","0.00%","09/21"
"秘魯股市","15154.00","6.16","0.04%","09/21"
"哥倫比亞","10845.08","-68.56","-0.63%","09/21"
"委內瑞拉","54092.38","541.90","1.01%","09/21"
"百慕達","2374.43","0.00","0.00%","09/18"
"牙買加","80519.86","102.56","0.13%","09/21"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","2318.00","-38.00","-1.61%","09/21"
"波海海峽航運","2892.00","-116.00","-3.86%","09/21"
"波海巴拿馬航","2568.00","-4.00","-0.16%","09/21"
"VIX波動率","24.06","0.14","0.58%","16:14"
"VXD道瓊波動","21.33","0.11","0.52%","16:29"
"VXN納指波動","24.92","0.23","0.93%","16:14"
"道瓊歐洲","2872.51","-14.73","-0.51%","19:00"
"道瓊交通運輸","3952.58","-27.06","-0.68%","16:30"
"道瓊公用事業","381.46","-1.46","-0.38%","16:30"
"全球公用事業","5585.51","-12.76","-0.23%","16:20"
"ISE水指數","73.55","-0.84","-1.13%","17:00"
"道瓊水指數","583.18","-2.75","-0.47%","16:05"
"純淨科技","1034.98","-13.20","-1.26%","17:25"
"WH創新能源","207.37","-3.48","-1.65%","17:10"
"WH乾淨能源","111.92","-1.14","-1.01%","17:10"
"全球乾淨能源","1519.49","-22.30","-1.45%","18:00"
"ISE替代能源","29.97","0.08","0.27%","17:00"
"全球替代能源","1959.44","-37.20","-1.86%","16:16"
"ET50環境科技","163.66","-1.81","-1.09%","21:20"
"生物能源","243.02","-1.41","-0.58%","16:16"
"環境服務","818.44","-12.40","-1.49%","17:10"
"Clvrt社會責任","66.42","-0.17","-0.26%","16:04"
"ISE邪惡指數","111.09","-1.22","-1.09%","17:00"
"道瓊美國博奕","377.95","-5.29","-1.38%","16:05"
"snet全球博奕","3052.53","-35.38","-1.15%","17:00"
"道瓊美國礦產","170.62","-0.89","-0.52%","16:03"
