"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3448.35","33.43","0.98%","18:31"
"澳洲股市","4659.80","80.00","1.75%","18:33"
"日經225","9816.09","18.83","0.19%","15:28"
"東證一部","849.22","5.11","0.61%","15:00"
"東證二部","2333.95","6.55","0.28%","15:00"
"JASDAQ","52.11","0.14","0.27%","15:11"
"韓國股市","2100.69","6.27","0.30%","18:05"
"台灣加權","8652.59","79.21","0.92%","13:46"
"台灣店頭","134.08","0.69","0.52%","13:46"
"上海綜合","2762.08","33.59","1.23%","15:15"
"上海A股","2893.53","35.18","1.23%","15:15"
"上海B股","271.31","3.53","1.32%","15:15"
"深圳A股","1210.12","16.84","1.41%","15:00"
"深圳B股","723.45","7.26","1.01%","15:00"
"滬深300","3044.09","43.92","1.46%","15:01"
"深證成指","12110.90","197.73","1.66%","15:00"
"香港恆生","22398.10","336.92","1.53%","16:01"
"香港國企","12576.70","172.16","1.39%","16:01"
"香港紅籌","4192.08","59.98","1.45%","16:01"
"新加坡","3120.44","40.70","1.32%","17:10"
"海峽中國","289.84","2.06","0.72%","16:40"
"越南股市","432.54","-2.06","-0.47%","11:01"
"泰國股市","1041.48","8.22","0.80%","17:01"
"菲律賓","4291.21","41.86","0.99%","14:00"
"馬來西亞","1579.07","4.06","0.26%","16:05"
"印尼股市","3888.57","58.30","1.52%","16:00"
"印度股市","18845.90","152.01","0.81%","18:00"
"巴基斯坦","8663.10","46.56","0.54%","16:13"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1906.71","12.13","0.64%","06/30"
"英國股市","5945.71","89.76","1.53%","06/30"
"法國股市","3982.21","57.98","1.48%","06/30"
"德國股市","7376.24","82.10","1.13%","17:30"
"土耳其","63269.40","266.52","0.42%","06/30"
"匈牙利","22693.70","-8.01","-0.04%","06/30"
"奧地利","2766.73","41.92","1.54%","06/30"
"波蘭股市","48414.40","-55.13","-0.11%","06/30"
"捷克股市","1225.40","9.10","0.75%","06/30"
"瑞典股市","1115.23","15.20","1.38%","06/30"
"芬蘭股市","6716.62","133.32","2.03%","06/30"
"挪威股市","386.66","4.08","1.07%","06/30"
"希臘股市","1279.06","14.21","1.12%","06/30"
"義大利","20913.20","318.91","1.55%","06/30"
"盧森堡","1406.91","9.51","0.68%","06/30"
"荷蘭股市","339.65","4.37","1.30%","06/30"
"冰島股市","604.95","2.23","0.37%","06/30"
"丹麥股市","431.06","7.19","1.70%","06/30"
"瑞士股市","6187.07","85.52","1.40%","06/30"
"西班牙","1049.76","21.96","2.14%","06/30"
"葡萄牙","2773.91","80.29","2.98%","06/30"
"愛爾蘭","2953.29","11.24","0.38%","06/30"
"以色列","1223.91","-5.27","-0.43%","06/30"
"埃及股市","534.38","6.07","1.15%","06/30"
"南非股市","28551.80","123.10","0.43%","06/30"
"約旦股市","2093.52","7.05","0.34%","06/30"
"杜拜股市","1516.93","9.32","0.62%","06/29"
"阿布達比","2704.19","-7.11","-0.26%","06/29"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12414.30","152.92","1.25%","06/30"
"那斯達克","2773.52","33.03","1.21%","06/30"
"羅素兩千","827.43","7.51","0.92%","16:52"
"S&P 五百","1320.64","13.23","1.01%","06/30"
"費城金銀","201.13","1.69","0.85%","06/30"
"DJ貴金屬","410.56","3.52","0.86%","17:15"
"CBOE黃金","232.10","1.15","0.50%","06/30"
"AMEX金蟲","521.56","1.99","0.38%","06/30"
"AMEX能源","756.37","11.44","1.54%","06/30"
"NYSE能源","13516.39","212.23","1.59%","17:53"
"費城油業","268.05","4.47","1.70%","06/30"
"AMEX石油","1304.31","21.67","1.69%","06/30"
"費城半導","410.35","10.18","2.54%","06/30"
"NSDQ金融","2149.06","14.76","0.69%","06/30"
"NYSE金融","4934.25","41.85","0.86%","06/30"
"NBI生技","1108.40","3.50","0.32%","06/30"
"AMEX生技","1460.63","-2.10","-0.14%","06/30"
"費城藥物","195.64","1.75","0.90%","06/30"
"加拿大","13300.90","111.93","0.85%","06/30"
"巴西股市","62403.60","69.67","0.11%","06/30"
"墨西哥","36558.10","-21.52","-0.06%","06/30"
"阿根廷","3360.64","6.82","0.20%","06/30"
"智利股市","4795.28","23.84","0.50%","06/30"
"秘魯股市","18878.80","159.32","0.85%","06/30"
"哥倫比亞","14067.70","-136.61","-0.96%","06/30"
"委內瑞拉","80397.70","0.00","0.00%","06/30"
"百慕達","1189.77","-6.68","-0.56%","06/29"
"牙買加","88585.00","90.53","0.10%","06/30"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","1413.00","-7.00","-0.49%","06/30"
"波海海峽航運","2036.00","-12.00","-0.59%","06/30"
"波海巴拿馬航","1604.00","-29.00","-1.78%","06/30"
"VIX波動率","16.52","-0.75","-4.34%","16:14"
"VXD道瓊波動","15.00","-0.86","-5.42%","16:29"
"VXN納指波動","17.86","-0.98","-5.20%","16:14"
"羅素大中華","2082.94","10.09","0.49%","06/29"
"道瓊歐洲","2848.53","45.98","1.64%","23:03"
"道瓊交通運輸","5423.82","67.65","1.26%","16:30"
"AMEX航空","42.50","-0.09","-0.21%","06/30"
"美國紙業","114.02","2.22","1.99%","06/30"
"道瓊公用事業","433.48","2.19","0.51%","16:30"
"全球公用事業","5660.76","50.08","0.89%","02/28"
"Dax奢侈品","112.01","0.79","0.71%","06/30"
"ISE水指數","90.67","1.04","1.16%","17:03"
"道瓊水指數","772.78","-4.28","-0.55%","17:15"
"純淨科技","1212.98","18.85","1.58%","16:34"
"WH創新能源","257.95","3.95","1.55%","17:43"
"WH乾淨能源","91.38","1.62","1.81%","17:43"
"生物能源","211.60","1.89","0.90%","17:16"
"ISE替代能源","26.66","0.00","0.00%","09/20"
"全球替代能源","1482.71","22.40","1.53%","17:15"
"ET50環境科技","148.24","1.71","1.17%","21:30"
"道瓊美國礦產","233.13","2.76","1.20%","17:15"
"道瓊世界原料","373.19","5.46","1.49%","17:15"
"FTSE金礦","3563.02","25.72","0.73%","17:00"
"HSBC礦業","711.52","15.42","2.22%","06/29"
"msci世界能源","262.46","4.64","1.80%","06/30"
"msci世界原料","277.57","4.28","1.57%","06/30"

"債券指數其他更多債券指數"
"指數","收盤","比例","殖利率","利差","日期"
"ML高收益指數","272.88","0.27%","7.38%","554","06/29"
"ML美國高收益","1177.69","0.28%","7.30%","545","06/29"
"ML全球高收益","241.22","0.27%","7.55%","560","06/29"
"ML歐洲高收益","189.23","0.30%","8.18%","571","06/29"
"ML高收益100","1972.04","0.20%","6.57%","500","06/29"
"ML CCC債券","267.29","0.43%","10.61%","902","06/29"
"ML美國公司債","2132.46","-0.14%","3.85%","167","06/29"
"BC美國機構債","1446.57","-0.07%","1.38%","n/a","06/30"
"BC美國房貸債","1681.61","-0.02%","3.56%","n/a","06/30"
"ML美國房利美","579.90","-0.20%","3.92%","28","06/29"
"ML美國房地美","362.47","-0.14%","3.87%","40","06/20"
"ML美國吉利美","614.72","-0.13%","3.69%","36","06/29"
"JP全球政府債","436.13","-0.08%","2.61%","...","06/30"
"JP新興政府債","547.97","0.19%","6.03%","298","06/29"
"JP歐盟政府債","265.60","0.13%","4.33%","...","06/30"
"JP法國政府債","527.03","-0.15%","3.41%","...","06/30"
"JP德國政府債","396.51","-0.30%","3.03%","...","06/30"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","338.05","-0.75","-0.22%","06/30"
"CRB農業","6187.73","11.42","0.18%","06/30"
"CRB工業金屬","2961.71","46.99","1.61%","06/30"
"CRB能源開採","3018.37","28.04","0.94%","06/30"
"高盛綜合商品","414.55","-2.71","-0.65%","06/30"
"高盛商品","492.85","-1.20","-0.24%","06/30"
"高盛農產品","73.28","-3.07","-4.02%","06/30"
"高盛牲畜","212.78","-1.91","-0.89%","06/30"
"高盛貴金屬","230.38","-0.91","-0.39%","06/30"
"高盛基本金屬","288.42","2.58","0.90%","06/30"
"高盛能源","296.75","1.57","0.53%","06/30"
"天然氣","675.02","4.89","0.73%","06/30"
"Dax全球農金","550.04","1.35","0.25%","06/30"
"Rogers商品","3926.36","-35.72","-0.90%","06/30"
"Rogers能源","821.64","19.96","2.49%","06/29"
"Rogers金屬","2935.69","50.15","1.74%","06/29"
"Rogers農產","1298.64","8.50","0.66%","06/29"
"券商指數","107.15","0.02","0.01%","06/30"
"美元指數","74.38","-0.25","-0.34%","06/30"
"歐元指數","145.08","0.71","0.49%","06/30"
"英鎊指數","160.52","-0.15","-0.09%","06/30"
