"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","8049.67","-3.96","-0.05%","11/06"
"澳洲股市","6085.10","57.90","0.96%","16:00"
"日經225","22937.6","389.25","1.73%","15:15"
"東證一部","1813.29","20.63","1.15%","15:00"
"東證二部","6923.03","-0.78","-0.01%","15:00"
"JASDAQ","165.27","-0.17","-0.10%","15:00"
"韓國股市","2545.44","-3.97","-0.16%","18:03"
"台灣加權","10840.34","54.15","0.50%","13:47"
"台灣店頭","146.63","0.37","0.25%","13:49"
"上海綜合","3413.575","25.40","0.75%","15:29"
"上海A股","3575.03","26.60","0.75%","15:29"
"上海B股","348.91","2.58","0.74%","15:29"
"深圳A股","2105.006","14.07","0.67%","15:00"
"深圳B股","1230.899","2.54","0.21%","15:00"
"滬深300","4054.25","33.36","0.83%","15:01"
"深證成指","11411.09","37.35","0.33%","14:14"
"中小板指","7925.86","76.95","0.98%","15:00"
"創業板指","1859.07","8.77","0.47%","15:00"
"香港恆生","28994.34","397.54","1.39%","16:09"
"香港國企","11645.53","120.89","1.05%","16:09"
"香港紅籌","4441.42","37.14","0.84%","11/07"
"香港創業板","275.37","0.80","0.29%","16:21"
"蒙古股市","20973.45","80.52","0.39%","14:09"
"新加坡","3413.1","31.25","0.92%","17:10"
"越南股市","850.33","1.24","0.15%","15:02"
"泰國股市","1712.75","1.01","0.06%","17:08"
"菲律賓","8521.81","-1.26","-0.01%","15:20"
"馬來西亞","1750.94","8.65","0.50%","17:05"
"印尼股市","6060.453","9.63","0.16%","16:00"
"印度股市","33370.76","-360.43","-1.07%","17:00"
"巴基斯坦","29300.25","70.35","0.24%","17:00"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1144.83","35.45","3.20%","18:40"
"英國股市","7513.11","-49.17","-0.65%","16:35"
"法國股市","5480.64","-26.61","-0.48%","18:05"
"德國股市","13379.27","-89.52","-0.66%","18:30"
"土耳其","112272","-1894","-1.66%","17:10"
"匈牙利","39809","-306.77","-0.76%","17:25"
"烏克蘭","1246.62","0.23","0.02%","18:05"
"奧地利","3411.22","20.92","0.62%","17:45"
"波蘭股市","65134.28","568.69","0.88%","17:15"
"捷克股市","1055.73","0.17","0.02%","16:45"
"瑞典股市","1670.236","-5.91","-0.35%","17:35"
"芬蘭股市","9760.91","-54.24","-0.55%","18:35"
"挪威股市","749.33","1.39","0.19%","16:48"
"希臘股市","748.44","-13.47","-1.77%","17:19"
"義大利","25368.43","-66.06","-0.26%","17:38"
"比利時","4097.64","-20.87","-0.51%","18:05"
"盧森堡","1625.074","0.07","0.00%","17:35"
