"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3457.46","-2.10","-0.06%","18:31"
"澳洲股市","4590.80","25.60","0.56%","17:38"
"日經225","9629.43","169.77","1.79%","15:28"
"東證一部","828.99","13.26","1.63%","15:00"
"東證二部","2281.09","9.88","0.44%","15:00"
"JASDAQ","51.75","0.14","0.27%","15:11"
"韓國股市","2063.90","15.73","0.77%","18:05"
"台灣加權","8621.04","23.42","0.27%","13:46"
"台灣店頭","132.23","1.81","1.39%","13:46"
"上海綜合","2649.32","2.84","0.11%","15:15"
"上海A股","2775.50","2.75","0.10%","15:15"
"上海B股","258.40","4.62","1.82%","15:15"
"深圳A股","1139.20","-0.48","-0.04%","15:00"
"深圳B股","691.51","1.81","0.26%","15:00"
"滬深300","2908.58","-0.49","-0.02%","15:01"
"深證成指","11543.70","33.67","0.29%","15:00"
"香港恆生","21860.00","9.38","0.04%","16:01"
"香港國企","12148.90","0.20","0.00%","16:01"
"香港紅籌","4000.00","15.98","0.40%","16:01"
"新加坡","3042.83","-10.68","-0.35%","17:10"
"海峽中國","287.81","-1.89","-0.65%","16:40"
"越南股市","439.63","-3.11","-0.70%","11:02"
"泰國股市","1023.86","-3.86","-0.38%","17:01"
"菲律賓","4245.28","33.47","0.79%","13:47"
"馬來西亞","1567.35","6.56","0.42%","16:05"
"印尼股市","3821.83","26.89","0.71%","16:00"
"印度股市","17550.60","-9.67","-0.06%","18:00"
"巴基斯坦","8585.39","25.85","0.30%","16:23"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1878.38","5.93","0.32%","06/22"
"英國股市","5772.99","-2.32","-0.04%","06/22"
"法國股市","3871.37","-5.70","-0.15%","06/22"
"德國股市","7278.19","-7.32","-0.10%","06/22"
"土耳其","61218.00","-815.28","-1.31%","06/22"
"匈牙利","22539.20","56.54","0.25%","06/22"
"奧地利","2713.98","-17.30","-0.63%","06/22"
"波蘭股市","48485.30","-378.62","-0.77%","06/22"
"捷克股市","1225.10","-4.90","-0.40%","06/22"
"瑞典股市","1073.15","-18.92","-1.73%","06/22"
"芬蘭股市","6468.56","-32.62","-0.50%","06/22"
"挪威股市","379.89","-3.85","-1.00%","06/22"
"希臘股市","1271.43","-4.04","-0.32%","06/22"
"義大利","20728.60","-102.40","-0.49%","06/22"
"盧森堡","1394.09","7.76","0.56%","06/22"
"荷蘭股市","334.17","-1.97","-0.59%","06/22"
"冰島股市","619.93","4.09","0.66%","06/22"
"丹麥股市","420.53","-2.67","-0.63%","06/22"
"瑞士股市","6113.44","-57.57","-0.93%","06/22"
"西班牙","1038.58","-0.81","-0.08%","06/22"
"葡萄牙","2699.54","-18.58","-0.68%","06/22"
"愛爾蘭","2907.60","0.18","0.01%","06/22"
"以色列","1232.16","8.98","0.73%","06/22"
"埃及股市","545.22","-4.68","-0.85%","06/22"
"南非股市","27475.40","-178.04","-0.64%","06/22"
