"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3452.14","12.29","0.36%","17:31"
"澳洲股市","4954.60","26.00","0.53%","16:38"
"日經225","9708.39","-46.71","-0.48%","15:28"
"東證一部","862.62","-6.76","-0.78%","15:00"
"東證二部","2306.14","-2.97","-0.13%","15:00"
"JASDAQ","51.11","-0.18","-0.35%","15:11"
"韓國股市","2121.01","14.31","0.68%","18:05"
"台灣加權","8705.13","21.83","0.25%","13:46"
"台灣店頭","139.87","0.95","0.68%","13:46"
"上海綜合","2967.41","39.30","1.34%","15:15"
"上海A股","3107.15","41.23","1.34%","15:15"
"上海B股","320.24","2.79","0.88%","15:15"
"深圳A股","1325.37","13.54","1.03%","15:00"
"深圳B股","822.61","5.12","0.63%","15:00"
"滬深300","3272.73","49.44","1.53%","15:01"
"深證成指","12699.40","136.52","1.09%","15:00"
"香港恆生","23801.90","274.38","1.17%","16:01"
"香港國企","13451.50","135.64","1.02%","16:01"
"香港紅籌","4332.83","88.44","2.08%","16:01"
"新加坡","3120.47","14.62","0.47%","17:10"
"海峽中國","310.11","1.89","0.61%","16:40"
"越南股市","459.17","-1.96","-0.43%","11:03"
"泰國股市","1064.35","16.87","1.61%","17:01"
"菲律賓","4129.54","74.40","1.83%","14:00"
"馬來西亞","1555.38","10.25","0.66%","16:05"
"印尼股市","3707.49","28.81","0.78%","16:00"
"印度股市","19420.40","-24.83","-0.13%","15:59"
"巴基斯坦","8277.45","51.71","0.63%","16:12"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","2076.78","32.58","1.59%","04/01"
"英國股市","6009.92","101.16","1.71%","04/01"
"法國股市","4054.76","65.58","1.64%","04/01"
"德國股市","7179.81","138.50","1.97%","04/01"
"土耳其","65714.40","1279.89","1.99%","04/01"
"匈牙利","23632.10","572.28","2.48%","04/01"
"奧地利","2912.78","30.60","1.06%","04/01"
"波蘭股市","49503.30","773.51","1.59%","04/01"
"捷克股市","1257.30","0.00","0.00%","04/01"
"瑞典股市","1145.60","10.73","0.95%","04/01"
"芬蘭股市","7548.53","28.71","0.38%","04/01"
"挪威股市","414.51","6.02","1.47%","04/01"
"希臘股市","1526.60","-8.59","-0.56%","04/01"
"義大利","22686.90","233.21","1.04%","04/01"
"盧森堡","1465.83","-0.29","-0.02%","04/01"
"荷蘭股市","369.45","3.83","1.05%","04/01"
"冰島股市","627.38","0.55","0.09%","04/01"
"丹麥股市","469.16","2.01","0.43%","04/01"
"瑞士股市","6439.91","82.36","1.30%","04/01"
"西班牙","1094.96","15.95","1.48%","04/01"
"葡萄牙","2823.94","35.11","1.26%","04/01"
"愛爾蘭","2942.04","67.33","2.34%","04/01"
"以色列","1321.18","0.74","0.06%","03/31"
"埃及股市","532.34","-0.31","-0.06%","03/31"
"南非股市","29175.60","138.08","0.48%","04/01"
"約旦股市","2175.59","4.21","0.19%","03/31"
"杜拜股市","1556.04","13.10","0.85%","03/31"
"阿布達比","2607.12","-25.80","-0.98%","03/31"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12376.70","56.99","0.46%","04/01"
"那斯達克","2789.60","8.53","0.31%","04/01"
"羅素兩千","846.77","3.22","0.38%","16:50"
"S&P 五百","1332.41","6.58","0.50%","04/01"
"費城金銀","214.93","-1.81","-0.84%","04/01"
"DJ貴金屬","439.39","-2.56","-0.58%","16:05"
"CBOE黃金","252.04","-0.91","-0.36%","04/01"
"AMEX金蟲","570.00","-3.13","-0.55%","04/01"
"AMEX能源","803.73","3.29","0.41%","04/01"
"NYSE能源","14396.13","118.92","0.83%","17:53"
"費城油業","296.13","0.55","0.19%","04/01"
"AMEX石油","1391.62","12.79","0.93%","04/01"
"費城半導","432.85","-4.51","-1.03%","04/01"
"NSDQ金融","2270.22","29.96","1.34%","04/01"
"NYSE金融","5203.36","52.42","1.02%","04/01"
"NBI生技","1048.49","7.66","0.74%","04/01"
"AMEX生技","1378.35","8.56","0.62%","04/01"
"費城藥物","179.92","0.60","0.34%","04/01"
"加拿大","14130.20","14.05","0.10%","04/01"
"巴西股市","69268.30","681.59","0.99%","04/01"
"墨西哥","37775.10","334.56","0.89%","04/01"
"阿根廷","3471.95","83.92","2.48%","04/01"
"智利股市","4712.85","88.39","1.91%","04/01"
"秘魯股市","21562.50","-394.96","-1.80%","04/01"
"哥倫比亞","14364.30","-105.39","-0.73%","04/01"
"委內瑞拉","70321.50","0.00","0.00%","04/01"
"百慕達","1123.69","-19.77","-1.73%","03/31"
"牙買加","86534.60","2.63","0.00%","04/01"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","1520.00","-10.00","-0.65%","14:09"
"波海海峽航運","1792.00","24.00","1.36%","14:09"
"波海巴拿馬航","1925.00","-43.00","-2.19%","14:09"
"VIX波動率","17.40","-0.34","-1.92%","16:14"
"VXD道瓊波動","15.03","-0.27","-1.76%","16:29"
"VXN納指波動","19.41","-0.33","-1.67%","16:14"
"羅素大中華","2159.00","9.04","0.42%","03/31"
"道瓊歐洲","2962.92","52.01","1.79%","23:03"
"道瓊交通運輸","5370.47","70.58","1.33%","16:30"
"AMEX航空","43.06","-0.01","-0.02%","04/01"
"美國紙業","117.86","0.54","0.46%","04/01"
"道瓊公用事業","415.80","2.74","0.66%","16:30"
"全球公用事業","5660.76","50.08","0.89%","02/28"
"Dax奢侈品","106.70","0.41","0.39%","04/01"
"ISE水指數","92.95","0.50","0.54%","17:01"
"道瓊水指數","768.41","6.55","0.86%","16:05"
"純淨科技","1269.54","7.66","0.61%","16:59"
"WH創新能源","280.62","2.38","0.85%","17:43"
"WH乾淨能源","108.18","-0.74","-0.68%","17:43"
"全球乾淨能源","1025.91","-3.48","-0.34%",""
"ISE替代能源","26.66","0.00","0.00%","09/20"
"全球替代能源","1749.07","-8.90","-0.51%","17:24"
"ET50環境科技","168.18","0.47","0.28%","21:20"
"道瓊美國礦產","261.17","0.84","0.32%","16:03"
"道瓊世界原料","383.80","2.22","0.58%","17:22"
"FTSE金礦","3803.04","-11.81","-0.31%","16:30"
"HSBC礦業","751.44","11.10","1.50%","03/30"
"msci世界能源","279.95","2.39","0.86%","04/01"
"msci世界原料","282.62","1.41","0.50%","04/01"

"債券指數其他更多債券指數"
"指數","收盤","比例","殖利率","利差","日期"
"ML高收益指數","271.74","0.16%","0.00%","473","04/01"
"ML美國高收益","1172.37","0.14%","0.00%","465","04/01"
"ML全球高收益","240.36","0.17%","0.00%","480","04/01"
"ML歐洲高收益","189.02","0.26%","0.00%","503","04/01"
"ML高收益100","1958.22","0.16%","0.00%","432","04/01"
"ML CCC債券","269.80","0.34%","0.00%","792","04/01"
"ML美國公司債","2085.65","0.05%","0.00%","150","04/01"
"BC美國機構債","1424.37","-0.01%","1.66%","n/a","04/01"
"BC美國房貸債","1640.44","-0.07%","3.78%","n/a","04/01"
"ML美國房利美","563.29","-0.03%","0.00%","26","04/01"
"ML美國房地美","350.45","-0.05%","0.00%","36","04/01"
"ML美國吉利美","597.76","-0.03%","0.00%","29","04/01"
"JP全球政府債","428.26","-0.06%","2.77%","...","03/31"
"JP新興政府債","529.65","0.30%","0.00%","...","04/01"
"JP歐盟政府債","263.60","-0.10%","4.38%","...","04/01"
"JP法國政府債","517.15","-0.08%","3.56%","...","03/31"
"JP德國政府債","388.16","-0.06%","3.25%","...","03/31"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","360.89","1.46","0.41%","04/01"
"CRB農業","6490.21","96.46","1.51%","04/01"
"CRB工業金屬","3100.07","24.21","0.79%","04/01"
"CRB能源開採","3420.62","22.09","0.65%","04/01"
"高盛綜合商品","453.67","3.15","0.70%","04/01"
"高盛商品","539.71","4.29","0.80%","04/01"
"高盛農產品","84.31","0.94","1.13%","04/01"
"高盛牲畜","235.98","0.05","0.02%","04/01"
"高盛貴金屬","224.19","-1.58","-0.70%","04/01"
"高盛基本金屬","295.07","-1.88","-0.63%","04/01"
"高盛能源","325.36","3.22","1.00%","04/01"
"天然氣","693.86","3.20","0.46%","04/01"
"Dax全球農金","586.25","8.81","1.53%","04/01"
"Rogers商品","4294.11","18.71","0.44%","17:55"
"Rogers能源","894.34","17.61","2.01%","03/31"
"Rogers金屬","3031.02","26.46","0.88%","03/31"
"Rogers農產","1428.94","35.71","2.56%","03/31"
"券商指數","122.00","1.53","1.27%","04/01"
"美元指數","75.83","-0.02","-0.03%","04/01"
"歐元指數","142.36","0.69","0.49%","04/01"
"英鎊指數","161.13","0.83","0.52%","04/01"
"日圓指數","118.88","-1.36","-1.13%","04/01"
"澳幣指數","103.85","0.55","0.53%","04/01"
"30年債券價格","120.38","0.19","0.16%","04/01"
"30年債殖利率","44.89","-0.19","-0.42%","04/01"
"10年期票利率","34.51","-0.03","-0.09%","04/01"
"5年期票利率","22.48","0.23","1.03%","04/01"
"3月期票利率","0.55","-0.35","-38.89%","04/01"
"Put/Call比例","0.89","0.02","2.30%","04/01"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","台北"
"黃金","1429.90","-2.90","-0.20%","04/01"
"銀","37.85","0.16","0.42%","04/01"
"白金","1773.00","-1.00","-0.06%","04/01"
"鈀","779.00","11.00","1.44%","04/01"
"銅","4.2648","-0.00","0.00%","01:59"
"鎳","11.7263","-0.01","-0.08%","01:59"
"鋁","1.1720","0.00","0.11%","01:59"
"鋅","1.0803","0.00","0.04%","02:00"
"鉛","1.2564","-0.00","-0.01%","01:59"
"鈾","62.50","2.50","4.17%","03/28"
"黃金期貨","1429.200","-10.700","-0.74%","05:14"
"銀期貨","37.840","-0.048","-0.13%","05:14"
"銅期貨","425.600","-5.150","-1.20%","05:14"
"天然氣期","4.340","-0.049","-1.12%","05:14"
"布蘭特油期","119.100","1.740","1.48%","05:14"
"紐約輕原油","108.310","1.590","1.49%","05:14"
