"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","15564.69","-88.85","-0.57","12/27"
"東證一部","1499.94","-8.53","-0.57","12/27"
"東證二部","3276.88","13.29","0.41","12/27"
"JASDAQ","72.30","-0.17","-0.23","12/27"
"上海綜合","5308.89","75.54","1.44","12/27"
"上海A股","5571.34","79.39","1.45","12/27"
"上海B股","366.86","3.73","1.03","12/27"
"滬深300","5367.53","102.50","1.95","12/27"
"香港恆生","27842.93","-285.87","-1.02","12/27"
"香港國企","16348.00","-74.61","-0.45","12/27"
"香港紅籌","6124.58","-60.36","-0.98","12/27"
"台灣加權","8313.72","157.33","1.93","12/27"
"台灣店頭","147.75","3.30","2.28","12/27"
"韓國指數","1908.62","1.90","0.10","12/27"
"新加坡","3477.20","3.99","0.11","12/27"
"馬來西亞","1437.82","13.80","0.97","12/27"
"菲律賓","3667.64","55.01","1.52","12/27"
"印尼股市","2739.70","25.16","0.93","12/27"
"越南股市","921.75","-2.62","-0.28","12/27"
"泰國股市","852.06","10.86","1.29","12/27"
"印度股市","20216.72","24.20","0.12","12/27"
"澳洲股市","6386.80","-39.60","-0.62","10:07"
"紐西蘭","4044.48","-24.15","-0.59","07:46"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2291.46","8.38","0.37","12/27"
"英國指數","6497.80","18.50","0.29","12/27"
"法國指數","5627.48","13.20","0.24","12/27"
"德國指數","8038.60","35.93","0.45","12/27"
"道瓊歐洲","4404.61","20.06","0.46","12/27"
"土耳其","55233.00","-140.17","-0.25","12/27"
"匈牙利","26318.29","264.38","1.01","12/27"
"奧地利","4522.64","45.53","1.02","12/27"
"波蘭股市","56560.93","768.47","1.38","12/27"
"捷克股市","1818.20","49.20","2.78","12/27"
"盧森堡","2361.86","29.78","1.28","12/27"
"義大利","29232.00","137.00","0.47","16:43"
"西班牙","1650.22","-4.75","-0.29","12/27"
"瑞士股市","8518.19","49.82","0.59","12/27"
"瑞典股市","1073.66","-5.27","-0.49","12/27"
"芬蘭股市","11596.55","-22.65","-0.19","12/27"
"挪威股市","419.65","6.77","1.64","12/27"
"以色列","1224.88","-1.61","-0.13","12/27"
"埃及股市","91913.13","1086.91","1.20","12/27"
"南非股市","27120.75","252.61","0.94","12/27"
"摩洛哥","25260.35","-66.91","-0.26","12/27"
"約旦指數","7511.17","136.02","1.84","12/27"
"杜拜指數","6003.28","-24.88","-0.41","12/27"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13359.61","-192.08","-1.42","16:30"
"NASDAQ","2676.79","-47.62","-1.75","17:07"
"羅素2000","773.51","-23.52","-2.95","16:53"
"S&P 500","1476.27","-21.39","-1.43","16:53"
"費城金銀","171.08","-1.72","-1.00","16:46"
"DJ貴金屬","348.78","-3.11","-0.88","16:01"
"CBOE黃金","172.53","-1.04","-0.60","16:49"
"AMEX金蟲","403.51","-2.12","-0.52","16:55"
"AMEX能源","797.74","-8.39","-1.04","16:55"
"NYSE能源","15334.16","-82.26","-0.53","17:05"
"費城油業","304.89","-3.32","-1.08","16:46"
"AMEX石油","1566.09","-10.76","-0.68","16:55"
"費城半導","410.89","-7.60","-1.82","16:46"
"NSDQ金融","2862.05","-79.26","-2.69","17:07"
"NYSE金融","8286.33","-137.73","-1.63","17:05"
"NBI生技","846.74","-16.16","-1.87","17:07"
"AMEX生技","797.69","-15.10","-1.86","16:55"
"費城藥物","205.15","-1.61","-0.78","16:46"
"加拿大","13675.57","-19.27","-0.14","17:05"
"巴西指數","63774.38","-513.88","-0.80","16:14"
"墨西哥","29642.12","-360.34","-1.20","15:06"
"阿根廷","2168.23","-11.67","-0.54","17:00"
"智利","3059.39","-17.86","-0.58","16:31"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"波海乾貨航運","9143.00","-93.00","-1.01","12/24"
"波海海峽航運","13603.00","-105.00","-0.77","12/24"
"波海巴拿馬航運","8277.00","-145.00","-1.72","12/24"
"VIX波動率","20.26","1.60","8.57","12/27"
