"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","2783.38","38.49","1.40%","17:31"
"澳洲股市","3689.20","50.30","1.38%","16:47"
"日經225","9080.84","37.72","0.42%","16:00"
"東證一部","876.20","0.29","0.03%","15:00"
"東證二部","1965.92","6.22","0.32%","15:00"
"JASDAQ","48.78","0.59","1.22%","15:00"
"韓國指數","1194.28","20.71","1.76%","18:02"
"台灣加權","4727.26","28.95","0.62%","13:46"
"台灣店頭","66.25","0.44","0.67%","13:46"
"上海綜合","1937.14","56.43","3.00%","15:15"
"上海A股","2033.95","59.24","3.00%","15:15"
"上海B股","117.90","3.63","3.17%","15:15"
"深圳A股","616.24","16.01","2.67%","15:00"
"深圳B股","287.18","6.60","2.35%","15:00"
"滬深300","1942.80","59.84","3.18%","15:01"
"深證成指","6795.34","160.46","2.42%","15:00"
"香港恆生","15509.51","-53.80","-0.35%","16:10"
"香港國企","8644.51","-32.24","-0.37%","16:10"
"香港紅籌","3550.44","-70.24","-1.94%","16:10"
"新加坡","1913.66","-11.21","-0.58%","17:10"
"龍籌股","68.31","1.77","2.66%","01/06"
"越南股市","314.04","2.13","0.68%","11:01"
"泰國股市","473.15","-5.54","-1.16%","16:59"
"菲律賓","1969.58","-5.11","-0.26%","12:11"
"馬來西亞","922.23","1.57","0.17%","19:21"
"印尼股市","1435.54","-1.80","-0.13%","17:09"
"印度股市","10335.93","60.33","0.59%","15:58"
"巴基斯坦","4554.65","101.01","2.27%","15:50"

"歐洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"俄羅斯","631.89","6.47","1.03%","12/31"
"英國指數","4638.92","59.28","1.29%","01/06"
"法國指數","3396.22","36.30","1.08%","01/06"
"德國指數","5026.31","42.32","0.85%","01/06"
"土耳其","28709.41","720.76","2.58%","01/06"
"匈牙利","13413.31","594.58","4.64%","01/06"
"奧地利","1829.44","16.90","0.93%","01/05"
"波蘭股市","28933.57","601.69","2.12%","01/06"
"捷克股市","904.70","20.80","2.35%","01/06"
"瑞典股市","693.76","-0.02","-0.00%","01/05"
"芬蘭股市","5845.05","251.70","4.50%","01/05"
"挪威股市","222.82","7.46","3.46%","01/06"
"希臘指數","1862.32","50.49","2.79%","01/05"
"義大利","16099.00","330.00","2.09%","17:51"
"盧森堡","1041.91","27.52","2.71%","01/06"
"荷蘭","269.27","7.49","2.86%","01/06"
"冰島","355.00","0.22","0.06%","01/06"
"丹麥","280.45","5.07","1.84%","01/06"
"瑞士股市","5799.31","43.22","0.75%","01/06"
"西班牙","1031.67","8.19","0.80%","01/06"
"葡萄牙","2192.77","46.39","2.16%","01/06"
"愛爾蘭","2621.15","119.27","4.77%","01/06"
"以色列","702.90","22.95","3.38%","01/06"
"埃及股市","442.14","1.64","0.37%","01/06"
"南非股市","20825.09","622.03","3.08%","01/06"
"摩洛哥","20360.55","-561.97","-2.69%","01/06"
"約旦指數","2805.15","42.89","1.55%","01/06"
"杜拜指數","1743.90","-19.30","-1.09%","01/06"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","9015.10","62.21","0.69%","01/06"
"那斯達克","1652.38","24.35","1.50%","01/06"
"羅素兩千","514.71","9.68","1.92%","01/06"
"S&P 五百","934.70","7.25","0.78%","01/06"
"費城金銀","121.45","2.67","2.25%","01/06"
"DJ貴金屬","243.13","5.63","2.37%","17:18"
"CBOE黃金","137.56","3.85","2.88%","01/06"
"AMEX金蟲","293.89","6.54","2.28%","01/06"
"AMEX能源","520.52","6.37","1.24%","01/06"
"NYSE能源","10084.94","78.57","0.79%","01/06"
"費城油業","142.18","6.70","4.95%","01/06"
