"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","10070.35","-56.48","-0.56%","17:40"
"澳洲股市","6327.20","-54.10","-0.85%","17:37"
"日經225","21067.23","-124.05","-0.59%","15:15"
"東證一部","1534.98","-6.16","-0.40%","15:00"
"東證二部","6691.07","-27.64","-0.41%","15:00"
"JASDAQ","146.91","-0.87","-0.59%","15:00"
"韓國股市","2081.84","2.83","0.14%","18:03"
"台灣加權","10519.25","-39.04","-0.37%","13:33"
"台灣店頭","135.43","0.39","0.29%","13:33"
"上海綜合","2883.61","-20.10","-0.69%","15:59"
"上海A股","3020.00","-21.06","-0.69%","15:59"
"上海B股","294.49","-1.76","-0.59%","15:59"
"深圳A股","1612.67","-10.12","-0.62%","16:30"
"深圳B股","956.60","-6.31","-0.66%","16:30"
"滬深300","3645.15","-23.58","-0.64%","15:59"
"深證成指","9038.36","-65.00","-0.71%","16:30"
"中小板指","5570.42","-48.41","-0.86%","16:30"
"創業板指","1494.60","-8.46","-0.56%","16:30"
"香港恆生","28122.02","-428.22","-1.50%","16:00"
"香港國企","10764.02","-167.03","-1.53%","16:09"
"香港紅籌","4350.06","-79.17","-1.79%","16:09"
"香港創業板","115.57","-2.58","-2.19%","16:29"
"新加坡","3223.71","-10.57","-0.33%","17:10"
"菲律賓","7646.66","-95.54","-1.23%","15:20"
"馬來西亞","1599.19","-1.90","-0.12%","17:05"
"越南股市","965.34","6.80","0.71%","15:01"
"泰國股市","1633.84","-6.29","-0.38%","16:38"
"印尼股市","6071.20","-64.19","-1.05%","16:15"
"印度股市","37318.53","227.71","0.61%","17:49"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1241.51","33.94","2.81%","18:51"
"英國股市","7241.60","77.92","1.09%","16:35"
"法國股市","5341.35","78.78","1.50%","18:05"
"德國股市","11991.62","114.97","0.97%","17:35"
"土耳其","88022.94","1740.40","2.02%","18:10"
"烏克蘭","569.63","-0.31","-0.05%","16:57"
"匈牙利","40084.64","-453.21","-1.12%","07:00"
"奧地利","3047.34","37.54","1.25%","17:35"
"波蘭股市","56209.08","-180.06","-0.32%","17:15"
"捷克股市","1050.31","6.44","0.62%","16:25"
"希臘股市","775.3","0.14","0.02%","12:40"
"義大利","22822.15","310.36","1.38%","17:43"
"西班牙","921.40","8.58","0.94%","17:38"
"葡萄牙","3077.45","18.94","0.62%","16:35"
"愛爾蘭","6230.72","79.15","1.29%","16:30"
"比利時","3495.15","42.98","1.25%","17:30"
"盧森堡","1379.024","-33.52","-2.37%","11:28"
"荷蘭股市","550.65","6.38","1.17%","18:05"
"芬蘭股市","9084.57","96.68","1.08%","18:36"
"挪威股市","796.55","3.06","0.39%","17:48"
"瑞士股市","9404.08","40.90","0.44%","17:35"
"以色列","1554.44","16.36","1.06%","17:24"
"埃及股市","1357.44","13.35","0.99%","07:00"
"南非股市","50082.90","-83.10","-0.17%","17:00"
"約旦股市","1834.17","4.39","0.24%","15:01"
"杜拜股市","2612.98","87.37","3.46%","13:55"
"阿布達比","4802.58","-126.64","-2.57%","09:00"
