"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","7432.741","-3.35","-0.05%","19:00"
"澳洲股市","5715.50","0.70","0.01%","16:34"
"日經225","19908.58","-104.68","-0.52%","15:15"
"東證一部","1591.55","-0.11","-0.01%","15:00"
"東證二部","5967.99","-13.26","-0.22%","15:00"
"JASDAQ","142.09","-0.71","-0.50%","15:00"
"韓國股市","2357.87","-23.82","-1.00%","18:03"
"台灣加權","10109.96","-89.69","-0.88%","13:47"
"台灣店頭","136.95","-0.69","-0.50%","13:49"
"上海綜合","3139.876","-18.52","-0.59%","15:29"
"上海A股","3288.382","-19.33","-0.58%","15:29"
"上海B股","321.08","-3.88","-1.19%","15:29"
"深圳A股","1921.072","-21.41","-1.10%","15:00"
"深圳B股","1109.271","-1.32","-0.12%","15:00"
"滬深300","3574.39","-1.78","-0.05%","15:01"
"深證成指","10119.99","-57.46","-0.56%","15:00"
"中小板指","6640.79","-54.50","-0.81%","15:00"
"創業板指","1775.55","-20.58","-1.15%","15:00"
"香港恆生","25708.04","-322.25","-1.24%","16:08"
"香港國企","10485.85","-106.32","-1.00%","16:08"
"香港紅籌","4019.63","-46.19","-1.14%","06/12"
"香港創業板","328.53","-1.39","-0.42%","16:21"
"蒙古股市","12525.09","99.47","0.80%","14:10"
"新加坡","3248.34","-5.85","-0.18%","17:10"
"越南股市","751.09","1.37","0.18%","15:01"
"泰國股市","1563.81","-2.84","-0.18%","17:07"
"菲律賓","7990.24","31.61","0.40%","06/09"
"馬來西亞","1788.89","3.32","0.19%","17:05"
"印尼股市","5691.436","15.91","0.28%","16:14"
"印度股市","31095.7","-166.36","-0.53%","17:32"
"巴基斯坦","33252.64","-1107.73","-3.22%","14:27"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1041.49","2.99","0.29%","06/09"
"英國股市","7511.87","-15.46","-0.21%","16:35"
"法國股市","5240.59","-59.12","-1.12%","18:05"
"德國股市","12690.44","-125.28","-0.98%","18:30"
"土耳其","99442.11","499.24","0.50%","18:10"
"匈牙利","35334.48","-76.53","-0.22%","17:25"
"烏克蘭","1025.58","4.69","0.46%","17:05"
"奧地利","3168.56","-40.71","-1.27%","17:45"
"波蘭股市","60354.56","-827.01","-1.35%","17:15"
"捷克股市","1004.46","-3.70","-0.37%","16:45"
"瑞典股市","1638.798","-16.00","-0.97%","17:35"
"芬蘭股市","9782.688","-102.07","-1.03%","18:35"
"挪威股市","640.77","6.62","1.04%","17:02"
"希臘股市","784.6","2.50","0.32%","17:19"
"義大利","23125.95","-242.44","-1.04%","17:37"
"比利時","3899.49","-46.93","-1.19%","18:05"
"盧森堡","1716.333","-5.44","-0.32%","17:35"
"荷蘭股市","521.89","-5.41","-1.03%","18:05"
"冰島股市","1376.24","-1.93","-0.14%","16:35"
"丹麥股市","1002.312","-2.57","-0.26%","17:05"
"瑞士股市","8807.85","-38.00","-0.43%","17:31"
"西班牙","1092.6","-12.32","-1.12%","17:38"
"葡萄牙","2905.61","-28.79","-0.98%","17:05"
"愛爾蘭","6949.97","-53.26","-0.76%","17:00"
"以色列","1420.63","-6.70","-0.47%","16:24"
"埃及股市","667.120","-2.87","-0.43%","19:57"
"南非股市","45168.67","-705.55","-1.54%","17:00"
"約旦股市","2160.35","-3.24","-0.15%","14:59"
"杜拜股市","3427.28","39.33","1.16%","14:00"
"阿布達比","4511.28","12.56","0.28%","14:00"
"奈及利亞","33236.7","-39.98","-0.12%","15:30"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","21235.67","-36.30","-0.17%","16:58"
"NASDAQ","6175.465","-32.45","-0.52%","17:16"
"NYSE綜合","11746.46","1.73","0.01%","18:32"
"S&P 500","2429.39","-2.38","-0.10%","16:58"
"羅素3000","1439.972","-1.28","-0.09%","16:30"
"羅素3000成長","972.23","-3.33","-0.34%","16:30"
"羅素3000價值","1511.55","2.63","0.17%","16:30"
"羅素1000","1346.411","-1.10","-0.08%","16:30"
"羅素2000","1419.211","-2.50","-0.18%","16:30"
"費城金銀","83.42","-0.95","-1.13%","06/12"
"AMEX金蟲","195.00","-1.30","-0.66%","06/12"
"道瓊貴金屬","174.67","-1.44","-0.82%","06/12"
"AMEX能源","667.03","4.38","0.66%","06/12"
"NYSE能源","10351.32","50.47","0.49%","17:24"
"費城油業","138.95","0.76","0.55%","06/12"
"AMEX石油","1137.53","4.80","0.42%","06/12"
"費城半導體","1084.44","-5.61","-0.51%","06/12"
"NBI生技","3067.77","-8.38","-0.27%","06/12"
"AMEX生技","3646.79","-12.48","-0.34%","06/12"
"加拿大","15383.8","-89.41","-0.58%","16:42"
"巴西股市","61700.23","-510.33","-0.82%","17:21"
"墨西哥","49128.76","47.03","0.10%","15:16"
"阿根廷","21145.05","-469.20","-2.17%","17:01"
"智利股市","4850.42","4.09","0.08%","17:14"
"委內瑞拉","101823","9561","10.36%","13:03"
"哥倫比亞","1446.91","-3.54","-0.24%","15:00"
"百慕達","2038.28","0.00","0.00%","close"
"牙買加","235325","-2131","-0.90%","13:08"
"秘魯股市","13366.86","129.20","0.98%","04/30"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波羅的海乾散貨","870.00","21.00","2.47%","06/12"
"波羅的海海岬型","1481.00","43.00","2.99%","06/12"
"波羅的海巴拿馬","833.00","20.00","2.46%","06/12"
"波羅的海輕便型","658.00","4.00","0.61%","06/12"
"VIX波動率","11.46","0.76","7.10%","16:14"
"VXD道瓊波動","10.61","0.02","0.19%","06/12"
"VXN納指波動","16.98","-1.15","-6.34%","06/12"
"羅素大中華","1985.96","20.29","1.03%","18:31"
"道瓊歐洲","3543.95","-42.12","-1.17%","23:03"
"道瓊交通運輸","9388.79","60.91","0.65%","06/12"
"AMEX航空","116.50","-0.40","-0.35%","06/12"
"道瓊公用事業","722.90","-1.95","-0.27%","06/12"
"美國紙業","122.08","-1.04","-0.84%","06/12"
"美林科技100","905.26","-4.50","-0.49%","06/12"
"電腦科技","2210.05","-18.39","-0.83%","06/12"
"電腦碟片","104.65","-0.28","-0.26%","06/12"
"電腦硬體","745.18","-8.04","-1.07%","06/12"
"Dax奢侈品","183.03","0.21","0.11%","09:14"
"msci必需消費","214.71","-0.32","-0.15%","17:04"
"美元指數","97.15","-0.09","-0.09%","16:58"
"歐元指數","112.04","0.08","0.07%","06/12"
"英鎊指數","126.57","-0.93","-0.73%","06/12"
"日圓指數","90.95","0.34","0.37%","06/12"
"澳幣指數","75.41","0.11","0.15%","06/12"
"瑞郎指數","103.26","0.10","0.10%","06/12"
"30年債殖利率","28.68","0.14","0.49%","15:00"
"10年期票利率","22.13","0.14","0.64%","15:00"
"5年期票利率","17.78","0.15","0.85%","15:00"
"3月期票利率","9.73","-0.07","-0.71%","15:00"
"JP新興當地債","283.7230","0.5920","0.21%","06/09"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","175.934","-0.83","-0.47%","17:28"
"高盛商品","206.57","-1.06","-0.51%","06/12"
"高盛綜合商品","195.68","-1.57","-0.80%","06/12"
"Rogers商品","2147.71","6.82","0.32%","06/09"
"CRB工業金屬","1404.05","-5.65","-0.40%","06/12"
"高盛貴金屬","172.08","-0.62","-0.36%","06/12"
"高盛基本金屬","169.64","-1.77","-1.03%","06/12"
"Rogers金屬","1976.31","4.06","0.21%","06/09"
"FTSE金礦","1531.06","0.00","0.00%","06/09"
"道瓊世界原料","279.98","-1.08","-0.38%","06/12"
"msci世界原料","192.99","-0.90","-0.46%","17:04"
"道瓊美國礦產","78.23","0.21","0.27%","06/12"
"CRB能源開採","657.53","7.79","1.20%","06/12"
"高盛能源","93.99","0.20","0.21%","06/12"
"天然氣","521.00","1.84","0.35%","06/12"
"Rogers能源","277.51","1.34","0.49%","06/09"
"msci世界能源","188.42","-1.51","-0.80%","17:04"
"WH乾淨能源","43.72","-0.13","-0.29%","16:02"
"生物能源","116.33","0.11","0.09%","06/12"
"全球替代能源","1353.69","-2.44","-0.18%","17:04"
"ET50環境科技","188.35","-0.52","-0.28%","06/12"
"純淨科技","1674.04","-13.11","-0.78%","06/12"
"WH創新能源","236.03","-0.76","-0.32%","06/12"
"ISE水指數","170.26","-0.78","-0.46%","17:16"
"道瓊水指數","1824.97","12.59","0.69%","06/12"
"CRB農業","5142.32","1.03","0.02%","06/12"
"Dax全球農金","431.81","-0.07","-0.02%","19:42"
"Rogers農產","838.25","1.87","0.22%","06/09"
"高盛農產品","39.32","-0.69","-1.73%","06/12"
"高盛牲畜","195.70","-4.06","-2.03%","06/12"

"商品價格"
"商品","買價","漲跌","比例","台北"
"黃金","1265.17","-1.01","-0.08%","05:00"
"銀","16.9671","0.0051","0.03%","05:55"
"白金","944.4","4.25","0.45%","04:59"
"鈀","897.63","-0.75","-0.08%","05:00"
"銅","2.6096","-0.02","-0.60%","01:59"
"鎳","3.9977","-0.08","-2.03%","01:59"
"鋁","0.8591","-0.01","-1.02%","01:59"
"鋅","1.1115","-0.02","-2.18%","01:58"
"鉛","0.9356","-0.02","-1.64%","01:59"
"鈾","19.25","0.00","0.00%","06/05"
"黃金期貨","1268.9","-2.5","-0.20%","04:59"
"銀期貨","16.944","-0.279","-1.62%","04:59"
"銅期貨","261.55","-3.4","-1.28%","04:59"
"天然氣期","3.024","-0.015","-0.49%","04:59"
"布蘭特油期","48.25","0.1","0.21%","05:29"
"紐約輕原油","46","0.17","0.37%","04:59"
"燃油期貨","142.54","-0.58","-0.41%","04:59"
"玉米期貨","377.25","-10.5","-2.71%","02:19"
"小麥期貨","434","-11.75","-2.64%","02:19"
"可可豆期","2088","50","2.45%","01:29"
"黃豆期貨","931.25","-10.25","-1.09%","02:19"
"黃豆油期貨","31.94","-0.35","-1.08%","02:19"
"咖啡C期","127.6","1.05","0.83%","01:29"
"十一號糖","14.02","-0.25","-1.75%","12:59"
"二號棉期","72.44","-0.05","-0.07%","02:19"
"活牛期貨","121.55","-2.3","-1.86%","02:04"
"瘦豬期貨","80","-2.05","-2.50%","02:04"

"全球匯率"
"貨幣","匯率","漲跌","比例","台北"
"歐元/美元","1.1207","0.0004","0.04","05:53"
"英鎊/美元","1.2678","0.0019","0.15","05:53"
"美元/瑞士法郎","0.9684","-0.0004","-0.04","05:53"
"美元/瑞典克朗","8.7464","-0.0012","-0.01","05:53"
"美元/俄盧布","57.06","-0.0065","-0.01","05:53"
"美元/匈牙利幣","274.36","-0.08","-0.03","05:53"
"美元/土耳其幣","3.5162","0.0004","0.01","05:53"
"美元/南非幣","12.8216","-0.0021","-0.02","05:53"
"美元/以色列幣","3.5424","0.0131","0.37","03:58"
"美元/日圓","109.9","-0.05","-0.05","05:53"
"美元/人民幣","6.7982","0.0002","0.00","23:29"
"美元/港幣","7.7994","0","0.00","05:53"
"美元/台幣","30.19","0.057","0.19","15:59"
"美元/韓圜","1127.30","4.14","0.37","14:29"
"美元/泰銖","34.055","0","0.00","05:54"
"美元/新元","1.3843","0.0001","0.01","05:54"
"美元/菲披索","49.592","0.072","0.15","16:59"
"美元/馬來幣","4.268","0.0027","0.06","16:59"
"美元/印尼盾","13307.50","16.50","0.12","16:59"
"美元/印度盧比","64.4438","0.19","0.30","19:29"
"澳幣/美元","0.7541","0","0.00","05:54"
"紐幣/美元","0.7198","0","0.00","05:54"
"美元/加幣","1.332","-0.0004","-0.03","05:53"
"美元/巴西幣","3.3189","0.0221","0.67","04:59"
"美元/墨披索","18.1286","-0.0063","-0.03","05:54"
"美元/阿根廷","15.9222","0.0231","0.15","01:59"
"美元/智利","661.22","-2.27","-0.34","01:29"

"MSCI指數MSCI產業指數"
"MSCI","指數","單日","本月","今年"
"世界指數","1918.702","-0.21","0.36","9.56"
"中華指數","408.727","-1.11","1.10","22.34"
"金龍指數","175.714","-1.17","0.97","21.14"
"遠東指數","3320.199","0.48","1.85","11.52"
"太平洋","2583.266","0.42","1.53","9.97"
"AC亞太","154.526","-0.19","1.21","14.43"
"歐洲","1665.647","-0.77","-1.16","13.23"
"金磚四國","280.114","-0.98","0.24","15.81"
"新興市場","1008.923","-0.91","0.36","17.01"
"新興亞洲","509.229","-1.04","0.74","21.55"
"新興東歐","143.997","-0.34","-0.80","-1.86"
"新興拉美","2518.896","-0.67","-0.53","7.62"
"歐非中東","257.813","-0.47","-0.76","5.33"
"美國指數","2313.903","-0.09","0.70","8.67"
"澳洲指數","771.441","0.19","0.25","4.10"
"中國","72.203","-1.12","1.22","23.30"
"印度","542.427","-0.66","0.46","21.45"
"俄羅斯","528.446","0.02","-1.48","-12.30"
"巴西","1676.266","-1.31","-3.20","0.27"
"台灣","358.287","-1.34","0.58","17.51"
"韓國","486.040","-1.42","0.24","27.62"
"泰國","389.588","-0.26","-0.57","7.38"
"馬來西亞","364.664","-0.00","1.89","14.71"
"印尼","834.884","0.41","-0.16","11.36"
"土耳其","403.686","0.95","2.56","27.64"
"邊境市場","562.505","-0.40","0.18","12.65"
"南非","499.251","-0.90","-1.08","9.86"

"全球期貨指數"
"股市","指數","漲跌","比例","台北"
"道瓊期指","21184","-23","-0.11","04:59"
"S&P 500","2426.4","-1.85","-0.08","05:00"
"那斯達克100","5719.25","-29","-0.51","04:59"
"多倫多60","904.5","-6.9","-0.76","04:14"
"墨西哥","49069","74","0.15","03:59"
"巴西","61700","-541","-0.88","05:01"
"道瓊歐洲50","3545","-34","-0.96","04:03"
"英國","7510.5","-13","-0.17","03:59"
"法國","5240.5","-52.5","-1.00","03:59"
"德國","12704.5","-98.5","-0.78","04:03"
"西班牙","10827.4","-105.1","-0.97","01:59"
"米蘭MIB 30","20935","-185","-0.88","23:49"
"阿姆斯特丹","521.8","-5.35","-1.03","03:59"
"OMXS300","1637.25","-18.75","-1.15","23:59"
"瑞士市場","8815","-34","-0.39","03:59"
"日經225","19820","-40","-0.20","04:30"
"恆生指數","25588","2","0.01","17:34"
"澳洲雪梨","5675","-15","-0.26","04:58"
"滬深300","3566.2","-6.8","-0.19","14:59"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"ISE邪惡指數","298.96","-2.62","-0.87%","17:15"
"道瓊美國博奕","849.61","-0.71","-0.08%","06/12"
"snet全球博奕","4672.42","-29.25","-0.62%","17:04"
"NSDQ金融","4150.8","4.5","0.11%","17:15"
"NYSE金融","7379.50","0.36","0.00%","16:06"
"銀行","93.86","0.07","0.08%","06/12"
"保險","8462.17","32.34","0.38%","06/12"
"券商指數","223.34","1.42","0.64%","06/12"
"澳洲不動產","1008.90","0.00","0.00%","06/09"
"日本不動產","2798.17","4.02","0.14%","06/12"
"東證REIT","1739.4","4.98","0.29%","02:00"
"恆生地產","35972.95","-496.84","-1.36%","16:08"
"英國不動產","1778.62","2.72","0.15%","06/12"
"歐陸不動產","2732.82","-11.76","-0.43%","10:31"
"歐洲不動產","2396.80","-15.58","-0.65%","06/12"
"道瓊REITs","352.34","2.12","0.61%","06/12"

