"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","5108.93","-3.46","-0.07%","07/18"
"澳洲股市","5519.20","9.30","0.17%","17:41"
"日經225","15215.71","-154.55","-1.01%","07/18"
"東證一部","1263.29","-10.09","-0.79%","07/18"
"東證二部","3822.89","-12.94","-0.34%","15:00"
"JASDAQ","103.98","-0.52","-0.50%","15:00"
"韓國股市","2019.42","-1.48","-0.07%","18:00"
"台灣加權","9400.97","-7.27","-0.08%","07/18"
"台灣店頭","147.84","-0.32","-0.22%","07/18"
"上海綜合","2059.07","3.48","0.17%","07/18"
"上海A股","2155.83","3.63","0.17%","07/18"
"上海B股","226.11","0.55","0.24%","15:29"
"深圳A股","1149.63","2.25","0.20%","15:00"
"深圳B股","885.30","6.92","0.79%","15:00"
"滬深300","2164.14","7.08","0.33%","07/18"
"深證成指","7259.45","64.71","0.90%","07/18"
"香港恆生","23454.79","-66.08","-0.28%","07/18"
"香港國企","10441.23","-25.83","-0.25%","07/18"
"香港紅籌","4539.60","-12.92","-0.28%","07/18"
"蒙古股市","16288.54","-49.03","-0.30%","07/18"
"新加坡","3310.53","3.64","0.11%","17:10"
"海峽中國","227.28","0.55","0.24%","17:10"
"越南股市","596.26","5.89","1.00%","07/18"
"泰國股市","1533.41","-2.25","-0.15%","17:08"
"菲律賓","6853.07","-14.29","-0.21%","07/18"
"馬來西亞","1872.97","-10.17","-0.54%","07/18"
"印尼股市","5087.01","15.81","0.31%","16:00"
"印度股市","25641.56","80.40","0.31%","17:19"
"巴基斯坦","22165.10","35.81","0.16%","14:11"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1276.28","-22.75","-1.75%","18:50"
"英國股市","6749.45","11.13","0.17%","16:35"
"法國股市","4335.31","19.19","0.44%","18:05"
"德國股市","9720.02","-33.86","-0.35%","18:30"
"土耳其","82314.53","531.32","0.65%","17:52"
"匈牙利","17924.70","-101.75","-0.56%","07/18"
"奧地利","2369.65","-18.73","-0.78%","07/18"
"波蘭股市","51315.91","-211.46","-0.41%","17:15"
"捷克股市","944.10","-14.31","-1.49%","07/18"
"瑞典股市","1387.37","11.01","0.80%","18:37"
"芬蘭股市","7620.97","7.97","0.10%","07/18"
"挪威股市","562.61","-6.04","-1.06%","16:45"
"希臘股市","1158.24","-32.03","-2.69%","17:19"
"義大利","22015.25","111.57","0.51%","07/18"
"比利時","3129.24","3.94","0.13%","07/18"
"盧森堡","1548.30","-5.98","-0.38%","07/18"
"荷蘭股市","404.40","-0.44","-0.11%","18:05"
"冰島股市","824.86","0.65","0.08%","07/18"
"丹麥股市","732.28","-7.53","-1.02%","18:37"
"瑞士股市","8511.43","-36.65","-0.43%","17:30"
"西班牙","1075.59","-1.31","-0.12%","17:39"
"葡萄牙","2713.90","-15.39","-0.56%","17:05"
"愛爾蘭","4700.71","-33.39","-0.71%","20:00"
"以色列","1401.26","1.00","0.07%","07/17"
"埃及股市","859.900","1.21","0.14%","close"
"南非股市","46558.12","-83.96","-0.18%","17:00"
"約旦股市","2112.75","-9.00","-0.42%","07/17"
"杜拜股市","4903.46","45.17","0.93%","07/17"
"阿布達比","5033.18","47.68","0.96%","07/17"
"奈及利亞","42891.85","-26.70","-0.06%","15:31"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","17100.18","123.37","0.73%","07/18"
"NASDAQ","4432.15","68.70","1.57%","17:16"
"S&P 500","1978.22","20.10","1.03%","07/18"
"羅素3000","1177.62","12.78","1.10%","18:02"
"羅素3000成長","747.08","9.46","1.28%","16:03"
"羅素3000價值","1318.17","11.90","0.91%","16:03"
"羅素1000","1101.49","11.51","1.06%","18:02"
"羅素2000","1151.61","18.01","1.59%","18:02"
"費城金銀","101.98","-0.47","-0.46%","07/18"
"AMEX金蟲","243.03","-0.73","-0.30%","07/18"
"CBOE黃金","102.45","-0.28","-0.27%","07/18"
"道瓊貴金屬","232.38","-0.65","-0.28%","07/18"
"AMEX能源","993.94","2.69","0.27%","07/18"
"NYSE能源","15417.39","301.63","2.00%","16:07"
"費城油業","304.06","0.22","0.07%","07/18"
"AMEX石油","1670.52","9.69","0.58%","07/18"
"費城半導體","643.44","8.12","1.28%","07/18"
"NBI生技","2620.71","76.74","3.02%","07/18"
