"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","5223.30","-14.21","-0.27%","08/29"
"澳洲股市","5624.60","3.30","0.06%","17:42"
"日經225","15424.59","-35.27","-0.23%","08/29"
"東證一部","1277.97","-2.77","-0.22%","08/29"
"東證二部","4103.88","30.53","0.75%","15:00"
"JASDAQ","104.94","0.21","0.20%","15:00"
"韓國股市","2068.54","-7.22","-0.35%","18:02"
"台灣加權","9436.27","-42.10","-0.44%","08/29"
"台灣店頭","140.64","0.79","0.56%","08/29"
"上海綜合","2217.20","21.38","0.97%","08/29"
"上海A股","2320.99","22.37","0.97%","08/29"
"上海B股","252.95","2.84","1.13%","15:29"
"深圳A股","1265.85","14.20","1.14%","15:00"
"深圳B股","940.20","4.97","0.53%","15:00"
"滬深300","2338.29","27.01","1.17%","08/29"
"深證成指","7841.70","98.16","1.27%","08/29"
"香港恆生","24742.06","1.06","0.00%","08/29"
"香港國企","10963.59","31.99","0.29%","08/29"
"香港紅籌","4813.11","30.81","0.64%","08/29"
"蒙古股市","15896.09","117.92","0.75%","08/29"
"新加坡","3327.09","-3.13","-0.09%","17:10"
"海峽中國","228.80","0.63","0.28%","17:10"
"越南股市","636.65","4.62","0.73%","08/29"
"泰國股市","1561.63","2.58","0.17%","17:08"
"菲律賓","7050.89","-49.81","-0.70%","08/29"
"馬來西亞","1866.11","-9.57","-0.51%","08/29"
"印尼股市","5136.86","-47.62","-0.92%","16:05"
"印度股市","26638.11","77.96","0.29%","08/28"
"巴基斯坦","21014.45","543.59","2.66%","15:58"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1193.71","-25.78","-2.11%","18:40"
"英國股市","6819.75","13.95","0.20%","16:35"
"法國股市","4381.04","15.00","0.34%","18:05"
"德國股市","9470.17","7.61","0.08%","18:30"
"土耳其","80312.94","-524.77","-0.65%","17:55"
"匈牙利","17779.76","130.86","0.74%","08/29"
"奧地利","2301.52","11.14","0.49%","08/29"
"波蘭股市","51868.77","-13.24","-0.03%","17:15"
"捷克股市","980.01","4.10","0.42%","08/29"
"瑞典股市","1388.89","5.86","0.42%","18:36"
"芬蘭股市","7636.68","58.31","0.77%","08/29"
"挪威股市","556.88","-3.36","-0.60%","16:43"
"希臘股市","1161.81","-5.70","-0.49%","17:19"
"義大利","21711.30","96.19","0.45%","08/29"
"比利時","3192.72","-3.84","-0.12%","08/29"
"盧森堡","1553.57","-6.97","-0.45%","08/29"
"荷蘭股市","413.13","0.99","0.24%","18:05"
"冰島股市","862.95","9.13","1.07%","08/29"
"丹麥股市","737.12","-1.74","-0.24%","18:36"
"瑞士股市","8658.97","36.74","0.43%","17:30"
"西班牙","1094.63","0.15","0.01%","17:39"
"葡萄牙","2644.54","17.28","0.66%","17:05"
"愛爾蘭","4783.13","-21.03","-0.44%","20:00"
"以色列","1404.41","-4.13","-0.29%","08/28"
"埃及股市","923.700","3.82","0.42%","close"
"南非股市","45630.44","-209.63","-0.46%","17:00"
"約旦股市","2138.18","0.17","0.01%","08/28"
"杜拜股市","4928.22","-57.91","-1.16%","08/28"
"阿布達比","5070.97","-57.85","-1.13%","08/28"
"奈及利亞","41532.33","172.44","0.42%","15:30"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","17098.45","18.88","0.11%","08/29"
"NASDAQ","4580.27","22.58","0.50%","17:16"
"S&P 500","2003.37","6.63","0.33%","08/29"
"羅素3000","1195.42","4.62","0.39%","18:01"
"羅素3000成長","764.26","2.74","0.36%","16:05"
"羅素3000價值","1327.63","5.52","0.42%","16:05"
"羅素1000","1117.71","4.01","0.36%","18:01"
"羅素2000","1174.35","8.40","0.72%","18:01"
"費城金銀","102.27","1.23","1.22%","08/29"
"AMEX金蟲","245.53","3.07","1.27%","08/29"
"CBOE黃金","104.60","1.51","1.46%","08/29"
"道瓊貴金屬","227.87","2.36","1.05%","08/29"
"AMEX能源","988.01","5.83","0.59%","08/29"
"NYSE能源","16068.01","-553.70","-3.33%","17:19"
"費城油業","295.31","2.27","0.77%","08/29"
"AMEX石油","1689.23","8.92","0.53%","08/29"
"費城半導體","645.25","4.76","0.74%","08/29"
"NBI生技","2892.71","27.75","0.97%","08/29"
"AMEX生技","3131.89","49.96","1.62%","08/29"
"費城藥物","316.32","1.46","0.46%","17:15"
"加拿大","15625.73","67.56","0.43%","18:05"
"巴西股市","61288.15","997.28","1.65%","08/29"
"墨西哥","45628.09","126.81","0.28%","08/29"
"阿根廷","9817.30","-17.49","-0.18%","08/29"
"智利股市","3996.64","32.86","0.83%","08/29"
"秘魯股市","17010.82","-20.56","-0.12%","08/29"
"哥倫比亞","13840.43","32.11","0.23%","04/16"
"百慕達","1391.09","4.48","0.32%","close"
"牙買加","71602.04","-107.83","-0.15%","08/29"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波羅的海乾散貨","1147.00","28.00","2.50%","08/29"
"波羅的海海岬型","2627.00","76.00","2.98%","08/29"
"波羅的海巴拿馬","871.00","29.00","3.44%","08/29"
"波羅的海輕便型","970.00","7.00","0.73%","08/29"
"VIX波動率","11.98","-0.07","-0.58%","16:14"
"VXD道瓊波動","11.37","0.32","2.90%","08/29"
"VXN納指波動","12.71","0.06","0.47%","08/29"
"羅素大中華","2353.35","-14.83","-0.63%","08/28"
"道瓊歐洲","3172.63","8.19","0.26%","23:03"
"道瓊交通運輸","8408.02","2.64","0.03%","08/29"
"AMEX航空","85.98","-0.35","-0.40%","08/29"
"道瓊公用事業","564.37","4.26","0.76%","08/29"
"美國紙業","160.09","0.48","0.30%","08/29"
"美林科技100","639.19","5.03","0.79%","08/29"
"電腦科技","1565.86","8.62","0.55%","08/29"
"電腦碟片","131.15","1.73","1.34%","08/29"
"電腦硬體","640.80","2.21","0.35%","08/29"
"Dax奢侈品","154.92","0.19","0.12%","08/29"
"msci必需消費","197.41","0.12","0.06%","close"
"美元指數","82.74","0.22","0.27%","16:14"
"歐元指數","131.33","-0.51","-0.39%","08/29"
"英鎊指數","165.98","0.08","0.05%","08/29"
"日圓指數","96.08","-0.32","-0.34%","08/29"
"澳幣指數","93.39","-0.18","-0.19%","08/29"
"瑞郎指數","108.90","-0.38","-0.35%","08/29"
"30年債殖利率","30.80","0.08","0.26%","15:00"
"10年期票利率","23.43","0.09","0.39%","15:00"
"5年期票利率","16.28","-0.03","-0.18%","15:00"
"3月期票利率","0.18","-0.04","-18.18%","15:00"
"JP新興當地債","305.1700","-1.3860","-0.45%","08/28"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","292.75","1.41","0.48%","08/29"
