"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","18217.27","-21.68","-0.12","7/17"
"東證一部","1778.11","-5.09","-0.29","7/17"
"東證二部","4233.78","-9.53","-0.22","7/17"
"JASDAQ","80.95","-0.29","-0.36","7/17"
"上海綜合","3896.19","74.27","1.94","07/17"
"上海A股","4087.51","77.97","1.94","07/17"
"上海B股","274.50","4.82","1.79","07/17"
"香港恆生","23057.30","103.36","0.45","07/17"
"香港國企","13081.88","45.87","0.35","07/17"
"香港紅籌","4467.80","25.91","0.58","07/17"
"台灣加權","9509.73","92.41","0.98","13:46"
"台灣店頭","216.82","2.78","1.30","13:46"
"韓國指數","1949.51","-13.42","-0.68","07/16"
"新加坡","3651.05","-2.18","-0.06","17:05"
"馬來西亞","1377.48","-4.03","-0.29","17:00"
"菲律賓","3729.68","-23.58","-0.63","12:11"
"印尼股市","2301.34","15.12","0.66","17:09"
"越南股市","1000.33","4.50","0.45","10:57"
"泰國股市","856.91","-0.17","-0.02","17:02"
"印度股市","15289.82","-21.40","-0.14","16:28"
"斯里蘭卡","2388.38","-37.58","-1.55","14:15"
"澳洲股市","6418.20","-0.20","-0.00","17:47"
"紐西蘭","4258.84","18.48","0.44","14:31"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2055.21","-11.53","-0.56","07/17"
"英國指數","6659.10","-38.60","-0.58","07/17"
"法國指數","6099.21","-26.39","-0.43","07/17"
"德國指數","8038.21","-67.48","-0.83","07/17"
"道瓊歐洲","4538.31","-19.26","-0.42","07/17"
"土耳其","51643.83","-130.60","-0.25","07/17"
"匈牙利","29840.94","-164.16","-0.55","07/17"
"奧地利","4872.98","-52.09","-1.06","07/17"
"波蘭股市","65056.70","-22.73","-0.04","07/17"
"捷克股市","1852.80","2.50","0.14","07/17"
"盧森堡","2506.51","-24.97","-0.99","07/17"
"義大利","33085.00","-188.00","-0.56","16:43"
"西班牙","1667.55","4.31","0.26","07/17"
"瑞士股市","9219.32","-80.48","-0.86","07/17"
"瑞典股市","1300.28","-11.59","-0.88","07/17"
"芬蘭股市","11735.36","-53.84","-0.46","07/17"
"挪威股市","437.93","-2.48","-0.56","07/17"
"以色列","1156.04","1.10","0.10","07/17"
"埃及股市","74590.97","-286.12","-0.38","07/17"
"南非股市","26841.21","-268.61","-0.99","07/17"
"摩洛哥","23959.08","47.97","0.20","07/17"
"約旦指數","5722.91","-4.80","-0.08","07/17"
"杜拜指數","4419.49","-80.46","-1.79","07/17"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13971.55","20.57","0.15","16:30"
"NASDAQ","2712.29","14.96","0.56","17:17"
"羅素2000","849.89","1.42","0.17","16:59"
"S&P 500","1549.37","-0.15","-0.01","16:59"
"DJ貴金屬","302.76","-1.10","-0.36","17:28"
"CBOE黃金","153.93","-0.26","-0.17","16:49"
"AMEX金蟲","351.20","-1.50","-0.42","16:55"
"費城金銀","149.07","-0.44","-0.29","07/17"
"費城油業","268.92","-2.79","-1.03","07/17"
"AMEX石油","1473.52","-15.54","-1.04","16:55"
"NYSE能源","14453.80","-79.10","-0.54","17:05"
"AMEX能源","725.10","-6.50","-0.89","16:55"
"費城半導","546.59","15.68","2.95","07/17"
"NSDQ金融","3179.50","0.87","0.03","17:17"
