"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3365.87","-20.61","-0.61%","17:31"
"澳洲股市","5001.70","6.60","0.13%","16:36"
"日經225","10605.70","-12.18","-0.11%","15:28"
"東證一部","946.63","2.61","0.28%","15:00"
"東證二部","2367.91","10.68","0.45%","15:00"
"JASDAQ","54.92","0.24","0.44%","15:11"
"韓國股市","2008.50","-37.08","-1.81%","18:05"
"台灣加權","8836.56","-170.26","-1.89%","13:46"
"台灣店頭","143.01","-1.25","-0.87%","13:46"
"上海綜合","2818.16","44.10","1.59%","15:15"
"上海A股","2950.75","46.24","1.59%","15:15"
"上海B股","306.49","3.51","1.16%","15:15"
"深圳A股","1276.54","36.33","2.93%","15:00"
"深圳B股","824.74","5.60","0.68%","15:00"
"滬深300","3104.16","63.21","2.08%","15:01"
"深證成指","12170.50","362.59","3.07%","15:00"
"香港恆生","22708.60","-455.41","-1.97%","16:01"
"香港國企","12022.60","-256.00","-2.08%","16:01"
"香港紅籌","3953.43","-104.78","-2.58%","16:01"
"新加坡","3103.39","-47.17","-1.50%","17:10"
"海峽中國","310.16","-5.82","-1.84%","16:40"
"越南股市","520.23","-2.36","-0.45%","11:02"
"泰國股市","949.09","-20.80","-2.14%","17:01"
"菲律賓","3738.31","-105.06","-2.73%","14:00"
"馬來西亞","1503.99","-32.08","-2.09%","17:05"
"印尼股市","3373.64","-43.83","-1.28%","16:00"
"印度股市","17463.00","-129.73","-0.74%","18:00"
"巴基斯坦","8459.44","-72.64","-0.85%","17:19"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1846.92","-53.36","-2.81%","02/10"
"英國股市","6020.01","-32.28","-0.53%","02/10"
"法國股市","4095.14","4.40","0.11%","02/10"
"德國股市","7340.28","19.38","0.26%","02/10"
"土耳其","64421.50","-1148.08","-1.75%","02/10"
"匈牙利","22084.00","-539.25","-2.38%","02/10"
"奧地利","2974.58","-9.24","-0.31%","17:33"
"波蘭股市","47242.10","-551.74","-1.15%","02/10"
"捷克股市","1235.90","-15.10","-1.21%","02/10"
"瑞典股市","1127.00","-7.83","-0.69%","02/10"
"芬蘭股市","7837.27","-75.06","-0.95%","18:30"
"挪威股市","398.25","-2.05","-0.51%","02/10"
"希臘股市","1632.06","-58.52","-3.46%","17:19"
"義大利","23218.40","-95.57","-0.41%","02/10"
"盧森堡","1509.98","-12.05","-0.79%","02/10"
"荷蘭股市","370.61","1.43","0.39%","02/10"
"冰島股市","619.85","1.05","0.17%","02/10"
"丹麥股市","462.10","-6.29","-1.34%","17:00"
"瑞士股市","6612.06","-19.58","-0.30%","02/10"
"西班牙","1103.17","-15.75","-1.41%","02/10"
"葡萄牙","2843.04","-49.67","-1.72%","02/10"
"愛爾蘭","2937.12","-4.73","-0.16%","02/10"
"以色列","1302.38","-10.80","-0.82%","02/10"
"埃及股市","540.58","-58.21","-9.72%","01/27"
"南非股市","29247.50","-259.51","-0.88%","02/10"
"約旦股市","2367.51","-15.58","-0.65%","14:00"
"杜拜股市","1598.40","-4.43","-0.28%","02/10"
"阿布達比","2710.61","1.48","0.05%","02/10"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12229.30","-10.60","-0.09%","02/10"
"那斯達克","2790.45","1.38","0.05%","02/10"
"羅素兩千","812.70","3.43","0.42%","16:49"
"S&P 五百","1321.87","0.99","0.07%","02/10"
"費城金銀","204.49","-1.80","-0.87%","02/10"
"DJ貴金屬","417.06","-3.64","-0.86%","16:05"
