"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","15608.88","128.69","0.83","12/05"
"東證一部","1526.63","11.13","0.73","12/05"
"東證二部","3352.48","-14.40","-0.43","12/05"
"JASDAQ","75.43","0.04","0.05","12/05"
"上海綜合","5042.65","126.76","2.58","12/05"
"上海A股","5291.46","133.10","2.58","12/05"
"上海B股","354.72","7.86","2.27","12/05"
"滬深300","4965.95","136.73","2.83","12/05"
"香港恆生","29345.45","465.86","1.61","12/05"
"香港國企","17640.15","445.06","2.59","12/05"
"香港紅籌","6417.01","106.32","1.68","12/05"
"台灣加權","8676.95","25.67","0.30","12/05"
"台灣店頭","164.48","2.78","1.72","12/05"
"韓國指數","1938.20","20.37","1.06","12/05"
"新加坡","3560.05","32.18","0.91","12/05"
"馬來西亞","1427.77","11.96","0.84","12/05"
"菲律賓","3648.71","4.26","0.12","12/05"
"印尼股市","2768.06","15.12","0.55","12/05"
"越南股市","976.21","-12.70","-1.28","12/05"
"泰國股市","833.34","2.22","0.27","12/04"
"印度股市","19738.07","208.57","1.07","12/05"
"澳洲股市","6630.00","61.60","0.94","10:07"
"紐西蘭","4024.76","-9.80","-0.24","07:44"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2262.28","57.86","2.62","12/05"
"英國指數","6493.80","178.60","2.83","12/05"
"法國指數","5659.07","111.86","2.02","12/05"
"德國指數","7944.77","135.83","1.74","12/05"
"道瓊歐洲","4410.00","70.90","1.63","12/05"
"土耳其","55521.18","1507.88","2.79","12/05"
"匈牙利","25943.45","544.51","2.14","12/05"
"奧地利","4448.99","79.34","1.82","12/05"
"波蘭股市","58142.96","1628.59","2.88","12/05"
"捷克股市","1778.80","22.20","1.26","12/05"
"盧森堡","2354.20","47.19","2.05","12/05"
"義大利","29947.00","494.00","1.68","16:43"
"西班牙","1713.94","9.78","0.57","12/05"
"瑞士股市","8758.19","113.15","1.31","12/05"
"瑞典股市","1101.87","20.65","1.91","12/05"
"芬蘭股市","11764.54","177.51","1.53","12/05"
"挪威股市","419.74","9.15","2.23","12/05"
"以色列","1207.19","23.24","1.96","12/05"
"埃及股市","88793.61","890.22","1.01","12/05"
"南非股市","27404.95","176.22","0.65","12/05"
"摩洛哥","25472.30","-125.63","-0.49","12/05"
"約旦指數","7117.74","58.13","0.82","12/05"
"杜拜指數","5534.66","75.33","1.38","12/05"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13444.96","196.23","1.48","16:30"
"NASDAQ","2666.36","46.53","1.78","17:17"
"羅素2000","765.64","13.58","1.81","16:59"
"S&P 500","1485.01","22.22","1.52","16:59"
"費城金銀","171.13","0.54","0.32","12/05"
"DJ貴金屬","349.39","1.17","0.34","17:33"
"CBOE黃金","173.84","-0.26","-0.15","16:49"
"AMEX金蟲","402.97","-2.89","-0.71","16:51"
"AMEX能源","745.55","13.10","1.79","16:51"
"NYSE能源","14715.43","286.17","1.98","17:05"
"費城油業","288.58","1.43","0.50","12/05"
"AMEX石油","1445.74","23.02","1.62","16:51"
"費城半導","421.72","10.08","2.45","12/05"
"NSDQ金融","2919.74","34.35","1.19","17:17"
"NYSE金融","8633.64","152.13","1.79","17:05"
"NBI生技","865.59","12.76","1.50","17:17"
"AMEX生技","817.46","6.59","0.81","16:51"
"費城藥物","214.02","1.94","0.92","12/05"
"加拿大","13734.54","154.92","1.14","12/05"
"巴西指數","64927.96","1446.43","2.28","12/05"
"墨西哥","30761.64","762.85","2.54","15:06"
"阿根廷","2211.85","24.91","1.14","12/05"
"智利","3212.60","57.72","1.83","12/05"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"波海乾貨航運","10285.00","15.00","0.15","12/04"
"波海海峽航運","15405.00","-17.00","-0.11","12/04"
"波海巴拿馬航運","10085.00","29.00","0.29","12/04"
"VIX波動率","22.53","-1.26","-5.30","16:14"
"DJ交通運輸","4684.37","65.31","1.41","16:30"
"道瓊公用事業","550.13","7.79","1.44","16:30"
"歐洲公用事業","368.40","2.61","0.71","17:45"
"全球公用事業","8408.07","62.53","0.75","16:15"
"ISE水指數","87.30","1.47","1.71","16:44"
"道瓊水指數","744.08","8.26","1.12","16:03"
"NSDQ純淨優勢","589.62","15.46","2.69","16:44"
"純淨科技","1484.26","28.79","1.98","16:44"
"WH革新能源","267.52","2.99","1.13","16:43"
"WH乾淨能源","251.39","6.32","2.58","16:44"
"全球乾淨能源","3646.69","85.80","2.41","16:34"
"ISE替代能源","62.58","1.52","2.49","16:44"
"全球替代能源","3836.96","99.98","2.67","16:34"
"生物能源","624.65","11.46","1.87","16:34"
"AMEX環境服務","1047.31","3.53","0.34","16:44"
"歐洲環境控制","181.70","-0.40","-0.22","17:45"
"美國環境控制","102.85","-0.04","-0.04","16:15"
"KLD社會責任","128.72","1.85","1.46","16:44"
"Clvrt社會責任","88.64","1.40","1.60","16:07"
"ISE邪惡指數","130.30","1.02","0.79","16:44"
"MSCI世界能源","282.58","-1.62","-0.57","12/04"
"MSCI世界原料","293.62","-2.87","-0.97","12/04"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"Rogers商品","4189.89","-19.29","-0.46","17:36"
"Rogers能源","1219.70","-6.98","-0.57","12/4"
"Rogers金屬","2171.64","-9.18","-0.42","12/4"
"Rogers農產","1276.47","10.94","0.86","12/4"
"日本不動產","3336.64","55.19","1.68","11:14"
"東證REIT","1952.85","29.49","1.53","11:00"
"澳洲不動產","1870.18","42.49","2.33","13:14"
"新加坡不動產","1292.18","22.37","1.76","12/05"
"恆生地產","39701.70","161.73","0.41","11:14"
"亞洲REIT","169.64","2.05","1.22","10:25"
"英國不動產","2042.71","70.89","3.60","12/05"
"歐陸不動產","2392.68","52.27","2.23","12/05"
"歐洲不動產","3004.62","51.91","1.76","12/05"
"DJ權益REIT","270.67","8.30","3.16","12/05"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"CRB指數","339.51","-0.57","-0.17","12/05"
"MS商品指數","818.08","11.20","1.39","12/05"
"高盛商品指數","7046.58","-24.84","-0.35","12/04"
"高盛農產品","364.66","5.43","1.51","12/04"
"高盛家畜指數","225.74","-1.34","-0.59","12/04"
"高盛工業金屬","403.99","-5.89","-1.44","12/04"
"天然氣","551.54","10.59","1.96","12/05"
"AMEX航空","38.59","-0.51","-1.30","12/05"
"銀行","96.02","1.42","1.50","12/05"
"醫療服務","435.28","1.51","0.35","12/05"
"電腦科技","951.45","25.05","2.70","12/05"
"電腦硬體","244.53","5.39","2.25","12/05"
"保險","4104.99","33.69","0.83","12/05"
"美國紙業","134.87","1.40","1.05","12/05"
"零售業","440.32","2.85","0.65","12/05"
"掮客商指數","205.80","2.63","1.29","12/05"
"美元指數","76.50","0.82","1.09","12/05"
"歐元指數","146.22","-1.37","-0.93","12/05"
"日圓指數","90.44","-0.54","-0.59","12/05"
"澳幣指數","87.11","-0.30","-0.34","12/05"
"30年債券價格","117.69","-0.38","-0.32","12/05"
"30年債殖利率","43.91","0.45","1.04","12/05"
"10年期票利率","39.11","0.22","0.57","12/05"
"5年期票殖利率","32.76","-0.01","-0.03","12/05"
"3月期票殖利率","29.80","0.00","0.00","12/05"
"Put/Call比例","0.89","-0.18","-16.82","12/05"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","時間"
"黃金","795.20","-2.80","-0.35","5:49"
"銀","14.28","-0.07","-0.49","5:31"
"白金","1469.00","0.00","0.00","22:31"
"鈀","348.00","0.00","0.00","18:40"
"銅","3.0131","+0.0000","+0.00","4:38"
"鎳","11.6733","+0.0000","+0.00","4:38"
"鋁","1.0943","-0.0014","-0.12","4:41"
"鋅","1.0904","+0.0000","+0.00","4:38"
"鉛","1.2750","+0.0000","+0.00","4:38"
"黃金期貨","803.700","-3.900","-0.48","2:39"
"銀期貨","14.460","-0.005","-0.03","2:50"
"銅期貨","304.000","2.000","0.66","2:16"
"天然氣期","7.203","0.048","0.67","5:24"
"布蘭特油期","88.490","-1.040","-1.16","4:29"
"WTI原油期","87.290","-1.030","-1.17","5:24"
"玉米期貨","411.250","0.000","0.00","3:15"
"小麥期貨","885.000","-9.000","-1.01","3:15"
"可可粉期","1005.000","17.000","1.72","1:00"
"大豆期貨","1099.500","8.000","0.73","3:14"
"咖啡C期","131.150","0.550","0.42","4:14"
"十一號糖","9.850","0.110","1.13","4:14"
"二號棉期","63.600","0.100","0.16","4:14"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","時間"
"歐元/美元","1.4612","-0.0146","-0.99","4:53"
"英鎊/美元","2.0264","-0.0328","-1.59","4:53"
"美元/瑞士法郎","1.1274","0.0108","0.97","4:53"
"美元/俄盧布","24.5300","0.1383","0.57","4:53"
"美元/匈牙利幣","172.5300","0.8650","0.50","4:53"
"美元/土耳其幣","1.1774","-0.0080","-0.67","4:53"
"美元/南非幣","6.7662","-0.0558","-0.82","4:51"
"美元/日圓","110.9000","1.0400","0.95","4:53"
"美元/人民幣","7.4000","-0.0065","-0.09","2:46"
"美元/港幣","7.7962","0.0064","0.08","4:52"
"美元/台幣","32.3150","0.0085","0.03","14:59"
"美元/韓圜","924.5000","0.3000","0.03","4:07"
"美元/泰銖","30.2800","-0.2450","-0.80","4:43"
"美元/新元","1.4488","0.0031","0.21","4:53"
"美元/馬來幣","3.3400","-0.0020","-0.06","4:40"
"美元/印尼盾","9240.0000","-65.0000","-0.70","4:40"
"美元/印度盧比","39.4860","0.0712","0.18","18:41"
"澳幣/美元","0.8698","-0.0040","-0.46","4:53"
"紐幣/美元","0.7692","0.0060","0.79","4:53"
"美元/巴西幣","1.7965","-0.0145","-0.80","4:02"
"美元/墨披索","10.8450","-0.0413","-0.38","4:53"
"美元/加幣","1.0130","0.0024","0.24","4:53"

"MSCI 指數"
"MSCI","指數","單日","一個月","三個月","YTD"
"新興市場","1269.44","1.82","2.20","5.36","39.09"
"新興亞洲","527.40","1.18","2.08","2.74","41.98"
"新興東歐","383.16","3.32","3.47","13.49","23.83"
"新興拉美","4447.80","3.13","2.27","7.44","48.47"
"中國","91.02","2.15","2.41","3.15","74.82"
"印度","643.14","1.07","3.36","18.42","64.64"
"俄羅斯","1526.18","3.67","3.81","16.49","22.07"
"巴西","3856.84","3.56","2.45","12.42","74.88"
"台灣","300.47","0.49","0.85","-5.62","7.76"
"韓國","452.16","0.93","1.74","-1.43","34.30"
"泰國","256.55","0.00","-1.96","1.30","35.25"
"馬來西亞","395.98","0.63","2.75","8.03","37.19"
"印尼","703.67","0.43","5.06","21.98","56.61"
"菲律賓","362.95","0.42","3.80","7.25","37.89"
"土耳其","749.38","3.69","2.66","5.55","69.65"
"捷克","826.45","1.09","2.04","14.56","51.23"
"匈牙利","1130.04","1.79","0.51","-6.77","12.66"
"波蘭","1583.85","3.02","3.44","7.33","29.47"
"以色列","257.40","0.54","1.53","2.58","32.43"
"埃及","1218.97","1.16","4.49","17.68","47.00"
"墨西哥","6247.80","2.89","3.15","0.90","13.94"
"阿根廷","3056.88","0.55","-0.37","-6.92","-0.88"

