"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","17419.20","256.00","1.49","close"
"東證一部","1731.80","23.51","1.38","close"
"東證二部","4230.76","28.92","0.69","close"
"JASDAQ","85.43","0.72","0.85","close"
"上海綜合","3071.23","13.85","0.45","03/22"
"上海A股","3227.02","14.60","0.45","03/22"
"上海B股","177.99","0.35","0.20","03/22"
"香港恆生","19690.25","173.84","0.89","16:19"
"香港國企","9413.70","106.54","1.14","16:19"
"香港紅籌","3381.80","-7.40","-0.22","16:19"
"台灣","7823.67","66.64","0.86","13:46"
"韓國","1448.53","5.68","0.39","18:06"
"新加坡","3219.51","63.82","2.02","17:05"
"馬來西亞","1221.72","12.38","1.02","17:00"
"菲律賓","3178.32","87.85","2.84","12:11"
"印尼","1809.07","29.83","1.68","17:08"
"越南","1099.82","-11.81","-1.06","15:28"
"泰國","674.84","5.28","0.79","17:02"
"印度","13308.03","362.15","2.80","16:28"
"澳洲","5935.40","89.10","1.52","16:47"
"日本不動產","4198.90","30.37","0.73","15:45"
"東證REIT","2355.48","6.47","0.28","15:01"
"澳洲不動產","1888.57","38.92","2.10","18:15"
"新加坡不動產","1466.07","29.55","2.06","03/21"
"恆生地產","23476.84","516.48","2.25","17:01"
"亞洲REIT","189.18","1.56","0.83","16:30"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"英國","6318.00","61.20","0.98","16:36"
"法國","5598.37","96.19","1.75","18:10"
"德國","6856.96","144.90","2.16","18:32"
"俄羅斯","1889.62","42.36","2.29","03/22"
"道瓊歐洲","4170.08","91.79","2.25","18:22"
"土耳其","43239.83","820.44","1.93","16:44"
"匈牙利","23341.85","279.68","1.21","16:36"
"奧地利","4633.75","92.83","2.04","17:35"
"波蘭","56315.40","1080.48","1.96","16:40"
"捷克","1691.00","9.60","0.57","17:13"
"愛沙尼亞","880.53","19.00","2.21","14:05"
"拉托維亞","675.97","5.74","0.86","14:05"
"立陶宛","489.21","3.04","0.62","14:05"
"盧森堡","2373.52","68.95","2.99","16:10"
"義大利","32261.00","493.00","1.55","17:43"
"西班牙","1607.96","19.23","1.21","17:42"
"瑞士","9074.25","132.09","1.48","17:30"
"瑞典","1223.57","18.90","1.57","17:44"
"芬蘭","10387.88","195.53","1.92","18:32"
"挪威","383.02","1.33","0.35","16:24"
"英國不動產","3135.02","10.09","0.32","17:37"
"歐陸不動產","3333.04","31.23","0.95","17:45"
"歐洲不動產","4086.14","42.86","1.06","17:45"
"以色列","968.09","9.70","1.01","16:30"
"埃及","62991.97","412.71","0.66","13:44"
"南非","23997.31","249.35","1.05","16:00"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","12461.14","13.62","0.11","16:30"
"NASDAQ","2451.74","-4.18","-0.17","17:16"
"羅素2000","808.05","0.58","0.07","16:59"
"S&P 500","1434.54","-0.50","-0.04","16:59"
"DJ貴金屬","271.39","-2.30","-0.84","17:32"
"CBOE黃金","144.26","-0.95","-0.65","16:49"
"AMEX金蟲","340.52","-1.31","-0.38","16:36"
"費城金銀","137.67","-1.03","-0.74","03/22"
"費城油業","214.80","3.24","1.53","03/22"
"AMEX石油","1202.14","18.86","1.59","16:36"
"NYSE能源","11775.75","147.48","1.27","17:06"
"AMEX能源","600.22","10.53","1.79","16:36"
"費城半導","476.26","-6.19","-1.28","03/22"
"NSDQ金融","3122.17","-15.93","-0.51","17:16"
"NYSE金融","9535.01","-36.63","-0.38","17:06"
"ISE水指數","76.87","-0.03","-0.04","16:29"
"道瓊水指數","720.29","4.87","0.68","17:25"
"道瓊權益REIT","331.35","-0.43","-0.13","16:49"
"NBI生技","777.35","1.85","0.24","17:16"
"AMEX生技","753.41","2.74","0.36","16:36"
"費城藥物","205.68","-1.03","-0.50","03/22"
"加拿大","13139.64","-15.91","-0.12","03/22"
"巴西","45424.18","-206.68","-0.45","03/22"
"墨西哥","28258.80","39.25","0.14","03/22"
"阿根廷","2073.93","-9.70","-0.47","03/22"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","時間"
"黃金","664.30","0.00","0.00","5:15"
"銀","13.47","-0.02","-0.15","5:48"
"白金","1240.00","0.00","0.00","5:05"
"鈀","358.00","+1.00","+0.28","4:20"
"銅","3.0686","+0.0316","+1.04","1:51"
"鎳","22.3923","+0.6350","+2.94","1:49"
"鋁","1.2666","+0.0043","+0.34","1:58"
"鋅","1.4568","+0.0153","+1.07","1:50"
"鉛","0.8996","+0.0072","+0.81","1:50"
"黃金期貨","664.200","4.200","00.64","1:38"
"銀期貨","13.480","0.160","01.20","1:37"
"銅期貨","6655.000","-41.000","-00.61","03/21"
"天然氣期","7.320","0.160","02.23","03/22"
"WTI原油期","61.690","2.080","03.49","03/22"
"玉米期貨","409.500","-0.250","-00.06","03/22"
"小麥期貨","467.000","1.500","00.32","2:15"
"可可粉期","1901.000","7.000","00.37","0:33"
"大豆期貨","771.750","5.250","00.68","03/22"
"咖啡C期","111.750","-0.750","-00.67","1:02"
"十一號糖","10.220","0.030","00.29","1:20"
"二號棉期","53.220","0.110","00.21","2:22"

"全球匯率 (Currency Exchange)"
"貨幣","匯率","漲跌","比例","時間"
"歐元/美元","1.3330","-0.0056","-0.4184","4:53"
"英鎊/美元","1.9648","-0.0030","-0.1550","4:53"
"美元/瑞士法郎","1.2146","0.0050","0.4092","4:53"
"美元/俄盧布","26.0140","0.0402","0.1546","4:53"
"美元/匈牙利幣","184.7000","1.1100","0.6046","4:50"
"美元/土耳其幣","1.3860","0.0032","0.2278","4:44"
"美元/南非幣","7.2035","-0.0695","-0.9556","4:53"
"美元/日圓","118.1100","0.5700","0.4849","4:53"
"美元/人民幣","7.7340","0.0010","0.0129","1:03"
"美元/港幣","7.8088","-0.0019","-0.0243","4:50"
"美元/台幣","33.0450","-0.1100","-0.3318","0:47"
"美元/韓圜","937.9000","-0.1000","-0.0107","1:49"
"美元/泰銖","32.0000","-0.1650","-0.5130","4:18"
"美元/新元","1.5194","-0.0016","-0.1052","4:52"
"美元/馬來幣","3.4675","-0.0065","-0.1871","0:10"
"美元/印尼盾","9111.5000","-20.5000","-0.2245","4:00"
"美元/印度盧比","43.7450","0.3000","0.6905","19:39"
"澳幣/美元","0.8066","-0.0014","-0.1671","4:52"
"紐幣/美元","0.7118","0.0015","0.2112","4:53"
"美元/巴西幣","2.0610","0.0075","0.3652","4:53"
"美元/墨披索","10.9900","-0.0164","-0.1495","4:53"
"美元/加幣","1.1570","0.0014","0.1168","4:53"

"MSCI 指數"
"MSCI","指數","漲跌","YTD","日期"
"金磚四國","277.224","1.397%","-2.295","3/22"
"中國","49.763","0.901%","-4.417","3/22"
"印度","380.998","2.078%","-2.467","3/22"
"俄羅斯","1179.517","2.298%","-5.66","3/22"
"巴西","2287.976","0.665%","3.743","3/22"
"新興市場","921.664","1.368%","0.988","3/22"
"新興亞洲","369.748","1.173%","-0.462","3/22"
"新興東歐","298.947","2.223%","-3.388","3/22"
"新興拉美","3129.174","0.397%","4.457","3/22"
"世界","377.471","0.88%","2.634","3/22"
"歐洲","549.814","1.867%","3.437","3/22"
"遠東ex日本","428.342","1.206%","0.639","3/22"
"中華","282.150","1.029%","-2.502","3/22"
"歐洲小型","321.872","1.214%","7.229","3/22"
"日本小型","107.160","1.239%","4.961","3/22"
"美國小型","306.676","0.128%","2.506","3/22"
"世界小型","248.012","0.795%","4.923","3/22"
"日本","3349.788","1.479%","4.411","3/22"
"香港","7244.218","1.184%","-0.078","3/22"
"世界能源","233.71","4.18","1.82","03/22"
"世界原料","247.25","2.98","1.22","03/22"

