"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3317.33","7.47","0.23%","17:31"
"澳洲股市","4351.50","-17.60","-0.40%","16:35"
"日經225","8541.93","-61.77","-0.72%","15:28"
"東證一部","730.91","-4.94","-0.67%","15:00"
"東證二部","2042.62","-1.61","-0.08%","15:00"
"JASDAQ","47.27","-0.42","-0.88%","15:11"
"韓國股市","1886.12","-16.69","-0.88%","18:05"
"台灣加權","7491.06","-34.59","-0.46%","13:46"
"台灣店頭","104.26","-0.87","-0.83%","13:46"
"上海綜合","2529.76","1.05","0.04%","15:15"
"上海A股","2649.63","1.05","0.04%","15:15"
"上海B股","258.67","1.06","0.41%","15:15"
"深圳A股","1139.08","4.15","0.37%","15:00"
"深圳B股","623.22","-0.51","-0.08%","15:00"
"滬深300","2744.68","-5.52","-0.20%","15:01"
"深證成指","10583.00","-62.69","-0.59%","15:00"
"香港恆生","19348.40","-159.74","-0.82%","16:01"
"香港國企","10637.90","-79.04","-0.74%","16:01"
"香港紅籌","3827.90","-28.21","-0.73%","16:01"
"新加坡","2811.58","-18.56","-0.66%","17:10"
"海峽中國","228.70","-1.51","-0.66%","16:40"
"越南股市","387.87","-3.87","-0.99%","11:02"
"泰國股市","984.97","0.69","0.07%","17:01"
"菲律賓","4363.73","6.86","0.16%","14:00"
"馬來西亞","1477.22","-1.65","-0.11%","17:05"
"印尼股市","3813.84","-19.20","-0.50%","16:00"
"印度股市","16882.70","-236.07","-1.38%","18:00"
"巴基斯坦","8293.44","-10.85","-0.13%","17:13"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1526.98","-0.18","-0.01%","11/15"
"英國股市","5517.44","-1.60","-0.03%","11/15"
"法國股市","3049.13","-59.82","-1.92%","11/15"
"德國股市","5933.14","-51.88","-0.87%","11/15"
"土耳其","55922.50","46.81","0.08%","11/15"
"匈牙利","16556.90","104.14","0.63%","11/15"
"奧地利","1878.24","-36.52","-1.91%","17:35"
"波蘭股市","40042.70","-192.26","-0.48%","11/15"
"捷克股市","892.00","-15.30","-1.69%","11/15"
"瑞典股市","959.34","-3.58","-0.37%","11/15"
"芬蘭股市","5574.44","-60.67","-1.08%","18:30"
"挪威股市","358.57","-1.02","-0.28%","11/15"
"希臘股市","735.65","-27.20","-3.57%","17:19"
"義大利","16080.40","-163.49","-1.01%","11/15"
"比利時","2067.88","-21.16","-1.01%","11/15"
"盧森堡","1111.79","1.05","0.09%","11/15"
"荷蘭股市","292.93","-3.97","-1.34%","11/15"
"冰島股市","572.58","0.19","0.03%","11/15"
"丹麥股市","376.41","0.87","0.23%","17:00"
"瑞士股市","5664.91","3.20","0.06%","11/15"
"西班牙","825.35","-13.97","-1.66%","11/15"
"葡萄牙","2168.02","-20.92","-0.96%","11/15"
"愛爾蘭","2663.27","-31.41","-1.17%","11/15"
"以色列","1117.15","-5.26","-0.47%","11/15"
"埃及股市","426.67","0.01","0.00%","11/15"
"南非股市","29305.60","336.71","1.16%","11/15"
"約旦股市","2028.80","-8.43","-0.41%","11/15"
"杜拜股市","1388.23","0.42","0.03%","11/15"
"阿布達比","2480.07","-6.76","-0.27%","11/15"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","12096.20","17.18","0.14%","11/15"
"那斯達克","2686.20","28.98","1.09%","11/15"
"羅素兩千","743.08","10.19","1.39%","16:49"
"S&P 五百","1257.81","6.03","0.48%","11/15"
"費城金銀","209.27","0.18","0.09%","11/15"
"DJ貴金屬","430.71","1.10","0.26%","17:15"
"CBOE黃金","250.19","0.24","0.10%","11/15"
"AMEX金蟲","595.03","1.89","0.32%","20:00"
"AMEX能源","712.94","-1.09","-0.15%","11/15"
"NYSE能源","12555.62","-21.71","-0.17%","16:53"
"費城油業","234.78","0.64","0.27%","11/15"
"AMEX石油","1234.41","-3.18","-0.26%","20:00"
"費城半導","392.23","5.67","1.47%","11/15"
"NSDQ金融","1935.09","17.52","0.91%","11/15"
"NYSE金融","4059.96","4.22","0.10%","20:00"
"NBI生技","988.77","3.83","0.39%","11/15"
"AMEX生技","1079.64","-3.37","-0.31%","20:00"
"費城藥物","191.20","-0.03","-0.02%","11/15"
"加拿大","12229.30","5.08","0.04%","11/15"
"巴西股市","58258.20","-288.74","-0.49%","11/14"
"墨西哥","37293.40","223.48","0.60%","15:07"
"阿根廷","2679.19","2.28","0.09%","11/15"
"智利股市","4348.51","22.75","0.53%","11/15"
"秘魯股市","19359.20","12.27","0.06%","11/15"
"哥倫比亞","12821.10","-71.34","-0.55%","11/15"
"委內瑞拉","112692.00","605.82","0.54%","11/15"
"百慕達","1117.39","0.00","0.00%","11/14"
"牙買加","97097.40","-665.30","-0.68%","11/15"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","1818.00","-17.00","-0.93%","11/14"
"波海海峽航運","3081.00","-69.00","-2.19%","11/14"
"波海巴拿馬航","1763.00","2.00","0.11%","11/14"
"VIX波動率","31.22","0.09","0.29%","16:14"
"VXD道瓊波動","28.45","0.35","1.25%","16:28"
"VXN納指波動","30.04","-0.69","-2.25%","16:14"
"羅素大中華","1823.60","29.38","1.64%","11/14"
"道瓊歐洲","2254.00","-34.32","-1.50%","17:50"
"道瓊交通運輸","4982.35","40.14","0.81%","16:30"
"AMEX航空","34.12","-0.02","-0.07%","17:43"
"美國紙業","102.99","-0.05","-0.05%","17:19"
"券商指數","84.76","0.12","0.14%","17:43"
"道瓊公用事業","448.70","1.49","0.33%","16:30"
"全球公用事業","5660.76","50.08","0.89%","02/28"
"Dax奢侈品","109.15","-0.27","-0.25%","11/15"
"ISE水指數","82.81","0.99","1.21%","16:20"
"道瓊水指數","797.79","2.19","0.28%","16:01"
"純淨科技","973.68","4.31","0.44%","16:43"
"WH創新能源","218.49","3.13","1.45%","16:43"
"WH乾淨能源","57.98","0.05","0.09%","16:43"
"生物能源","192.00","1.45","0.76%","16:05"
"全球替代能源","990.42","-1.57","-0.16%","16:05"
"ET50環境科技","114.92","0.21","0.18%","21:09"
"30年債殖利率","30.97","0.05","0.16%","14:59"
"10年期票利率","20.57","0.14","0.69%","14:59"
"5年期票利率","9.08","0.10","1.11%","14:59"
"3月期票利率","0.10","0.05","100.00%","14:59"

"債券指數其他更多債券指數"
"指數","收盤","比例","殖利率","利差","日期"
"ML高收益指數","268.80","-0.23%","8.56%","751","11/15"
"ML美國高收益","1161.66","-0.23%","8.43%","737","11/15"
"ML全球高收益","235.52","-0.29%","8.93%","773","11/15"
"ML歐洲高收益","177.32","-0.58%","10.62%","863","11/15"
"ML高收益100","1954.54","-0.22%","7.54%","657","11/15"
"ML CCC債券","249.47","-0.28%","14.02%","1331","11/15"
"ML美國公司債","2206.07","-0.24%","3.82%","241","11/15"
"BC美國機構債","1484.94","-0.05%","1.06%","n/a","11/15"
"BC美國房貸債","1723.08","0.06%","3.04%","n/a","11/15"
"ML美國房利美","613.85","-0.06%","3.12%","49","11/15"
"ML美國房地美","381.52","-0.05%","3.17%","54","11/15"
"ML美國吉利美","651.43","0.05%","2.73%","39","11/15"
"JP全球政府債","450.86","-0.20%","2.21%","...","11/15"
"JP新興政府債","564.27","-0.31%","6.00%","402","11/15"
"JP歐盟政府債","261.92","-1.01%","4.50%","...","11/15"
"JP法國政府債","524.93","-1.43%","3.63%","...","11/15"
"JP德國政府債","434.16","0.26%","1.79%","...","11/15"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","320.87","2.95","0.93%","11/15"
"CRB農業","5452.58","-32.22","-0.59%","11/15"
"CRB工業金屬","2192.46","-1.43","-0.07%","11/15"
"CRB能源開採","2588.00","25.80","1.01%","11/15"
"高盛綜合商品","407.86","3.37","0.83%","11/15"
"高盛商品","490.74","4.10","0.84%","11/15"
"高盛農產品","69.20","1.22","1.79%","11/15"
"高盛牲畜","224.29","3.02","1.36%","11/15"
"高盛貴金屬","265.58","0.95","0.36%","11/15"
"高盛基本金屬","232.05","-3.53","-1.50%","11/15"
"高盛能源","302.20","2.58","0.86%","11/15"
"天然氣","674.17","3.10","0.46%","11/15"
"Dax全球農金","508.92","-0.79","-0.15%","11/15"
"Rogers商品","3760.35","29.17","0.78%","17:55"
"Rogers能源","829.15","7.31","0.89%","11/15"
"Rogers金屬","2607.52","-25.00","-0.95%","11/15"
"Rogers農產","1177.69","19.79","1.71%","11/15"
"道瓊美國礦產","209.06","0.54","0.26%","17:15"
"道瓊世界原料","303.28","-1.85","-0.61%","23:02"
"FTSE金礦","3933.17","-13.14","-0.33%","11/15"
"HSBC礦業","554.04","-16.17","-2.84%","10/20"
"msci世界能源","242.03","-1.20","-0.49%","11/15"
"msci世界原料","229.75","-1.71","-0.74%","11/15"
"美元指數","78.25","0.31","0.40%","22:58"
"歐元指數","135.36","-0.98","-0.72%","11/15"
"英鎊指數","158.23","-0.93","-0.58%","11/15"
"日圓指數","129.81","0.08","0.06%","11/15"
"澳幣指數","101.93","0.22","0.22%","11/15"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","台北"
"黃金","1782.60","1.30","0.07%","05:53"
"銀","34.65","0.31","0.91%","05:55"
"白金","1644.00","1.00","0.06%","05:55"
"鈀","668.00","-2.00","-0.30%","05:50"
"銅","3.5017","0.00","0.00%","03:01"
"鎳","8.0917","0.01","0.14%","03:01"
"鋁","0.9481","0.00","0.00%","03:00"
"鋅","0.8712","0.00","0.00%","03:01"
"鉛","0.9026","0.00","0.01%","03:01"
"鈾","52.25","0.25","0.48%","11/07"
"黃金期貨","1782.300","3.900","0.22%","05:31"
"銀期貨","34.560","0.536","1.58%","05:32"
"銅期貨","351.350","0.650","0.19%","05:33"
