"亞洲股市行情 (Asian Markets)"
"股市","指數","漲跌","比例","時間"
"日經225","15771.57","-325.11","-2.02","11/08"
"東證一部","1516.94","-39.75","-2.55","11/08"
"東證二部","3491.51","-65.84","-1.85","11/08"
"JASDAQ","73.71","-0.19","-0.26","11/08"
"上海綜合","5330.02","-271.76","-4.85","11/08"
"上海A股","5593.95","-285.82","-4.86","11/08"
"上海B股","356.94","-12.41","-3.36","11/08"
"香港恆生","28760.22","-948.71","-3.19","11/08"
"香港國企","17716.86","-835.27","-4.50","11/08"
"香港紅籌","6208.65","-251.33","-3.89","11/08"
"台灣加權","8937.58","-362.64","-3.90","11/08"
"台灣店頭","167.16","-9.21","-5.22","11/08"
"韓國指數","1979.56","-63.63","-3.11","11/08"
"新加坡","3673.01","-10.09","-0.27","11/07"
"馬來西亞","1413.85","24.74","1.78","11/07"
"菲律賓","3692.10","-96.16","-2.54","11/08"
"印尼股市","2678.22","-35.75","-1.32","11/08"
"越南股市","1026.47","-4.73","-0.46","11/08"
"泰國股市","873.64","-6.63","-0.75","11/08"
"印度股市","19058.93","-230.90","-1.20","11/08"
"斯里蘭卡","2623.70","3.57","0.14","11/07"
"澳洲股市","6635.60","67.10","1.02","10:22"
"紐西蘭","4162.65","-22.77","-0.54","08:01"

"歐洲股市行情 (European Markets)"
"股市","指數","漲跌","比例","時間"
"俄羅斯","2288.15","7.20","0.32","11/08"
"英國指數","6381.90","-3.20","-0.05","11/08"
"法國指數","5631.63","-51.59","-0.91","11/08"
"德國指數","7819.47","19.85","0.25","11/08"
"道瓊歐洲","4363.60","-36.74","-0.83","11/08"
"土耳其","55160.75","-915.69","-1.63","11/08"
"匈牙利","26769.63","-272.85","-1.01","11/08"
"奧地利","4659.51","15.11","0.33","11/08"
"波蘭股市","59276.14","-677.02","-1.13","11/08"
"捷克股市","1860.90","-10.50","-0.56","11/08"
"盧森堡","2336.97","-45.25","-1.90","11/08"
"義大利","30009.00","-536.00","-1.75","16:43"
"西班牙","1724.95","8.84","0.52","11/08"
"瑞士股市","8605.23","-97.94","-1.13","11/08"
"瑞典股市","1145.49","-4.89","-0.43","11/08"
"芬蘭股市","12364.04","-292.73","-2.31","11/08"
"挪威股市","439.67","-0.50","-0.11","11/08"
"以色列","1220.40","-6.71","-0.55","11/08"
"埃及股市","81397.30","-1138.70","-1.38","11/08"
"南非股市","28209.04","334.63","1.20","11/08"
"摩洛哥","26240.00","-32.49","-0.12","11/08"
"約旦指數","6756.72","-22.74","-0.34","11/08"
"杜拜指數","5440.04","-3.57","-0.07","11/08"

"美洲股市行情 (American Markets)"
"股市","指數","漲跌","比例","時間"
"道瓊工業","13266.29","-33.73","-0.25","16:30"
"NASDAQ","2696.00","-52.76","-1.92","17:17"
"羅素2000","780.90","4.94","0.64","17:00"
"S&P 500","1474.77","-0.85","-0.06","17:00"
"費城金銀","189.44","0.91","0.48","11/08"
"DJ貴金屬","389.21","3.61","0.94","17:31"
"CBOE黃金","191.94","-0.64","-0.33","16:49"
"AMEX金蟲","447.63","-0.27","-0.06","16:44"
"AMEX能源","761.88","9.35","1.24","16:44"
"NYSE能源","15204.82","159.11","1.06","17:05"
"費城油業","295.30","1.32","0.45","11/08"
"AMEX石油","1488.95","10.21","0.69","16:44"
"費城半導","437.42","-6.74","-1.52","11/08"
"NSDQ金融","2862.81","48.84","1.74","17:17"
"NYSE金融","8564.76","19.92","0.23","17:05"
"NBI生技","860.69","2.40","0.28","17:17"
"AMEX生技","812.93","11.88","1.48","16:44"
"費城藥物","203.94","0.91","0.45","11/08"
"加拿大","14128.59","10.41","0.07","11/08"
"巴西指數","63561.91","61.29","0.10","11/08"
"墨西哥","29289.72","-292.49","-0.99","15:06"
"阿根廷","2263.02","-35.80","-1.56","11/08"
"智利","3251.23","-10.10","-0.31","11/08"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"波海乾貨航運","10674.00","69.00","0.65","11/07"
"波海海峽航運","14749.00","241.00","1.66","11/07"
"波海巴拿馬航運","11194.00","43.00","0.39","11/07"
"VIX波動率","26.16","-0.33","-1.25","16:14"
"DJ交通運輸","4696.73","33.38","0.72","16:30"
"道瓊公用事業","526.89","10.26","1.99","16:30"
"歐洲公用事業","361.50","-1.08","-0.30","17:45"
"全球公用事業","8210.97","31.64","0.39","16:15"
"ISE水指數","87.94","0.58","0.66","16:44"
"道瓊水指數","742.10","-6.28","-0.84","16:04"
"NSDQ純淨優勢","607.71","14.19","2.39","16:44"
"純淨科技","1495.20","33.90","2.32","16:44"
"WH革新能源","277.06","1.90","0.69","16:44"
"WH乾淨能源","265.90","6.51","2.51","16:44"
"全球乾淨能源","3898.11","17.59","0.45","16:34"
"ISE替代能源","64.83","0.99","1.55","16:44"
"全球替代能源","4055.94","50.48","1.26","16:33"
"生物能源","603.03","-5.88","-0.97","16:33"
"AMEX環境服務","1089.38","12.72","1.18","16:44"
"歐洲環境控制","182.49","-1.54","-0.84","17:45"
"美國環境控制","105.85","1.54","1.48","16:15"
"KLD社會責任","128.25","-0.02","-0.02","16:44"
"Clvrt社會責任","87.90","-0.58","-0.66","16:04"
"ISE邪惡指數","131.97","0.54","0.41","16:44"
"MSCI世界能源","298.15","-2.92","-0.97","11/07"
"MSCI世界原料","304.74","-1.26","-0.41","11/07"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"Rogers商品","4354.41",".14","0.00","10:24"
"Rogers能源","1289.76","-7.06","-0.54","11/8"
"Rogers金屬","2352.83","-4.29","-0.18","11/8"
"Rogers農產","1250.27","-3.10","-0.25","11/8"
"日本不動產","3278.07","-35.43","-1.07","15:44"
"東證REIT","1807.13","-11.55","-0.64","15:01"
"澳洲不動產","1829.55","-2.81","-0.15","18:14"
"新加坡不動產","1408.52","-2.13","-0.15","11/08"
"恆生地產","36527.13","306.50","0.85","17:01"
"亞洲REIT","161.59","-1.31","-0.80","16:30"
"英國不動產","2025.40","-8.12","-0.40","16:14"
"歐陸不動產","2372.02","-33.95","-1.41","16:14"
"歐洲不動產","3021.52","-40.41","-1.32","16:14"
"DJ權益REIT","273.15","-0.87","-0.32","10:29"

"分類指數行情"
"股市","指數","漲跌","比例","時間"
"CRB指數","351.01","0.00","0.00","11/08"
"MS商品指數","839.27","-9.29","-1.09","10:44"
"高盛商品指數","7377.98","-34.87","-0.47","11/08"
"高盛農產品","338.82","-0.96","-0.28","11/08"
"高盛家畜指數","219.93","3.00","1.38","11/08"
"高盛工業金屬","450.43","-2.29","-0.51","11/08"
"天然氣","559.39","-4.80","-0.85","10:44"
"AMEX航空","39.53","-1.21","-2.97","10:44"
