"亞洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"紐西蘭","3161.00","13.76","0.44%","18:31"
"澳洲股市","4600.70","-20.60","-0.45%","17:40"
"日經225","9239.17","140.78","1.55%","15:28"
"東證一部","833.72","6.88","0.83%","15:00"
"東證二部","2073.53","4.62","0.22%","15:00"
"JASDAQ","48.19","0.28","0.58%","15:11"
"韓國股市","1802.58","18.22","1.02%","18:03"
"台灣加權","7890.11","54.57","0.70%","13:46"
"台灣店頭","139.25","-0.03","-0.02%","13:46"
"上海綜合","2663.21","6.86","0.26%","15:15"
"上海A股","2790.20","7.10","0.26%","15:15"
"上海B股","258.85","2.06","0.80%","15:15"
"深圳A股","1244.16","8.75","0.71%","15:00"
"深圳B股","709.34","3.62","0.51%","15:00"
"滬深300","2932.55","6.09","0.21%","15:01"
"深證成指","11530.99","65.64","0.57%","15:00"
"香港恆生","21257.39","90.12","0.43%","16:01"
"香港國企","11835.93","5.47","0.05%","16:01"
"香港紅籌","4121.74","24.12","0.59%","16:01"
"新加坡","3022.28","10.86","0.36%","09/09"
"海峽中國","309.00","4.03","1.32%","09/09"
"越南股市","451.39","-12.29","-2.65%","11:01"
"泰國股市","924.57","3.08","0.33%","17:00"
"菲律賓","3902.56","97.83","2.57%","09/09"
"馬來西亞","1437.78","3.64","0.25%","09/09"
"印尼股市","3230.89","13.74","0.43%","09/07"
"印度股市","18799.66","132.95","0.71%","09/09"
"巴基斯坦","6900.80","-5.43","-0.08%","09/09"

"歐洲股市指數非洲股市指數"
"股市","指數","漲跌","比例","當地"
"俄羅斯","1487.09","-4.91","-0.33%","09/10"
"英國股市","5501.64","7.48","0.14%","09/10"
"法國股市","3725.82","3.67","0.10%","09/10"
"德國股市","6214.77","-6.75","-0.11%","09/10"
"土耳其","60608.08","-138.67","-0.23%","09/08"
"匈牙利","23045.71","-251.95","-1.08%","09/10"
"奧地利","2487.27","-14.16","-0.57%","09/10"
"波蘭股市","43671.28","-124.75","-0.28%","09/10"
"捷克股市","1138.80","-4.00","-0.35%","09/10"
"瑞典股市","1068.89","1.85","0.17%","09/10"
"芬蘭股市","6972.32","50.60","0.73%","09/10"
"挪威股市","341.63","0.89","0.26%","09/10"
"希臘股市","1588.33","-22.50","-1.40%","09/10"
"義大利","21377.72","-21.37","-0.10%","09/10"
"盧森堡","1471.04","3.75","0.26%","09/10"
"荷蘭股市","334.96","0.37","0.11%","09/10"
"冰島股市","595.46","3.32","0.56%","09/10"
"丹麥股市","416.34","0.97","0.23%","09/10"
"瑞士股市","6467.69","42.43","0.66%","09/10"
"西班牙","1103.88","-2.14","-0.19%","09/10"
"葡萄牙","2642.55","-0.52","-0.02%","09/10"
"愛爾蘭","2780.60","0.00","0.00%","09/10"
"以色列","1171.06","-2.57","-0.22%","09/07"
"埃及股市","601.24","4.34","0.73%","09/08"
"南非股市","24966.81","92.83","0.37%","09/10"
"約旦股市","2294.34","20.76","0.91%","09/08"
"杜拜股市","1592.24","23.36","1.49%","09/07"
"阿布達比","2531.72","14.33","0.57%","09/07"

"美洲股市指數行情"
"股市","指數","漲跌","比例","當地"
"道瓊工業","10462.77","47.53","0.46%","09/10"
"那斯達克","2242.48","6.28","0.28%","09/10"
"羅素兩千","636.46","1.84","0.29%","09/10"
"S&P 五百","1109.55","5.37","0.49%","09/10"
"費城金銀","185.20","1.71","0.93%","09/10"
"DJ貴金屬","381.19","3.38","0.90%","16:05"
"CBOE黃金","219.41","1.17","0.54%","09/10"
"AMEX金蟲","481.72","2.41","0.50%","09/10"
"AMEX能源","544.23","5.96","1.11%","09/10"
"NYSE能源","10361.62","83.30","0.81%","17:05"
"費城油業","187.62","5.01","2.74%","09/10"
"AMEX石油","991.12","7.46","0.76%","09/10"
"費城半導","316.57","-4.51","-1.40%","09/10"
"NSDQ金融","1897.43","6.66","0.35%","09/10"
"NYSE金融","4669.12","14.80","0.32%","09/10"
"NBI生技","874.16","9.55","1.10%","09/10"
"AMEX生技","1140.28","15.00","1.33%","09/10"
"費城藥物","179.72","1.48","0.83%","09/10"
"加拿大","12097.09","63.56","0.53%","09/10"
"巴西股市","66806.79","182.69","0.27%","09/10"
"墨西哥","32626.87","107.89","0.33%","09/10"
"阿根廷","2436.77","5.68","0.23%","09/10"
"智利股市","4710.86","12.76","0.27%","09/10"
"秘魯股市","16151.09","317.65","2.01%","09/10"
"哥倫比亞","14147.34","-227.16","-1.58%","09/10"
"委內瑞拉","65270.64","0.00","0.00%","09/10"
"百慕達","1339.02","0.00","0.00%","09/09"
"牙買加","85500.05","93.07","0.11%","09/10"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"波海乾散貨運","2995.00","7.00","0.23%","14:07"
"波海海峽航運","4019.00","2.00","0.05%","09/10"
"波海巴拿馬航","3394.00","-2.00","-0.06%","14:07"
"VIX波動率","21.99","-0.82","-3.60%","16:14"
"VXD道瓊波動","19.81","-0.73","-3.55%","16:29"
"VXN納指波動","22.98","-0.31","-1.33%","16:14"
"羅素大中華","1834.51","8.13","0.45%","09/09"
"道瓊歐洲","2780.40","-2.03","-0.07%","23:00"
"道瓊交通運輸","4401.18","13.11","0.30%","16:30"
"AMEX航空","39.84","-0.02","-0.04%","09/10"
"美國紙業","86.75","0.90","1.05%","09/10"
"道瓊公用事業","394.74","-3.86","-0.97%","16:30"
"全球公用事業","5234.08","-25.93","-0.49%","16:20"
"Dax奢侈品","91.68","0.31","0.34%","09/10"
"ISE水指數","71.49","0.27","0.38%","17:01"
"道瓊水指數","644.90","4.17","0.65%","16:05"
"純淨科技","966.17","-1.33","-0.14%","17:36"
"WH創新能源","210.71","1.07","0.51%","17:43"
"WH乾淨能源","91.64","-0.34","-0.37%","17:43"
"全球乾淨能源","1035.61","1.56","0.15%","18:00"
"ISE替代能源","26.03","0.04","0.15%","17:01"
"全球替代能源","1532.69","-8.40","-0.55%","17:24"
"ET50環境科技","139.83","-0.28","-0.20%","21:20"
"道瓊美國礦產","196.43","1.38","0.71%","16:03"
"道瓊世界原料","301.60","0.50","0.17%","17:22"
"FTSE金礦","3507.98","10.63","0.30%","16:30"
"HSBC礦業","585.35","2.16","0.37%","09/09"
"msci世界能源","202.32","0.93","0.46%","09/10"
"msci世界原料","223.93","0.23","0.10%","09/10"

"債券指數其他更多債券指數"
"指數","收盤","比例","殖利率","利差","日期"
"ML高收益指數","249.00","0.22%","8.07%","639","09/10"
"ML美國高收益","1075.62","0.23%","7.95%","627","09/10"
"ML全球高收益","221.52","0.22%","8.08%","639","09/10"
"ML歐洲高收益","178.38","0.15%","7.98%","634","09/10"
"ML高收益100","1814.48","0.23%","6.73%","540","09/10"
"ML CCC債券","236.18","0.24%","12.14%","1081","09/10"
"ML美國公司債","2059.10","-0.07%","3.95%","187","09/10"
"BC美國機構債","1424.24","-0.04%","1.47%","n/a","09/10"
"BC美國房貸債","1626.56","0.00%","3.00%","n/a","09/10"
"ML美國房利美","578.61","-0.13%","3.36%","9","09/10"
"ML美國房地美","356.98","-0.15%","3.41%","14","09/10"
"ML美國吉利美","601.93","-0.12%","3.42%","32","09/10"
"JP全球政府債","435.89","-0.26%","2.29%","...","09/10"
"JP新興政府債","521.28","-0.00%","5.81%","...","09/10"
"JP歐盟政府債","276.09","-0.42%","3.33%","...","09/10"
"JP法國政府債","542.56","-0.52%","2.61%","...","09/10"
"JP德國政府債","405.80","-0.49%","2.33%","...","09/10"

"分類指數行情"
"股市","指數","漲跌","比例","當地"
"CRB指數","275.14","1.93","0.71%","09/10"
"CRB農業","5075.79","21.62","0.43%","09/10"
"CRB工業金屬","2481.12","-0.61","-0.03%","09/10"
"CRB能源開採","2261.88","20.43","0.91%","09/10"
"高盛綜合商品","347.80","3.16","0.92%","09/10"
"高盛商品","409.20","5.04","1.25%","09/10"
"高盛農產品","63.32","0.21","0.33%","09/10"
"高盛牲畜","214.71","0.12","0.05%","09/10"
"高盛貴金屬","182.62","-0.58","-0.32%","09/10"
"高盛基本金屬","241.96","-2.03","-0.83%","09/10"
"高盛能源","241.53","4.51","1.90%","09/10"
"天然氣","512.93","3.51","0.69%","09/10"
"Dax全球農金","473.05","2.79","0.59%","09/10"
"Rogers商品","3232.03","20.26","0.63%","17:55"
"Rogers能源","657.50","-4.93","-0.74%","09/09"
"Rogers金屬","2386.43","-34.94","-1.44%","09/09"
"Rogers農產","1076.61","12.77","1.20%","09/09"
"券商指數","104.33","0.22","0.21%","09/10"
"美元指數","82.70","0.02","0.03%","09/10"
"歐元指數","127.09","0.13","0.10%","09/10"
"英鎊指數","153.54","-0.74","-0.48%","09/10"
"日圓指數","118.78","-0.49","-0.41%","09/10"
"澳幣指數","92.65","0.33","0.36%","09/10"
"30年債券價格","131.53","-0.44","-0.33%","09/10"
"30年債殖利率","38.73","0.28","0.73%","09/10"
"10年期票利率","27.95","0.34","1.23%","09/10"
"5年期票利率","15.83","0.17","1.09%","09/10"
"3月期票利率","1.35","0.00","0.00%","09/10"
"Put/Call比例","1.28","0.22","20.75%","09/10"

"商品價格 (Commodity)"
"商品","買價","漲跌","比例","台北"
"黃金","1247.70","2.70","0.22%","09/10"
"銀","19.90","0.14","0.71%","09/10"
"白金","1550.00","-6.00","-0.39%","09/10"
"鈀","523.00","-3.00","-0.58%","09/10"
"銅","3.3980","0.00","0.07%","03:35"
"鎳","10.1673","-0.02","-0.18%","02:28"
"鋁","0.9318","0.00","0.00%","02:20"
"鋅","0.9501","-0.00","-0.24%","02:23"
"鉛","0.9739","0.00","0.00%","02:02"
"鈾","48.00","3.00","6.67%","09/06"
